time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025864,436.3,79.1,1680.9,57.9,2123.2,162.5,432.4,1689.6,2123.8,126.7,77.9
0.027864,427.0,76.8,1696.6,47.2,2135.6,155.2,427.6,1694.2,2134,126.7,77.9
0.029864,417.1,74.3,1708.3,38.4,2148.0,137.8,420.5,1702,2148.6,126.6,77.9
0.031864,410.1,73.0,1717.2,33.4,2164.0,113.7,412.3,1712.7,2164.8,126.5,77.9
0.033864,404.5,75.8,1726.2,34.2,2179.3,97.2,404.2,1726,2179.5,126.3,77.9
0.035864,397.7,80.7,1738.6,38.7,2190.6,88.0,397,1741.2,2190.4,126,77.9
0.037864,391.7,81.7,1755.3,42.5,2197.9,80.6,391.2,1757.6,2196.7,125.7,77.9
0.039864,388.7,77.8,1772.9,44.3,2199.4,74.5,387,1774.7,2198.6,125.4,77.9
0.041864,385.7,75.9,1792.6,46.7,2195.5,70.6,383.8,1792.4,2197.4,125,77.8
0.043864,380.2,79.7,1813.7,50.0,2192.0,67.5,380.9,1810.9,2195.1,124.6,77.7
0.045864,374.9,83.2,1831.3,53.7,2194.4,65.3,377.4,1831.1,2193.5,124.2,77.5
0.047864,371.4,81.9,1848.9,61.1,2199.3,65.8,372.8,1853.9,2193.9,123.8,77.3
0.049864,367.6,78.8,1876.4,76.7,2200.3,72.3,366.6,1879.7,2196.7,123.3,77
0.051864,360.0,78.3,1914.0,90.3,2198.3,84.0,358.9,1908.2,2201.4,122.9,76.7
0.053864,349.4,79.6,1948.0,89.1,2200.4,95.2,350,1937.8,2207.2,122.4,76.3
0.055864,339.9,80.4,1969.0,80.8,2208.3,102.2,340.5,1965.8,2212.8,121.9,75.9
0.057864,332.2,79.8,1982.4,76.2,2220.1,104.9,330.9,1988.8,2217.2,121.5,75.5
0.059864,323.7,77.3,1991.5,79.7,2227.1,99.1,322,2003.5,2219.8,121,75.1
0.061864,314.1,72.5,1998.6,88.8,2225.7,88.0,314.2,2007.9,2220.5,120.5,74.6
0.063864,305.9,65.6,2002.8,101.0,2220.0,78.1,307.8,2001.6,2219.8,120,74.2
0.065864,301.2,57.9,2000.2,118.1,2214.0,72.5,302.8,1986.7,2218.1,119.6,73.9
0.067864,299.1,48.4,1984.2,147.0,2208.1,69.7,299.1,1967.1,2216.1,119.1,73.5
0.069864,298.0,39.5,1950.9,180.8,2206.1,71.4,296.6,1947.8,2214.3,118.6,73.1
0.071864,296.5,36.0,1925.3,192.1,2212.6,82.8,295.2,1933.8,2213.1,118,72.6
0.073864,293.8,36.1,1918.0,196.4,2226.0,108.2,294.8,1928.7,2212.7,117.5,72
