time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025918,429.0,83.9,1466.6,299.0,2128.1,284.5,431,1448.3,2116,127.4,69.4
0.027918,435.4,69.2,1404.2,419.7,2085.3,332.4,433.6,1407.5,2095.8,127,71.1
0.029918,437.9,58.0,1330.7,437.7,2053.7,358.7,436.9,1352.5,2065.4,126.5,72.3
0.031918,439.9,52.0,1289.0,374.6,2033.6,386.0,439.8,1297.3,2028.8,125.9,73.2
0.033918,441.0,49.8,1258.9,309.3,2001.1,402.4,441.2,1252.7,1990.3,125.3,73.8
0.035918,440.0,51.1,1231.0,256.5,1953.3,380.3,440.3,1222.6,1953.9,124.6,74.1
0.037918,435.5,54.9,1208.9,226.4,1914.9,331.0,436.9,1203.5,1922.2,123.9,74.3
0.039918,430.0,56.7,1191.5,228.4,1895.5,292.2,431,1187.5,1897,123.2,74.4
0.041918,425.2,58.6,1168.6,266.7,1883.2,258.8,423.4,1166.8,1879.1,122.4,74.5
0.043918,417.7,64.8,1129.4,330.4,1870.5,219.7,414.5,1137.6,1868.5,121.6,74.5
0.045918,404.7,72.4,1086.2,365.4,1863.6,179.6,405.1,1101.8,1864.6,120.8,74.5
0.047918,392.0,73.1,1062.7,360.8,1865.0,155.2,395.7,1065.5,1866.5,119.9,74.4
0.049918,384.1,69.3,1049.2,353.9,1871.1,146.1,386.5,1036,1872.9,119.1,74.3
0.051918,380.3,69.4,1033.6,371.8,1880.6,157.0,378,1018.2,1881.9,118.3,74
0.053918,374.0,77.5,1012.8,415.4,1894.1,202.0,370.3,1012.6,1891.9,117.5,73.7
0.055918,364.0,83.4,1005.6,438.8,1906.6,278.8,363.7,1016,1901.2,116.7,73.4
0.057918,355.8,81.0,1015.2,426.3,1910.2,344.8,358.3,1023.2,1908.5,116,72.8
0.059918,352.0,76.8,1027.7,391.9,1907.8,363.2,354.2,1029.8,1913.4,115.2,72.1
0.061918,351.5,78.6,1036.8,347.5,1907.8,362.8,351.4,1033.7,1916.2,114.6,71.1
0.063918,352.4,95.8,1039.9,313.0,1913.8,366.8,349.8,1035.2,1917.5,113.9,69.9
0.065918,348.5,155.7,1035.3,308.0,1929.5,384.7,349.3,1035.5,1917.8,113.3,68.5
