file,label,group,color,number
KLH057a_0001.wav,a,1,Red,1
KLH057a_0002.wav,o,4,Green,2
KLH057a_0003.wav,a,1,Red,3
KLH057a_0004.wav,ai,11,Teal,4
KLH057a_0005.wav,a,1,Red,5
KLH057a_0006.wav,i,3,Black,6
KLH057a_0007.wav,ō,9,Lime,7
KLH057a_0008.wav,u,5,Olive,8
KLH057a_0009.wav,u,5,Olive,9
KLH057a_0010.wav,āi,15,Grey,10
KLH057a_0011.wav,a,1,Red,11
KLH057a_0012.wav,ā,6,Yellow,12
KLH057a_0013.wav,au,14,Maroon,13
KLH057a_0014.wav,o,4,Green,14
KLH057a_0015.wav,au,14,Maroon,15
KLH057a_0016.wav,a,1,Red,16
KLH057a_0017.wav,i,3,Black,17
KLH057a_0018.wav,a,1,Red,18
KLH057a_0019.wav,ei,22,Green,19
KLH057a_0020.wav,o,4,Green,20
KLH057a_0021.wav,au,14,Maroon,21
KLH057a_0022.wav,a,1,Red,22
KLH057a_0023.wav,i,3,Black,23
KLH057a_0024.wav,au,14,Maroon,24
KLH057a_0025.wav,a,1,Red,25
KLH057a_0026.wav,i,3,Black,26
KLH057a_0027.wav,a,1,Red,27
KLH057a_0028.wav,a,1,Red,28
KLH057a_0029.wav,ei,22,Green,29
KLH057a_0030.wav,i,3,Black,30
KLH057a_0031.wav,o,4,Green,31
KLH057a_0032.wav,e,2,Blue,32
KLH057a_0033.wav,ē,7,Magenta,33
KLH057a_0034.wav,ā,6,Yellow,34
KLH057a_0035.wav,u,5,Olive,35
KLH057a_0036.wav,a,1,Red,36
KLH057a_0037.wav,o,4,Green,37
KLH057a_0038.wav,i,3,Black,38
KLH057a_0039.wav,ā,6,Yellow,39
KLH057a_0040.wav,u,5,Olive,40
KLH057a_0041.wav,a,1,Red,41
KLH057a_0042.wav,e,2,Blue,42
KLH057a_0043.wav,e,2,Blue,43
KLH057a_0044.wav,o,4,Green,44
KLH057a_0045.wav,e,2,Blue,45
KLH057a_0046.wav,a,1,Red,46
KLH057a_0047.wav,u,5,Olive,47
KLH057a_0048.wav,a,1,Red,48
KLH057a_0049.wav,u,5,Olive,49
KLH057a_0050.wav,a,1,Red,50
KLH057a_0051.wav,au,14,Maroon,51
KLH057a_0052.wav,au,14,Maroon,52
KLH057a_0053.wav,i,3,Black,53
KLH057a_0054.wav,i,3,Black,54
KLH057a_0055.wav,e,2,Blue,55
KLH057a_0056.wav,ai,11,Teal,56
KLH057a_0057.wav,au,14,Maroon,57
KLH057a_0058.wav,a,1,Red,58
KLH057a_0059.wav,i,3,Black,59
KLH057a_0060.wav,a,1,Red,60
KLH057a_0061.wav,o,4,Green,61
KLH057a_0062.wav,e,2,Blue,62
KLH057a_0063.wav,ai,11,Teal,63
KLH057a_0064.wav,ē,7,Magenta,64
KLH057a_0065.wav,ā,6,Yellow,65
KLH057a_0066.wav,a,1,Red,66
KLH057a_0067.wav,i,3,Black,67
KLH057a_0068.wav,a,1,Red,68
KLH057a_0069.wav,a,1,Red,69
KLH057a_0070.wav,ai,11,Teal,70
KLH057a_0071.wav,au,14,Maroon,71
KLH057a_0072.wav,i,3,Black,72
KLH057a_0073.wav,ā,6,Yellow,73
KLH057a_0074.wav,au,14,Maroon,74
KLH057a_0075.wav,e,2,Blue,75
KLH057a_0076.wav,ā,6,Yellow,76
KLH057a_0077.wav,au,14,Maroon,77
KLH057a_0078.wav,i,3,Black,78
KLH057a_0079.wav,a,1,Red,79
KLH057a_0080.wav,ai,11,Teal,80
KLH057a_0081.wav,i,3,Black,81
KLH057a_0082.wav,ai,11,Teal,82
KLH057a_0083.wav,a,1,Red,83
KLH057a_0084.wav,u,5,Olive,84
KLH057a_0085.wav,u,5,Olive,85
KLH057a_0086.wav,u,5,Olive,86
KLH057a_0087.wav,ā,6,Yellow,87
KLH057a_0088.wav,e,2,Blue,88
KLH057a_0089.wav,e,2,Blue,89
KLH057a_0090.wav,a,1,Red,90
KLH057a_0091.wav,a,1,Red,91
KLH057a_0092.wav,ō,9,Lime,92
KLH057a_0093.wav,a,1,Red,93
KLH057a_0094.wav,a,1,Red,94
KLH057a_0095.wav,o,4,Green,95
KLH057a_0096.wav,u,5,Olive,96
KLH057a_0097.wav,u,5,Olive,97
KLH057a_0098.wav,u,5,Olive,98
KLH057a_0099.wav,a,1,Red,99
KLH057a_0100.wav,ā,6,Yellow,100
KLH057a_0101.wav,e,2,Blue,101
KLH057a_0102.wav,ā,6,Yellow,102
KLH057a_0103.wav,ē,7,Magenta,103
KLH057a_0104.wav,i,3,Black,104
KLH057a_0105.wav,ā,6,Yellow,105
KLH057a_0106.wav,a,1,Red,106
KLH057a_0107.wav,a,1,Red,107
KLH057a_0108.wav,i,3,Black,108
KLH057a_0109.wav,a,1,Red,109
KLH057a_0110.wav,e,2,Blue,110
KLH057a_0111.wav,i,3,Black,111
KLH057a_0112.wav,u,5,Olive,112
KLH057a_0113.wav,e,2,Blue,113
KLH057a_0114.wav,a,1,Red,114
KLH057a_0115.wav,a,1,Red,115
KLH057a_0116.wav,i,3,Black,116
KLH057a_0117.wav,i,3,Black,117
KLH057a_0118.wav,u,5,Olive,118
KLH057a_0119.wav,u,5,Olive,119
KLH057a_0120.wav,ā,6,Yellow,120
KLH057a_0121.wav,ā,6,Yellow,121
KLH057a_0122.wav,ā,6,Yellow,122
KLH057a_0123.wav,i,3,Black,123
KLH057a_0124.wav,i,3,Black,124
KLH057a_0125.wav,ai,11,Teal,125
KLH057a_0126.wav,i,3,Black,126
KLH057a_0127.wav,u,5,Olive,127
KLH057a_0128.wav,u,5,Olive,128
KLH057a_0129.wav,u,5,Olive,129
KLH057a_0130.wav,u,5,Olive,130
KLH057a_0131.wav,ā,6,Yellow,131
KLH057a_0132.wav,e,2,Blue,132
KLH057a_0133.wav,ai,11,Teal,133
KLH057a_0134.wav,o,4,Green,134
KLH057a_0135.wav,i,3,Black,135
KLH057a_0136.wav,o,4,Green,136
KLH057a_0137.wav,i,3,Black,137
KLH057a_0138.wav,au,14,Maroon,138
KLH057a_0139.wav,o,4,Green,139
KLH057a_0140.wav,i,3,Black,140
KLH057a_0141.wav,o,4,Green,141
KLH057a_0142.wav,i,3,Black,142
KLH057a_0143.wav,au,14,Maroon,143
KLH057a_0144.wav,i,3,Black,144
KLH057a_0145.wav,i,3,Black,145
KLH057a_0146.wav,i,3,Black,146
KLH057a_0147.wav,ai,11,Teal,147
KLH057a_0148.wav,e,2,Blue,148
KLH057a_0149.wav,o,4,Green,149
KLH057a_0150.wav,o,4,Green,150
KLH057a_0151.wav,i,3,Black,151
KLH057a_0152.wav,e,2,Blue,152
KLH057a_0153.wav,ai,11,Teal,153
KLH057a_0154.wav,a,1,Red,154
KLH057a_0155.wav,o,4,Green,155
KLH057a_0156.wav,i,3,Black,156
KLH057a_0157.wav,i,3,Black,157
KLH057a_0158.wav,u,5,Olive,158
KLH057a_0159.wav,e,2,Blue,159
KLH057a_0160.wav,a,1,Red,160
KLH057a_0161.wav,u,5,Olive,161
KLH057a_0162.wav,a,1,Red,162
KLH057a_0163.wav,ai,11,Teal,163
KLH057a_0164.wav,i,3,Black,164
KLH057a_0165.wav,i,3,Black,165
KLH057a_0166.wav,i,3,Black,166
KLH057a_0167.wav,e,2,Blue,167
KLH057a_0168.wav,u,5,Olive,168
KLH057a_0169.wav,ao,13,Pink,169
KLH057a_0170.wav,e,2,Blue,170
KLH057a_0171.wav,a,1,Red,171
KLH057a_0172.wav,a,1,Red,172
KLH057a_0173.wav,i,3,Black,173
KLH057a_0174.wav,ō,9,Lime,174
KLH057a_0175.wav,e,2,Blue,175
KLH057a_0176.wav,i,3,Black,176
KLH057a_0177.wav,e,2,Blue,177
