,filename,vowel,word,start,stress,mahal_mean,mahal_median,edit
1,KLH057b_2127,ou,lākou,2169.59709,primary,81.4987491,57.33262158,1
2,KLH057b_1234,i,ia,1719.624,primary,41.49742932,41.3548852,
3,KLH057a_3657,a,palapala,1472.109,unstressed,24.68733112,23.46401852,0
4,KLH057b_1594,o,ʻano,1858.600475,unstressed,22.33722423,6.857843854,1
5,KLH057a_1949,u,ukiuki,822.5395664,unstressed,22.22860418,4.504911524,1
6,KLH057a_0776,u,kupuna,311.5247583,unstressed,20.58681156,10.24020755,0
7,KLH057b_2135,oa,ʻaʻahe,2179.250478,primary,20.39816915,19.72651524,
8,KLH057a_5195,i,iā,2289.623,unstressed,18.32295486,14.53270883,
9,KLH057b_0566,i,ia,242.1590392,primary,17.08726975,17.06459231,
10,KLH057a_3624,i,ʻumi,1461.643261,unstressed,16.57255071,16.73938196,
11,KLH057b_1241,i,ia,1720.674,primary,15.31411115,14.54032578,
12,KLH057a_1015,i,ia,409.807,primary,15.2207638,12.12464338,
13,KLH057b_1247,i,ia,1721.847733,primary,14.51011037,14.84534975,
14,KLH057a_4198,i,hoʻokahi,1852.434956,unstressed,14.32067519,13.64063157,
15,KLH057a_0584,i,ʻumi,263.2261797,unstressed,13.93774046,13.97953335,
16,KLH057a_3614,i,ʻumi,1459.494025,unstressed,12.66311902,12.71379825,
17,KLH057a_4098,u,naʻu,1803.530207,unstressed,12.16344167,8.898768179,
18,KLH057a_3326,i,ʻumi,1351.962825,unstressed,12.08040957,11.21572312,
19,KLH057a_3100,e,lole,1266.934,unstressed,11.95147794,11.80708159,
20,KLH057a_0847,i,ʻumi,347.25067,unstressed,11.85144463,11.45739499,
21,KLH057a_3598,i,ʻumi,1457.612321,unstressed,11.79647757,12.20100021,
22,KLH057a_3264,i,hoʻokahi,1331.138982,unstressed,11.52566343,11.4415903,
23,KLH057a_1833,i,ʻumi,750.7136166,unstressed,11.40634154,11.07766584,
24,KLH057a_3485,i,ʻumi,1421.297877,unstressed,11.22921576,10.73339689,
25,KLH057a_3666,i,iā,1476.142731,unstressed,11.17664225,11.38436196,
26,KLH057a_2534,i,ʻehia,1070.574,primary,11.14516557,13.11605257,0
27,KLH057a_1945,i,iwa,820.394857,primary,11.05239888,11.18199862,
28,KLH057a_0793,i,iā,315.549,unstressed,10.80826325,10.88340498,
29,KLH057a_2039,i,iwa,859.2062409,primary,10.78191018,8.270579468,
30,KLH057a_5690,u,kuʻu,2477.334,primary,10.54725849,1.808663939,1
31,KLH057a_2306,o,ʻeono,975.0285006,unstressed,10.32402714,8.598217934,
32,KLH057a_3119,e,kelepona,1271.655975,secondary,10.23816851,11.20555089,
33,KLH057a_3668,ou,ʻoukou,1476.324222,secondary,10.04825967,3.012883193,
34,KLH057a_2876,e,makemake,1182.877894,unstressed,10.02442871,9.802255785,
35,KLH057a_5462,i,iā,2399.730844,unstressed,9.900865436,9.046556776,
36,KLH057a_2364,e,makemake,992.257241,unstressed,9.569582043,9.455911383,
37,KLH057a_0543,e,lohe,254.6913372,unstressed,9.425612249,9.444887358,
38,KLH057a_5243,i,hoʻokahi,2320.995096,unstressed,9.408790572,8.840277253,
39,KLH057a_0710,i,ʻike,292.366268,primary,9.364864061,9.907248973,
40,KLH057b_1627,ā,kāhea,1875.734,secondary,9.264658748,7.580569882,0
41,KLH057b_0278,e,poepoe,132.6732115,unstressed,9.234203537,8.858881686,
42,KLH057a_3858,i,iaʻu,1546.984,unstressed,9.184035581,9.164625788,
43,KLH057a_1164,u,puke,489.5917944,primary,8.854092794,2.395162521,1
