file,f0,duration,label,group,color,number,cutoff,f11,f21,f31,f12,f22,f32,f13,f23,f33,f14,f24,f34,f15,f25,f35,f16,f26,f36,f17,f27,f37,f18,f28,f38,f19,f29,f39
KLH057a_0001,124.6,0.066,a,1,Red,1,5079,512,1197,2045,526,1208,2051,515,1173,2050,528,1105,2071,537,1092,2138,524,1083,2160,461,1045,2182,396,1030,2249,368,1031,2326
KLH057a_0002,155.1,0.552,o,4,Green,2,5026,438,934,2228,437,811,2256,449,776,2213,446,780,2204,439,767,2238,455,755,2209,449,699,2213,451,692,2213,449,735,2193
KLH057a_0003,108.2,0.154,a,1,Red,3,4974,441,1005,2228,425,1020,2212,412,952,2223,435,989,2204,441,1044,2190,442,997,2217,429,1046,2181,402,1104,2206,394,1164,2226
KLH057a_0004,104.9,0.136,ai,11,Teal,4,5237,419,1244,2031,363,1378,2046,411,1538,2075,396,1562,2052,362,1664,2241,323,1724,2319,306,1723,2309,299,1828,2363,311,1883,2494
KLH057a_0005,107.1,0.062,a,1,Red,5,4500,352,1826,2312,373,1810,2279,392,1791,2222,389,1807,2216,389,1727,2221,370,1675,2190,337,1673,2095,331,1611,2082,389,1637,2135
KLH057a_0006,86.9,0.044,i,3,Black,6,4763,267,1770,2300,312,1804,2316,301,1832,2371,280,1822,2324,286,1817,2273,294,1794,2280,268,1783,2309,268,1752,2325,254,1713,2301
KLH057a_0007,84.9,0.084,ō,9,Lime,7,4500,303,1562,2275,372,1493,2290,374,1452,2298,379,1351,2241,382,1243,2154,384,1168,2212,379,1108,2204,375,1083,2284,281,1064,2283
KLH057a_0008,114.4,0.034,u,5,Olive,8,4658,287,673,1967,314,687,1997,334,728,2015,341,753,2088,344,743,2272,341,713,2255,342,709,2163,346,746,2089,349,771,2082
KLH057a_0009,116.1,0.038,u,5,Olive,9,5237,356,893,2274,356,896,2298,359,872,2254,359,899,2266,358,911,2228,366,872,2227,377,882,2242,386,912,2209,397,891,2151
KLH057a_0010,119.1,0.118,āi,15,Grey,10,5079,440,1105,1936,475,1146,1894,479,1254,1913,480,1325,1903,455,1363,1894,442,1435,2058,443,1489,2056,411,1511,1983,357,1439,2057
