file,c11,c21,c31,c12,c22,c32,c13,c23,c33,c14,c24,c34,c15,c25,c35,c16,c26,c36
KLH057a_0001,484.2,1108,2141.1,63.9,92.6,-120.1,-49.2,15.1,33.3,17.8,3.8,-5.8,4.1,-4.5,22.8,-8.6,-12.5,-9.7
KLH057a_0002,445.7,776.4,2217.6,-5.5,80.6,13.5,-3.5,26.4,2.8,1.2,24.7,5.9,-3.8,34.5,2.9,0.4,7.1,0.1
KLH057a_0003,424.6,1031.7,2212.8,13.3,-64.6,2.6,-12.1,42.8,16.2,14,-6.2,-6.4,6.8,30.8,6.5,9.4,-9.9,-1.8
KLH057a_0004,355,1611.9,2217.4,59.4,-280.1,-217.6,-4.3,-59.6,19.8,-12.9,-62.3,2.5,7.1,-16.2,29,12,-25.5,-40
KLH057a_0005,368.1,1728,2195.4,9.2,108.9,97.4,-12.5,-8.8,3.1,-23.1,-14.5,5.7,11.1,7.1,34.4,-14.6,7.2,-17.1
KLH057a_0006,280.6,1787.1,2310.7,14.9,31.2,8.8,-10.3,-37.2,6,-1.9,-5.3,-21.6,-9.6,-14.1,-27.4,-12.1,0.4,6
KLH057a_0007,359.9,1280.9,2250,3.1,252.1,17.6,-35.6,31.3,47.4,4.8,-4.7,-34.6,-25.9,3.4,-20.9,4.1,7.5,-3.9
KLH057a_0008,331.1,722,2099.4,-23.6,-27.4,-89.6,-14.5,-13.6,-99,-10.7,-27.1,54.8,-2.8,15.1,21.7,-2,3.1,-32.8
KLH057a_0009,368.3,893.6,2238.4,-18.6,-0.9,49.9,9.2,0.2,-9.1,-4.4,-2.3,13.2,0.2,9.5,-17.4,-0.5,9.9,8
KLH057a_0010,441,1341.9,1964.8,36.1,-185.6,-71.4,-27.5,-48.6,24.5,-0.4,-3.4,29.9,-16.9,-32.3,-1.4,5.6,5,-27.1
KLH057a_0011,299.5,1357.1,2136.2,29.2,9.6,-58.1,1.7,13.4,-9.8,-14.4,-8.1,15.5,-1.9,4.1,5,1.8,2.1,1.6
KLH057a_0012,566.7,1256.8,2153,81.9,11.1,-11.5,-48,-2.2,-3.6,8.2,21.5,17,-13.3,15.3,1.5,1.1,34,19.1
KLH057a_0013,431.6,1016.3,2261,81.2,60.9,37.8,19.2,83.1,-2.1,-5.1,-36.5,9.3,-21.3,-6.9,-16.6,-8.5,-25.6,1.8
KLH057a_0014,377.3,763.4,2166.2,-7.5,-23.5,-1.7,14.4,16,11.4,-3.8,-22.2,-14,11,11.7,1.3,-11.1,-17.9,0.4
KLH057a_0015,402.5,875.4,2140.3,59.2,100.8,-56,20.2,57,-8.6,-10.8,65,-14.4,-0.4,-39.5,10.9,-2.9,-17.5,-36.3
KLH057a_0016,405.3,887.9,2140.2,-6.9,-131.4,64.4,-19.3,13.5,1.6,6.4,-5.3,19,0.6,6,3.8,0.2,-18,4.6
KLH057a_0017,300,1864.4,2345.9,29.2,-73,-116.1,0.4,-19,-32.7,-19.3,-31.9,-16.4,11.2,-3.1,3.7,-3.9,-11.1,-9.9
KLH057a_0018,414.4,1280.4,2214.6,-14,-19,24.6,-18.4,-4.4,28.7,-5.6,-12.2,6.9,-1.7,-13.1,-20.2,2.2,0.3,-10.2
KLH057a_0019,359.6,1698.9,2242.3,19.4,-24.3,-28.6,29.1,-127.3,-93.9,-10.4,10.2,7.3,-5.4,-88.3,-20.6,-11.4,-13,-12.5
KLH057a_0020,400.6,1101.6,2163.2,3.7,223.1,-82.3,-3.2,81.9,28.9,4.4,-22.5,17.2,-8.1,24.2,5.5,2.9,6.6,8.2
KLH057a_0021,387.9,890.6,2163.9,0.7,111.1,-52.5,-2.6,99.3,-26.3,-2.7,-16.6,-1.4,-4.8,4.3,-19,-5.8,-16.5,-12
KLH057a_0022,365.6,1129.1,2104.4,53.8,-203,67.3,-42,48.4,18.2,8.1,-46.2,3.6,-11.8,8.4,-14.1,-19.4,9.8,-29.9
KLH057a_0023,353.3,1856.3,2335,-20,-25.5,-25.2,27.5,-63.1,-20.3,-9.1,47.1,-24.6,2.9,-18.9,0.9,-27.5,-3.5,-1.8
KLH057a_0024,400.5,936.2,2117.2,35.7,63.7,-100.6,19.4,48.2,-45.4,-9,87.5,-3.4,-3.4,56.3,1.5,-11.8,-109.7,8.2
KLH057a_0025,379,1258.6,2009.2,42.1,-216.1,69.6,-10.3,18.9,20.4,-3.1,2.6,29.6,0.6,0.7,23.3,-10.6,-7,-6.4
KLH057a_0026,374.4,1625.3,2146.5,-25,18.3,54,-12,-1.7,-43.3,-22.6,-39.3,-60.4,9.5,14.2,-15.8,-2.8,25.7,-9.4
KLH057a_0027,355.3,1092.7,2128.1,-10.5,-51.6,-27.8,4.2,23.9,-2.3,-19.3,12.3,-15.4,-8,4.6,9.7,23.1,-5.9,-15.7
KLH057a_0028,379.4,1287.3,2099.6,-17.7,-17.4,-66.2,9.1,-40.1,-27.8,-6.7,25.5,-4.9,3.2,66.1,-12.9,3.5,24,5.2
KLH057a_0029,359.1,1732.8,2278.1,28.6,-167.7,-104.6,6,-25.8,14.1,2,-4.4,-11.6,0,10,19.2,5.5,-2.4,27
KLH057a_0030,288.4,1801.3,2547.6,7.6,-73,-161,-4.2,23,24.8,12.1,-8.7,-12.4,-8.1,-9.7,3.2,4.7,25.3,2.2
KLH057a_0031,426,1214.3,1987.1,16.8,16.9,-23.6,-24.6,11,-4.9,1.5,-1.9,-13.6,-3.4,-13.5,1.8,3.2,7.5,-2.6
KLH057a_0032,337.2,1292.7,2041.8,33.6,-132,-47.3,-6,24.3,70,10,-20.3,-46.9,-2,13.1,27.4,4.2,-1.4,-8.8
KLH057a_0033,428.8,1404.7,1974.9,-35.6,103.2,120.4,-12.6,-4.2,-15.4,-5.7,16.5,-21.4,-1.2,-0.6,28.7,-0.2,2.5,2.1
KLH057a_0034,434.4,1348.1,2080.3,16.2,-1,-1.3,-13.6,-30.8,17.1,2,-4.9,-4.8,-2.2,-12.8,1.5,0.7,3.8,7
KLH057a_0035,383.3,880.6,2175.6,-14.8,115,-48.7,14.8,104.5,-14,-4.7,0.9,-25.8,8.1,19.5,-24.5,2.7,-7.7,-4.3
KLH057a_0036,486.1,930.7,2193.1,-11.6,-30.9,3.2,-41.6,-22.8,4.6,7.8,19.6,-3.3,-5.5,-7.5,-6.3,1.6,10.4,-3.2
KLH057a_0037,384.9,878.4,2100.1,17.9,-140.1,57,1,46.9,-15.1,3.3,-61,30.3,2.9,28,-0.1,-1.3,-24.9,14.6
KLH057a_0038,338.8,1575.9,2168.5,19,-129,-97.4,9.8,-120.6,-52.5,-3.7,-28.2,36.7,2.5,1.6,-31.1,5.4,22,-16.6
KLH057a_0039,404.5,1362.3,2104.1,-33,194.5,33.2,-35.5,-73.9,46.1,-7.7,-0.1,-9.5,-8.9,-25.9,-29.1,1.5,0.2,-18.7
KLH057a_0040,358.6,869.7,2074.3,-4.9,-6.6,12.7,12.4,101.1,14.1,0.6,46.2,-4.1,-0.6,-0.8,-7.8,3.8,-5.1,0.5
KLH057a_0041,377.8,1039.3,2087.8,-2,-135.6,3.5,-5.4,28.8,-12.1,4.6,-10.2,-19.9,-3.9,10.3,10.1,2.9,3.1,-5.7
KLH057a_0042,391.2,1495.6,2144.2,-16.1,49.5,34.4,-17.3,3.1,15.5,5,-5.9,-30.3,-4,-20.2,-53.3,-1.8,-5,-12.4
KLH057a_0043,421.3,1259.6,2116.6,-11.4,69.9,38.5,0.8,7.4,8.7,-0.9,-5.2,-0.2,-1,-1.8,-5.4,-1.6,0.5,-2.3
KLH057a_0044,420.2,1182.2,2060.7,10.7,-33.5,-2.2,3.7,32.5,-5.9,-1.5,-11.3,6,1.6,10,5.2,-1.5,0.5,-1.2
KLH057a_0045,359.4,1644.5,2113.2,58.6,-315.8,-130.8,-1.8,-71.9,66.2,-6.5,3.3,-26.5,5.6,27.3,42.1,1.4,1.3,-8.1
KLH057a_0046,426.8,1076.4,2054.9,14.6,114.8,-44.3,-18.1,-25.3,-10.7,-2.9,19.7,-10.3,-10.7,6.7,-5.9,-9,2.6,-4.3
KLH057a_0047,394.7,840.7,2158.3,-21.5,-39.7,-32.4,4.9,15.9,-24.4,2.2,25.3,4.6,3.8,13.1,0,2.7,6.7,0.2
KLH057a_0048,427.6,863.1,2170.7,-2.2,-5.5,-8.1,-7.1,17.2,-15.3,6.6,-3.3,-2.1,-7.1,-3.6,3,3.9,6.4,-4
KLH057a_0049,362.8,725,2144.9,-5.2,-56.1,-2.7,-7.2,24.1,-12.6,-0.7,5.3,4.7,2.3,-10.7,-0.6,-4,-7.3,-4.9
KLH057a_0050,390.2,983,2136.6,-23,-93.6,-7.8,-3.2,-27.8,5.4,-1.5,-9.8,12.2,6.5,-5.9,-1.7,-4.8,-2.5,1.8
KLH057a_0051,403.5,938.6,2175.6,23.2,69.1,27.5,24,149.3,-72.4,-7.8,-109.1,5.2,-6.1,11.3,4.9,0.9,-0.3,-2.5
KLH057a_0052,374.2,1002.1,2144.9,43.3,43.3,72.7,10,230,-4,-6.3,-103.1,-9,-30.7,35.3,-44.5,-15.4,-24,4.6
