inputfile,outputfile,vowel,interval,duration,start,end,previous_sound,next_sound,omit,word,word_interval,word_start,word_end,previous_word,next_word,comment1,comment2
KLH057a,KLH057a_0001,a,3,0.067329297,42.8996707,42.967,sil,l,0,aloha,2,42.8996707,43.81876905,-,-,,
KLH057a,KLH057a_0002,o,5,0.553043663,43.05972059,43.61276425,l,h,0,aloha,2,42.8996707,43.81876905,-,-,bollingerian gradience,
KLH057a,KLH057a_0003,a,7,0.155295928,43.66347313,43.81876905,h,sp,0,aloha,2,42.8996707,43.81876905,-,-,,
KLH057a,KLH057a_0004,ai,10,0.137396089,47.63960391,47.777,m,k,0,maikaʻi,4,47.52550894,47.98188881,-,nō,,
KLH057a,KLH057a_0005,a,12,0.062678739,47.817,47.87967874,k,ʻ,0,maikaʻi,4,47.52550894,47.98188881,-,nō,,
KLH057a,KLH057a_0006,i,14,0.045162591,47.93672622,47.98188881,ʻ,n,0,maikaʻi,4,47.52550894,47.98188881,-,nō,,
KLH057a,KLH057a_0007,ō,16,0.085571226,48.04765189,48.13322311,n,sp,0,nō,5,47.98188881,48.13322311,maikaʻi,-,,
KLH057a,--,a,18,0.79,80.015,80.805,sp,sp,1,a,7,80.015,80.805,-,-,,disfl
KLH057a,KLH057a_0008,u,21,0.034862351,81.22260045,81.2574628,k,ʻ,0,kuʻu,9,81.105,81.30421004,-,ʻāina,,
KLH057a,KLH057a_0009,u,23,0.039616308,81.26459374,81.30421004,ʻ,ʻ,0,kuʻu,9,81.105,81.30421004,-,ʻāina,,
KLH057a,KLH057a_0010,āi,25,0.118056599,81.33114913,81.44920573,ʻ,n,0,ʻāina,10,81.30421004,81.54428487,kuʻu,hānau,,
KLH057a,KLH057a_0011,a,27,0.031693047,81.51259182,81.54428487,n,h,0,ʻāina,10,81.30421004,81.54428487,kuʻu,hānau,,
KLH057a,KLH057a_0012,ā,29,0.095871466,81.57122396,81.66709543,h,n,0,hānau,11,81.54428487,81.99325853,ʻāina,-,,
KLH057a,KLH057a_0013,au,31,0.248515137,81.74474339,81.99325853,n,sil,0,hānau,11,81.54428487,81.99325853,ʻāina,-,,
KLH057a,KLH057a_0014,o,34,0.25195972,83.30266722,83.55462694,ʻ,sp,0,ʻo,13,83.2685972,83.55462694,-,-,,
KLH057a,KLH057a_0015,au,37,0.105104101,83.80500201,83.91010611,k,a,0,kauaʻi,15,83.704,84.1581042,-,-,,
KLH057a,KLH057a_0016,a,38,0.041993287,83.91010611,83.9520994,au,ʻ,0,kauaʻi,15,83.704,84.1581042,-,-,,
KLH057a,KLH057a_0017,i,40,0.158465233,83.99963897,84.1581042,ʻ,sp,0,kauaʻi,15,83.704,84.1581042,-,-,,
KLH057a,--,a,43,0.007039471,84.674,84.68103947,h,n,1,hanalei,17,84.59546825,85.024,-,o,,
KLH057a,KLH057a_0018,a,45,0.062593767,84.75314115,84.81573492,n,l,0,hanalei,17,84.59546825,85.024,-,o,,
KLH057a,KLH057a_0019,ei,47,0.148840619,84.87515938,85.024,l,o,0,hanalei,17,84.59546825,85.024,-,o,,
KLH057a,KLH057a_0020,o,48,0.060850536,85.024,85.08485054,ei,k,0,o,18,85.024,85.08485054,hanalei,kauaʻi,,
KLH057a,KLH057a_0021,au,50,0.114887294,85.23380786,85.34869515,k,a,0,kauaʻi,19,85.08485054,85.57688508,o,-,,
KLH057a,KLH057a_0022,a,51,0.055304851,85.34869515,85.404,au,ʻ,0,kauaʻi,19,85.08485054,85.57688508,o,-,,
KLH057a,KLH057a_0023,i,53,0.133903122,85.44298196,85.57688508,ʻ,sp,0,kauaʻi,19,85.08485054,85.57688508,o,-,,
KLH057a,KLH057a_0024,au,56,0.110925663,85.96354025,86.07446592,k,a,0,kauaʻi,21,85.864,86.18987026,-,hanalei,,
KLH057a,KLH057a_0025,a,57,0.063903141,86.07446592,86.13836906,au,ʻ,0,kauaʻi,21,85.864,86.18987026,-,hanalei,,
KLH057a,KLH057a_0026,i,59,0.045162591,86.14470767,86.18987026,ʻ,h,0,kauaʻi,21,85.864,86.18987026,-,hanalei,,
KLH057a,KLH057a_0027,a,61,0.053878179,86.27861079,86.33248897,h,n,0,hanalei,22,86.18987026,86.64625013,kauaʻi,-,,
KLH057a,KLH057a_0028,a,63,0.04753957,86.41172158,86.45926115,n,l,0,hanalei,22,86.18987026,86.64625013,kauaʻi,-,,
KLH057a,KLH057a_0029,ei,65,0.125187534,86.52106259,86.64625013,l,sp,0,hanalei,22,86.18987026,86.64625013,kauaʻi,-,,
KLH057a,KLH057a_0030,i,68,0.077647964,88.18119528,88.25884324,ʻ,k,0,ʻike,24,88.16772573,88.34599912,-,ʻoe,,
KLH057a,--,e,70,0.022977459,88.32302166,88.34599912,k,ʻ,1,ʻike,24,88.16772573,88.34599912,-,ʻoe,,
KLH057a,KLH057a_0031,o,72,0.046115989,88.35788401,88.404,ʻ,e,0,ʻoe,25,88.34599912,88.44424756,ʻike,kēlā,,
KLH057a,KLH057a_0032,e,73,0.040247563,88.404,88.44424756,o,k,0,ʻoe,25,88.34599912,88.44424756,ʻike,kēlā,,
KLH057a,KLH057a_0033,ē,75,0.031011906,88.53298809,88.564,k,l,0,kēlā,26,88.44424756,88.69224565,ʻoe,uapo,,
KLH057a,KLH057a_0034,ā,77,0.057047484,88.63519817,88.69224565,l,u,0,kēlā,26,88.44424756,88.69224565,ʻoe,uapo,,
KLH057a,KLH057a_0035,u,78,0.111717989,88.69224565,88.80396364,ā,a,0,uapo,27,88.69224565,89.17212003,kēlā,inā,,
KLH057a,KLH057a_0036,a,79,0.076855638,88.80396364,88.88081928,u,p,0,uapo,27,88.69224565,89.17212003,kēlā,inā,,
KLH057a,KLH057a_0037,o,81,0.195429284,88.97669075,89.17212003,p,i,0,uapo,27,88.69224565,89.17212003,kēlā,inā,,
