time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025703,627.7,147.8,892.9,442.1,2526.4,575.5,671.1,860.5,2561.2,0,65.9
0.027703,646.6,168.5,861.3,453.5,2572.3,543.9,668.6,862.7,2562.9,0,66.3
0.029703,665.2,186.0,829.4,465.8,2605.2,454.1,664.4,866.2,2565.6,0,66.5
0.031703,687.1,186.9,807.0,534.9,2610.5,398.7,658.8,870.6,2569.2,0,66.7
0.033703,696.5,173.7,815.2,658.6,2594.2,398.8,652.1,875.7,2573.8,0,66.9
0.035703,681.1,174.6,849.3,682.1,2559.8,410.7,644.6,881,2579.2,0,67.1
0.037703,647.9,166.0,890.7,621.5,2526.6,390.2,636.5,886,2585.2,0,67.3
0.039703,619.0,141.6,923.5,567.8,2524.4,352.3,628.4,890.2,2591.7,0,67.6
0.041703,600.1,118.8,954.1,532.2,2565.4,296.5,620.4,893.2,2598.5,0,67.8
0.043703,594.3,113.5,971.6,499.8,2616.8,214.8,613.1,894.4,2605.5,0,68.1
0.045703,600.9,128.5,957.3,461.8,2644.1,147.9,606.8,893.6,2612.6,0,68.3
0.047703,612.2,154.2,914.2,412.2,2651.8,124.7,601.6,890.5,2619.5,0,68.5
0.049703,618.4,180.1,871.4,347.3,2651.1,132.5,597.9,884.9,2626.2,0,68.9
0.051703,614.0,191.2,853.1,309.7,2647.0,161.5,595.8,876.7,2632.5,0,69.3
0.053703,596.4,182.4,851.9,294.7,2644.4,202.6,595.4,866.2,2638.4,0,69.7
0.055703,575.3,162.9,855.0,284.8,2646.0,235.4,596.7,853.4,2643.6,0,70.1
0.057703,559.3,150.4,852.9,278.3,2650.0,243.4,599.6,838.8,2648.1,0,70.4
0.059703,555.1,160.5,842.4,288.9,2657.1,218.4,604,822.9,2652,0,70.5
0.061703,568.2,203.1,816.7,319.4,2665.4,177.1,609.7,806.2,2655,0,70.5
0.063703,616.0,288.5,756.9,345.3,2667.3,121.3,616.3,789.4,2657.4,0,70.5
0.065703,660.6,511.2,707.7,212.4,2665.6,73.6,623.6,773.2,2659,0,70.5
0.067703,654.0,631.1,718.0,158.9,2665.2,50.6,631.3,758.3,2659.8,0,70.5
0.069703,652.0,690.2,726.8,137.7,2663.8,49.9,638.9,745.3,2660,0,70.7
0.071703,656.1,715.8,733.1,131.5,2657.1,61.3,646.1,734.9,2659.5,0,70.9
0.073703,659.6,767.7,734.3,135.7,2643.2,76.9,652.5,727.7,2658.5,0,71.1
0.075703,660.5,841.5,733.3,154.4,2622.2,95.6,657.9,724.1,2657,0,71.2
0.077703,667.7,902.7,732.0,187.0,2608.9,104.1,662,724.3,2655,0,71.2
0.079703,682.2,962.7,730.3,226.6,2612.3,98.7,664.6,728.6,2652.6,0,71.1
0.081703,693.1,993.8,730.4,259.3,2625.2,84.6,665.6,737,2649.8,0,70.9
0.083703,681.4,961.0,740.7,285.2,2640.9,67.5,664.8,749.2,2646.8,0,70.8
0.085703,648.9,866.4,762.7,300.9,2654.8,57.8,662.4,765,2643.5,0,71
0.087703,678.7,784.8,754.4,327.5,2664.6,65.9,658.3,783.9,2639.9,0,71.6
0.089703,677.2,312.3,824.0,762.1,2663.8,91.7,652.8,805.4,2636.2,0,72.5
0.091703,638.7,253.4,912.2,729.1,2652.6,103.0,646,828.7,2632.2,0,73.5
0.093703,626.3,242.8,923.3,644.2,2642.7,86.0,638.1,853.1,2628.1,0,74.3
0.095703,618.4,265.4,900.6,527.0,2636.6,60.7,629.5,877.8,2623.6,0,74.9
0.097703,600.5,303.7,881.2,398.8,2632.8,40.7,620.5,902.1,2619,0,75.2
0.099703,570.3,320.9,883.2,302.3,2629.0,27.9,611.3,925.3,2614,0,75.4
0.101703,550.8,311.0,908.8,278.1,2623.2,24.2,602.2,946.7,2608.7,0,75.4
0.103703,552.1,292.8,958.9,312.0,2614.2,32.2,593.6,965.7,2603,0,75.6
0.105703,564.8,284.9,999.2,342.9,2601.9,48.3,585.5,981.9,2597,0,75.8
0.107703,579.1,290.3,1005.3,359.8,2591.3,59.2,578.2,995,2590.5,0,76.1
0.109703,589.0,296.8,998.4,374.4,2581.6,61.5,571.8,1004.9,2583.6,0,76.4
0.111703,591.9,295.7,994.1,395.5,2570.1,59.5,566.3,1011.7,2576.2,0,76.7
0.113703,585.6,278.5,1003.2,427.4,2554.4,57.0,561.8,1015.6,2568.4,0,76.8
0.115703,570.0,253.8,1026.1,433.2,2539.5,55.2,558.1,1016.9,2560.1,0,76.9
0.117703,557.6,257.6,1035.9,375.0,2529.5,56.4,555.2,1016.2,2551.3,0,77
