time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025438,295.1,85.1,1936.0,475.4,2666.0,782.0,297.6,1952.5,2698.4,110.4,67.2
0.027438,299.1,86.2,1951.2,468.6,2680.7,787.2,299.7,1962.4,2694.7,110.5,67.2
0.029438,303.8,90.9,1985.1,459.8,2698.9,781.8,303,1976.4,2690.5,110.5,67.1
0.031438,309.8,95.0,2012.6,438.1,2712.3,725.3,307.5,1991.6,2687.9,110.5,66.9
0.033438,315.0,97.1,2021.4,421.9,2719.8,668.2,312.9,2004.6,2689.8,110.5,66.8
0.035438,318.5,103.4,2018.9,437.2,2724.1,660.0,319,2013.2,2698.2,110.4,66.7
0.037438,324.1,120.1,2010.5,499.2,2727.2,695.1,325.6,2016.1,2714.8,110.4,66.6
0.039438,333.4,138.0,1999.3,582.8,2728.1,733.8,332.5,2013.7,2739.8,110.3,66.5
0.041438,341.6,138.8,1991.6,612.1,2735.3,736.8,339.7,2007.5,2772.2,110.1,66.5
0.043438,345.4,127.0,1991.9,571.3,2763.0,723.7,346.8,2000,2809.7,110,66.4
0.045438,349.0,114.5,1995.5,499.0,2819.1,706.7,353.8,1993.6,2848.9,109.9,66.2
0.047438,357.3,105.1,1997.8,428.8,2895.5,673.1,360.4,1990.4,2886.1,109.7,66
0.049438,368.6,97.5,2002.6,372.5,2964.0,623.1,366.4,1991.4,2917.5,109.6,65.8
0.051438,375.9,92.1,2008.7,335.5,2989.2,591.0,371.5,1996.6,2940.3,109.4,65.6
0.053438,378.8,90.4,2011.9,315.5,2978.2,591.8,375.5,2005.1,2952.6,109.3,65.5
0.055438,379.8,92.4,2012.1,305.1,2949.5,594.0,378.2,2015.4,2954.2,109.1,65.4
0.057438,379.2,93.3,2013.5,287.9,2915.5,565.0,379.5,2026,2946.3,108.9,65.4
0.059438,376.4,87.6,2021.7,255.1,2894.9,510.8,379.6,2035.8,2931.4,108.7,65.3
0.061438,373.8,79.3,2037.1,215.8,2887.1,465.3,378.6,2044.7,2912.7,108.5,65.2
0.063438,373.7,74.9,2055.1,181.1,2885.3,441.1,376.7,2052.8,2893.7,108.3,64.9
0.065438,375.5,78.2,2072.0,150.7,2887.1,423.9,374.3,2061,2877.2,108.2,64.6
0.067438,375.8,90.2,2082.1,128.4,2889.1,404.4,371.6,2069.8,2865.3,108,64.1
0.069438,371.6,101.8,2084.7,114.5,2882.1,381.1,369,2079.8,2858.8,107.8,63.6
0.071438,366.2,108.6,2086.4,104.7,2873.8,351.4,366.8,2090.5,2857.1,107.5,63
0.073438,364.5,119.1,2092.4,102.7,2869.0,328.7,364.9,2101,2859,107.3,62.4
0.075438,367.5,153.1,2105.1,115.4,2860.2,319.0,363.5,2110.1,2862.3,107.1,61.8
0.077438,368.2,226.4,2118.0,138.4,2850.1,317.1,362.7,2116.3,2865.3,106.9,61.2
0.079438,352.0,330.0,2121.8,153.5,2845.8,312.1,362.5,2118.5,2866.5,106.6,60.6
