time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025417,342.2,96.5,2032.2,116.1,2474.4,517.2,347.3,2020.2,2434.2,163.1,73.9
0.027417,350.4,77.6,2037.8,114.6,2460.6,595.5,349.4,2031.6,2478.9,163.4,75.3
0.029417,356.5,74.2,2045.6,115.3,2492.9,651.3,353.2,2047.9,2531.9,163.5,76.4
0.031417,361.8,79.6,2051.5,118.4,2548.5,672.0,358.4,2065.4,2570.3,163.5,77.3
0.033417,366.3,85.9,2055.7,132.7,2585.6,703.8,364.3,2079,2576.5,163.3,77.8
0.035417,368.5,86.8,2065.0,165.4,2590.3,794.4,369.2,2084,2545.3,163,78.2
0.037417,367.9,82.1,2087.6,221.4,2533.2,933.9,371.2,2076.6,2485.8,162.5,78.2
0.039417,365.3,73.9,2112.4,297.4,2389.0,957.4,369.3,2055.8,2417.1,162,78.1
0.041417,361.6,62.8,2068.5,460.7,2278.8,611.1,363.8,2023.8,2360.7,161.3,77.7
0.043417,358.5,53.2,1937.6,371.4,2331.9,413.1,356.9,1985.8,2332.4,160.6,77.1
0.045417,357.3,49.5,1897.7,256.5,2367.9,339.2,352.2,1948.2,2336.6,159.7,76.4
0.047417,358.7,51.8,1892.8,214.5,2404.6,291.7,352.9,1916.4,2366.3,158.8,75.4
0.049417,362.2,58.8,1902.9,237.4,2426.8,255.6,361.1,1892.8,2406.5,157.9,74.4
0.051417,369.2,73.5,1920.1,320.2,2428.6,236.5,376.2,1875.3,2440.8,156.8,73.4
0.053417,386.0,95.7,1901.6,406.1,2420.8,215.0,395.1,1858.6,2457.7,155.7,72.3
0.055417,413.9,100.3,1825.2,344.9,2422.9,179.5,413.2,1836.1,2453.1,154.5,71.5
0.057417,434.1,82.0,1768.9,221.2,2431.1,154.3,426,1802.7,2431,153.3,71
0.059417,434.9,68.7,1735.2,151.7,2428.6,143.8,431.2,1757.9,2399.4,152,70.8
0.061417,427.9,65.0,1702.0,117.9,2403.6,147.1,429.1,1706.7,2367.3,150.6,70.9
0.063417,421.1,66.5,1667.5,100.5,2357.3,159.4,422.7,1658.3,2341.3,149.2,71
0.065417,416.3,69.0,1637.2,91.0,2310.6,171.5,416.4,1623.6,2325,147.7,71.1
0.067417,412.5,71.2,1612.5,88.6,2289.9,186.2,413.8,1610.9,2319.5,146.2,71.2
