file,label,group,color,number
KLH063a_0001.wav,a,1,Red,1
KLH063a_0002.wav,u,5,Olive,2
KLH063a_0003.wav,i,3,Black,3
KLH063a_0004.wav,o,4,Green,4
KLH063a_0005.wav,ō,9,Lime,5
KLH063a_0006.wav,o,4,Green,6
KLH063a_0007.wav,u,5,Olive,7
KLH063a_0008.wav,a,1,Red,8
KLH063a_0009.wav,ā,6,Yellow,9
KLH063a_0010.wav,āi,15,Grey,10
KLH063a_0011.wav,a,1,Red,11
KLH063a_0012.wav,u,5,Olive,12
KLH063a_0013.wav,a,1,Red,13
KLH063a_0014.wav,ā,6,Yellow,14
KLH063a_0015.wav,au,14,Maroon,15
KLH063a_0016.wav,i,3,Black,16
KLH063a_0017.wav,a,1,Red,17
KLH063a_0018.wav,āi,15,Grey,18
KLH063a_0019.wav,a,1,Red,19
KLH063a_0020.wav,ī,8,Black,20
KLH063a_0021.wav,a,1,Red,21
KLH063a_0022.wav,u,5,Olive,22
KLH063a_0023.wav,u,5,Olive,23
KLH063a_0024.wav,a,1,Red,24
KLH063a_0025.wav,i,3,Black,25
KLH063a_0026.wav,a,1,Red,26
KLH063a_0027.wav,e,2,Blue,27
KLH063a_0028.wav,e,2,Blue,28
KLH063a_0029.wav,e,2,Blue,29
KLH063a_0030.wav,a,1,Red,30
KLH063a_0031.wav,ā,6,Yellow,31
KLH063a_0032.wav,e,2,Blue,32
KLH063a_0033.wav,a,1,Red,33
KLH063a_0034.wav,u,5,Olive,34
KLH063a_0035.wav,a,1,Red,35
KLH063a_0036.wav,a,1,Red,36
KLH063a_0037.wav,i,3,Black,37
KLH063a_0038.wav,i,3,Black,38
KLH063a_0039.wav,u,5,Olive,39
KLH063a_0040.wav,ū,10,Purple,40
KLH063a_0041.wav,ā,6,Yellow,41
KLH063a_0042.wav,i,3,Black,42
KLH063a_0043.wav,a,1,Red,43
KLH063a_0044.wav,e,2,Blue,44
KLH063a_0045.wav,ā,6,Yellow,45
KLH063a_0046.wav,i,3,Black,46
KLH063a_0047.wav,a,1,Red,47
KLH063a_0048.wav,o,4,Green,48
KLH063a_0049.wav,u,5,Olive,49
KLH063a_0050.wav,au,14,Maroon,50
KLH063a_0051.wav,a,1,Red,51
KLH063a_0052.wav,ai,11,Teal,52
KLH063a_0053.wav,a,1,Red,53
KLH063a_0054.wav,ā,6,Yellow,54
KLH063a_0055.wav,o,4,Green,55
KLH063a_0056.wav,e,2,Blue,56
KLH063a_0057.wav,ā,6,Yellow,57
KLH063a_0058.wav,u,5,Olive,58
KLH063a_0059.wav,a,1,Red,59
KLH063a_0060.wav,a,1,Red,60
KLH063a_0061.wav,i,3,Black,61
KLH063a_0062.wav,o,4,Green,62
KLH063a_0063.wav,o,4,Green,63
KLH063a_0064.wav,ā,6,Yellow,64
KLH063a_0065.wav,āu,18,Black,65
KLH063a_0066.wav,a,1,Red,66
KLH063a_0067.wav,o,4,Green,67
KLH063a_0068.wav,o,4,Green,68
KLH063a_0069.wav,a,1,Red,69
KLH063a_0070.wav,a,1,Red,70
KLH063a_0071.wav,a,1,Red,71
KLH063a_0072.wav,ai,11,Teal,72
KLH063a_0073.wav,a,1,Red,73
KLH063a_0074.wav,ō,9,Lime,74
KLH063a_0075.wav,a,1,Red,75
KLH063a_0076.wav,e,2,Blue,76
KLH063a_0077.wav,a,1,Red,77
KLH063a_0078.wav,a,1,Red,78
KLH063a_0079.wav,o,4,Green,79
KLH063a_0080.wav,a,1,Red,80
KLH063a_0081.wav,u,5,Olive,81
KLH063a_0082.wav,a,1,Red,82
KLH063a_0083.wav,a,1,Red,83
KLH063a_0084.wav,u,5,Olive,84
KLH063a_0085.wav,ō,9,Lime,85
KLH063a_0086.wav,i,3,Black,86
KLH063a_0087.wav,e,2,Blue,87
KLH063a_0088.wav,a,1,Red,88
KLH063a_0089.wav,a,1,Red,89
KLH063a_0090.wav,ā,6,Yellow,90
KLH063a_0091.wav,e,2,Blue,91
KLH063a_0092.wav,a,1,Red,92
KLH063a_0093.wav,o,4,Green,93
