,filename,vowel,word,start,stress,mahal_mean,mahal_median,edit
1,KLH063a_3149,i,piʻi,1248.601685,primary,146.2663509,3.857526349,1
2,KLH063a_4962,u,puka,2353.17223,primary,123.0719891,60.82160839,0
3,KLH063a_4768,o,ʻoʻoleʻa,2239.687018,secondary,52.01708446,51.05787095,1
4,KLH063a_4816,o,ʻoki,2257.265972,primary,50.21023367,50.66957793,2
5,KLH063a_2944,u,kuahiwi,1195.276516,secondary,50.17655139,0.509409509,1
6,KLH063a_0574,i,ia,311.58,primary,35.27003002,34.48754809,
7,KLH063a_0042,i,iwa,142.141,primary,34.80914036,30.76528949,
8,KLH063a_2292,u,kuʻi,935.5318581,primary,34.63508971,2.116667006,1
9,KLH063a_5256,i,makahiki,2498.177583,unstressed,33.87573836,26.72529177,
10,KLH063a_1849,u,aku,773.8921437,unstressed,33.52287871,41.84890495,0
11,KLH063b_0040,i,kāʻili,52.97423316,unstressed,32.42909758,33.85635188,
12,KLH063a_0937,u,kaʻu,433.3160257,unstressed,30.59345467,12.86971567,1
13,KLH063a_0953,i,ia,435.861,primary,30.11637294,27.00253599,20
14,KLH063a_5442,u,mua,2575.631754,primary,28.47810996,28.84223564,1
15,KLH063a_2197,i,ia,892.1502345,primary,28.43638479,29.17678606,
16,KLH063a_0326,i,makahiki,238.3676824,unstressed,26.44536042,28.22035737,
17,KLH063a_2681,ī,kepanī,1086.877813,primary,24.0629858,24.6641342,20
18,KLH063a_3025,u,iaʻu,1213.687412,unstressed,23.98469746,20.20742466,0
19,KLH063a_2743,i,ia,1106.284,primary,23.4122071,25.27232297,
20,KLH063a_0531,i,ia,302.4406535,primary,22.80085294,15.47290463,0
21,KLH063a_5117,u,mua,2424.207,primary,22.45248875,25.16722517,1
22,KLH063a_0301,ei,nei,231.2112563,primary,22.2509873,22.81925716,1
23,KLH063c_0640,i,pipi,299.3108,unstressed,21.92173308,14.5378953,
24,KLH063c_0576,ī,ʻīlio,275.7095188,secondary,21.07062118,22.11444239,0
25,KLH063c_1318,ou,mākou,695.7998,primary,20.88747305,11.65149071,0
26,KLH063a_2271,u,kukui,929.3932284,primary,20.61954831,1.19225254,
27,KLH063b_0116,i,kāʻili,120.2002684,unstressed,20.2955431,15.66713672,
28,KLH063c_1026,i,kalawina,442.0125217,primary,20.26678013,20.06474964,0
29,KLH063a_4549,o,lio,2155.035471,unstressed,19.98413873,18.45297667,0
30,KLH063a_3446,o,hōlono,1354.975,unstressed,19.70870389,2.840580043,1
31,KLH063a_2041,i,iʻa,840.02,primary,19.35258312,18.31285398,20
32,KLH063a_0913,u,kuʻu,427.353,primary,19.17947021,0.692946989,1
33,KLH063c_1322,ou,lākou,696.7901789,primary,18.32409727,12.48323886,0
34,KLH063a_1510,i,makahiki,674.0620441,unstressed,17.87700863,14.97175838,
35,KLH063c_0524,i,wahi,262.2868,unstressed,17.5333429,16.3649765,20
36,KLH063a_4522,e,hoʻomaʻemaʻe,2147.136832,unstressed,17.43644434,16.41951159,
37,KLH063a_0603,u,iaʻu,318.794811,unstressed,17.4239003,16.35002405,0
38,KLH063a_3168,i,nui,1256.613819,unstressed,17.24803302,17.20474965,
39,KLH063a_2840,i,mahina,1145.773264,primary,17.02253775,10.95247442,
40,KLH063a_2801,u,kaʻu,1132.664613,unstressed,16.96332553,17.08210928,
41,KLH063a_1143,i,kaʻapuni,549.2083715,unstressed,16.88209279,17.82599465,
42,KLH063a_0499,u,kaʻu,293.7361534,unstressed,16.86707667,16.83107038,
43,KLH063c_0988,i,inoa,429.2674331,unstressed,16.481908,16.66220328,20
44,KLH063a_3023,i,iaʻu,1213.397,unstressed,16.34924907,16.84357752,20
45,KLH063a_5332,u,kīpahulu,2530.105,unstressed,16.30268647,20.53216075,1
46,KLH063a_0916,i,kupunawahine,427.9043192,primary,16.20830022,13.26888376,20
