file,c11,c21,c31,c12,c22,c32,c13,c23,c33,c14,c24,c34,c15,c25,c35,c16,c26,c36
KLH063a_0001,635.5,1259.5,2082.1,26.7,111.9,-43.2,-33.5,65.1,12.5,6.9,49.8,-34.4,-8.5,7.7,12.1,0.3,35.2,-20.3
KLH063a_0002,442.2,1127.6,2446.3,42.3,-97.1,68.5,-17.8,70.8,-44.7,29.6,-3.3,1.9,12.4,45.4,-7.9,-8.8,-16.6,-12.4
KLH063a_0003,333.6,1872.2,2538.6,0.5,-308.8,-314.3,15,-62.8,115.1,14.8,12.9,0.7,3.1,-49.8,-14.7,-2.5,-10.5,-1.9
KLH063a_0004,528.2,1114,2152.9,-55.7,345.8,323.7,-7.9,167.8,152.3,-44.7,77.8,-88.7,-13,7.9,-47.5,-27.2,8.9,-12.6
KLH063a_0005,576.4,926.7,2480.8,-21.2,70.5,-7.1,-4.4,124.8,-11,-9.2,38.1,-54.5,-4.9,63,28.6,-3.7,-18.3,9.5
KLH063a_0006,602.1,917.9,2135.5,-34.6,-91.2,-209.2,26.7,154,36.2,-21.6,-123.4,-127.7,29.5,108.1,52,-13.2,-75.7,-47.1
KLH063a_0007,333,1341.3,2347.4,-53.6,178.3,-17.1,28.9,-70,-56.3,0.8,-1.5,5.3,22,98.8,0.5,5.2,8.2,4.1
KLH063a_0008,561.1,1283.1,2367.5,-86.5,-70.4,-48.1,-8.1,-8.6,28.5,19.2,11.2,-10.2,-15.7,-14.7,-1.1,-5.8,19.7,14.1
KLH063a_0009,731.3,1427.2,2387.1,60.9,-131.4,123.4,-48.1,24.8,70.8,-7.9,-3.3,-179.8,-15.4,-5.3,3.4,3.4,-7.5,21.5
KLH063a_0010,580.2,1754.1,2574.8,261.7,-332.1,-447.9,-40,-50.2,77.1,-4.5,1.8,106.4,6.2,16.3,-32.7,-7.4,-26.5,23.7
KLH063a_0011,650.8,1414.2,2461.3,-81.3,159.8,110.6,-34.8,18.9,11.8,-4.8,16.9,-20.2,-17.2,2.7,-61.7,-7.4,5.6,32.8
KLH063a_0012,369.7,1140.2,2399.2,-69.4,201.8,14.6,-19.6,45,65.3,-13.3,-69.5,-66.6,-14.4,-8.9,-53.5,-6.7,46.7,15.5
KLH063a_0013,533.5,1158.7,2477,-82.4,-80.7,-53,-26.5,-43.8,-13.8,-6.1,-7.1,8,4.4,-25.9,-7.1,5,-6.1,14.1
KLH063a_0014,689.3,1429,2473.1,33.1,-178.9,-117.4,-21.3,58.6,91.4,3.2,-4.5,-14,1,-0.5,-14.1,13.4,0.7,-21.7
KLH063a_0015,495.5,1437.3,2565.6,79.6,231.8,16.9,-11.8,41.7,33.4,8.3,5.1,11.3,-9.8,0.9,3.6,-10.8,-12.7,-4.1
KLH063a_0016,313,1346.4,2290,52.4,-46,155.3,-3.5,-37.6,-103.5,-5,2.1,41.4,4.1,17.7,-11.8,10.3,-6,2.4
KLH063a_0017,637.5,1335.4,2271.6,-46.4,33,-25.6,1.8,23.4,-35.5,4.8,20.2,2,-9.4,9.7,18.9,-6.4,7,-10.8
KLH063a_0018,661.5,1668.6,2552.7,223.1,-275,-248,-67.3,-28,210.1,12.9,32.2,72.1,-11.3,-15.4,-90.8,-12.8,-21.7,-22.2
KLH063a_0019,507.7,1461.5,2582.6,16.5,145,86.7,-28.9,73.2,-29.2,-10,10.6,-13,-24.8,-5.5,-3.7,3.5,1.4,-34.4
KLH063a_0020,287.1,1915.5,2386.4,-22.5,97.1,268.4,-21.3,-128,-21,-16,-21.1,43.6,-7.7,-98.8,-37.3,-5.2,30.5,-13.2
