inputfile,outputfile,vowel,interval,duration,start,end,previous_sound,next_sound,omit,word,word_interval,word_start,word_end,previous_word,next_word,comment1,comment2
KLH063a,--,a,3,0.31299932608510517,87.89700000000002,88.20999932608512,sil,k,1,a,2,87.89700000000002,88.20999932608512,-,kaʻu,,disfl
KLH063a,KLH063a_0001,a,5,0.08587017590434698,88.3244928939576,88.41036306986194,k,ʻ,0,kaʻu,3,88.20999932608512,88.52771897693123,a,inoa,,
KLH063a,KLH063a_0002,u,7,0.0982736457572031,88.42944533117402,88.52771897693123,ʻ,i,0,kaʻu,3,88.20999932608512,88.52771897693123,a,inoa,,
KLH063a,KLH063a_0003,i,8,0.08928102306879282,88.52771897693123,88.61700000000002,u,n,0,inoa,4,88.52771897693123,89.00859196199559,kaʻu,-,,
KLH063a,KLH063a_0004,o,10,0.1774650302023133,88.72235804231443,88.89982307251674,n,a,0,inoa,4,88.52771897693123,89.00859196199559,kaʻu,-,,
KLH063a,--,a,11,0.10876888947885277,88.89982307251674,89.00859196199559,o,sp,1,inoa,4,88.52771897693123,89.00859196199559,kaʻu,-,,background noise
KLH063a,KLH063a_0005,ō,14,0.2238719227998871,89.18700000000001,89.4108719227999,n,ʻ,0,nō,6,89.077,89.4108719227999,-,ʻo,,
KLH063a,KLH063a_0006,o,16,0.14025462064377336,89.52345726454116,89.66371188518494,ʻ,sp,0,ʻo,7,89.4108719227999,89.66371188518494,nō,-,,
KLH063a,KLH063a_0007,u,18,0.06282123428474051,128.89717876571527,128.96,sp,a,0,ua,9,128.89717876571527,129.0078558813253,-,hānau,,
KLH063a,KLH063a_0008,a,19,0.047855881325290284,128.96,129.0078558813253,u,h,0,ua,9,128.89717876571527,129.0078558813253,-,hānau,,
KLH063a,KLH063a_0009,ā,21,0.11242111613026395,129.11757888386975,129.23000000000002,h,n,0,hānau,10,129.0078558813253,129.51000000000002,ua,au,,
KLH063a,--,au,23,0.15007639746687573,129.35992360253314,129.51000000000002,n,au,1,hānau,10,129.0078558813253,129.51000000000002,ua,au,,overlap
KLH063a,--,au,24,0.30999999999997385,129.51000000000002,129.82,au,i,1,au,11,129.51000000000002,129.82,hānau,i,,overlap
KLH063a,--,i,25,0.040000000000020464,129.82,129.86,au,k,1,i,12,129.82,129.86,au,ka,,overlap
KLH063a,--,a,27,0.06010912313305994,129.9376405034169,129.99774962654996,k,ʻ,1,ka,13,129.86,129.99774962654996,i,ʻāina,,overlap
KLH063a,KLH063a_0010,āi,29,0.20583207994542363,130.0541679200546,130.26000000000002,ʻ,n,0,ʻāina,14,129.99774962654996,130.44344605082097,ka,-,,
KLH063a,KLH063a_0011,a,31,0.09254896736356955,130.3508970834574,130.44344605082097,n,sp,0,ʻāina,14,129.99774962654996,130.44344605082097,ka,-,,
KLH063a,KLH063a_0012,u,33,0.04255542523509348,132.0284445747649,132.071,sp,a,0,ua,16,132.0284445747649,132.11100000000002,-,hānau,,
KLH063a,KLH063a_0013,a,34,0.040000000000020464,132.071,132.11100000000002,u,h,0,ua,16,132.0284445747649,132.11100000000002,-,hānau,,
KLH063a,KLH063a_0014,ā,36,0.09000000000000341,132.211,132.30100000000002,h,n,0,hānau,17,132.11100000000002,132.57228902215914,ua,-,,
KLH063a,KLH063a_0015,au,38,0.16128902215913854,132.411,132.57228902215914,n,sp,0,hānau,17,132.11100000000002,132.57228902215914,ua,-,,
KLH063a,--,au,40,0.36245884795593497,132.78854115204408,133.151,sp,i,1,au,19,132.78854115204408,133.151,-,i,,disfl
KLH063a,KLH063a_0016,i,41,0.04999999999998295,133.151,133.201,au,k,0,i,20,133.151,133.201,au,ka,,
KLH063a,KLH063a_0017,a,43,0.03339395729614125,133.26846002404284,133.30185398133898,k,ʻ,0,ka,21,133.201,133.30185398133898,i,ʻāina,,
KLH063a,KLH063a_0018,āi,45,0.1736485779399004,133.3772289135217,133.5508774914616,ʻ,n,0,ʻāina,22,133.30185398133898,133.68063686838371,ka,kīpahulu,,
KLH063a,KLH063a_0019,a,47,0.07442081911707987,133.60621604926664,133.68063686838371,n,k,0,ʻāina,22,133.30185398133898,133.68063686838371,ka,kīpahulu,,
KLH063a,KLH063a_0020,ī,49,0.04664302924209096,133.821,133.8676430292421,k,p,0,kīpahulu,23,133.68063686838371,134.27695753438618,ʻāina,-,,
KLH063a,KLH063a_0021,a,51,0.03999999999999204,133.961,134.001,p,h,0,kīpahulu,23,133.68063686838371,134.27695753438618,ʻāina,-,,
KLH063a,KLH063a_0022,u,53,0.0800000000000125,134.071,134.151,h,l,0,kīpahulu,23,133.68063686838371,134.27695753438618,ʻāina,-,,
KLH063a,KLH063a_0023,u,55,0.06106323619866316,134.21589429818752,134.27695753438618,l,sp,0,kīpahulu,23,133.68063686838371,134.27695753438618,ʻāina,-,,
KLH063a,--,a,58,0.005724678393619342,134.88381950694765,134.88954418534126,k,m,1,ka,25,134.83100000000002,134.88954418534126,-,mahina,,
KLH063a,KLH063a_0024,a,60,0.09000000000000341,135.02100000000002,135.11100000000002,m,h,0,mahina,26,134.88954418534126,135.64615584636516,ka,-,,
KLH063a,KLH063a_0025,i,62,0.07999999999998408,135.181,135.261,h,n,0,mahina,26,134.88954418534126,135.64615584636516,ka,-,,
KLH063a,KLH063a_0026,a,64,0.27764690209073706,135.36850894427442,135.64615584636516,n,sp,0,mahina,26,134.88954418534126,135.64615584636516,ka,-,,
KLH063a,KLH063a_0027,e,67,0.04377362001324059,137.257,137.30077362001325,t,k,0,teketema,28,137.207,137.83984750207944,-,o,,
KLH063a,KLH063a_0028,e,69,0.03773556978637771,137.347,137.3847355697864,k,t,0,teketema,28,137.207,137.83984750207944,-,o,,
KLH063a,KLH063a_0029,e,71,0.0800000000000125,137.517,137.597,t,m,0,teketema,28,137.207,137.83984750207944,-,o,,
KLH063a,KLH063a_0030,a,73,0.1421628467749656,137.69768465530447,137.83984750207944,m,o,0,teketema,28,137.207,137.83984750207944,-,o,,
KLH063a,--,o,74,0.24715249792058103,137.83984750207944,138.08700000000002,a,e,1,o,29,137.83984750207944,138.08700000000002,teketema,e,,disfl
KLH063a,--,e,75,0.13986165383417415,138.08700000000002,138.2268616538342,o,l,1,e,30,138.08700000000002,138.2268616538342,o,lā,,disfl
KLH063a,KLH063a_0031,ā,77,0.17190107478629102,138.3050989252137,138.477,l,ʻ,0,lā,31,138.2268616538342,138.477,e,ʻewalu,,
KLH063a,KLH063a_0032,e,79,0.12000000000000455,138.537,138.657,ʻ,w,0,ʻewalu,32,138.477,139.03130075167746,lā,-,,
KLH063a,KLH063a_0033,a,81,0.07919138444512441,138.73552570134026,138.8147170857854,w,l,0,ʻewalu,32,138.477,139.03130075167746,lā,-,,
KLH063a,KLH063a_0034,u,83,0.1345299422501398,138.89677080942732,139.03130075167746,l,sp,0,ʻewalu,32,138.477,139.03130075167746,lā,-,,
KLH063a,KLH063a_0035,a,86,0.03781950694764191,140.211,140.24881950694765,m,k,0,makahiki,34,140.17916925315856,140.64100000000002,-,he,,
KLH063a,KLH063a_0036,a,88,0.05256661364094839,140.29843338635905,140.351,k,h,0,makahiki,34,140.17916925315856,140.64100000000002,-,he,,
KLH063a,KLH063a_0037,i,90,0.062494946708511634,140.401,140.46349494670852,h,k,0,makahiki,34,140.17916925315856,140.64100000000002,-,he,,
KLH063a,KLH063a_0038,i,92,0.0763690683374989,140.56463093166252,140.64100000000002,k,h,0,makahiki,34,140.17916925315856,140.64100000000002,-,he,,
KLH063a,--,e,94,0.29999999999998295,140.681,140.981,h,sp,1,he,35,140.64100000000002,140.981,makahiki,-,,disfl
KLH063a,KLH063a_0039,u,97,0.030413227934758424,141.511,141.54141322793475,ʻ,m,0,ʻumi,37,141.471,141.66449381339766,-,tūmā,,
KLH063a,--,i,99,0.01812814824646125,141.6463656651512,141.66449381339766,m,t,1,ʻumi,37,141.471,141.66449381339766,-,tūmā,,
KLH063a,KLH063a_0040,ū,101,0.040000000000020464,141.851,141.89100000000002,t,m,0,tūmā,38,141.66449381339766,142.14100000000002,ʻumi,iwa,,
KLH063a,KLH063a_0041,ā,103,0.11966790006650285,142.02133209993352,142.14100000000002,m,i,0,tūmā,38,141.66449381339766,142.14100000000002,ʻumi,iwa,,
KLH063a,KLH063a_0042,i,104,0.03999999999999204,142.14100000000002,142.181,ā,w,0,iwa,39,142.14100000000002,142.2856214191058,tūmā,me,,
KLH063a,KLH063a_0043,a,106,0.0746214191057959,142.211,142.2856214191058,w,m,0,iwa,39,142.14100000000002,142.2856214191058,tūmā,me,,
KLH063a,KLH063a_0044,e,108,0.08586652719284871,142.36100000000002,142.44686652719287,m,ʻ,0,me,40,142.2856214191058,142.44686652719287,iwa,ʻumi,,
KLH063a,--,u,110,0.005724678393619342,142.53750726842523,142.54323194681885,ʻ,m,1,ʻumi,41,142.44686652719287,142.66917487147856,me,tūmā,,
KLH063a,--,i,112,0.005724678393619342,142.66345019308494,142.66917487147856,m,t,1,ʻumi,41,142.44686652719287,142.66917487147856,me,tūmā,,
KLH063a,--,ū,114,0.005724678393619342,142.91786684559406,142.92359152398768,t,m,1,tūmā,42,142.66917487147856,143.18978906929118,ʻumi,iwa,,
KLH063a,KLH063a_0045,ā,116,0.15647454275904238,143.03331452653214,143.18978906929118,m,i,0,tūmā,42,142.66917487147856,143.18978906929118,ʻumi,iwa,,
KLH063a,KLH063a_0046,i,117,0.1020900980196302,143.18978906929118,143.2918791673108,ā,w,0,iwa,43,143.18978906929118,143.471,tūmā,-,,
KLH063a,--,a,119,0.12000000000000455,143.351,143.471,w,sp,1,iwa,43,143.18978906929118,143.471,tūmā,-,,quiet
KLH063a,KLH063a_0047,a,121,0.14640652453803682,144.18200000000002,144.32840652453805,sp,n,0,a,45,144.18200000000002,144.32840652453805,-,noho,,
KLH063a,KLH063a_0048,o,123,0.06676918649199592,144.415230813508,144.482,n,h,0,noho,46,144.32840652453805,144.5402196251021,a,aku,,
KLH063a,--,o,125,0.00763290452482579,144.53258672057729,144.5402196251021,h,a,1,noho,46,144.32840652453805,144.5402196251021,a,aku,,
