file,winner,F1,F2,F3,edit
KLH063a_0001,9,9,9,9,0
KLH063a_0002,6,6,6,6,0
KLH063a_0003,9,9,9,9,0
KLH063a_0004,2,2,2,2,0
KLH063a_0005,11,11,11,11,0
KLH063a_0006,1,1,1,1,0
KLH063a_0007,4,4,4,4,0
KLH063a_0008,8,8,8,8,0
KLH063a_0009,6,6,6,6,0
KLH063a_0010,15,15,15,15,0
KLH063a_0011,5,5,5,5,0
KLH063a_0012,5,5,5,5,0
KLH063a_0013,6,6,6,6,0
KLH063a_0014,18,18,18,18,0
KLH063a_0015,20,20,20,20,0
KLH063a_0016,1,1,1,1,0
KLH063a_0017,9,9,9,9,0
KLH063a_0018,16,16,16,16,0
KLH063a_0019,20,20,20,20,0
KLH063a_0020,5,5,5,5,0
KLH063a_0021,20,20,20,20,0
KLH063a_0022,1,1,1,1,0
KLH063a_0023,1,1,1,1,0
KLH063a_0024,9,9,9,9,0
KLH063a_0025,20,20,20,20,0
KLH063a_0026,18,18,18,18,0
KLH063a_0027,13,13,13,13,0
KLH063a_0028,8,8,8,8,0
KLH063a_0029,15,15,15,15,0
KLH063a_0030,13,13,13,13,0
KLH063a_0031,16,16,16,16,0
KLH063a_0032,17,17,17,17,0
KLH063a_0033,6,6,6,6,0
KLH063a_0034,3,3,3,3,0
KLH063a_0035,13,13,13,13,0
KLH063a_0036,8,8,8,8,0
KLH063a_0037,5,5,5,5,0
KLH063a_0038,13,13,13,13,0
KLH063a_0039,10,10,10,10,0
KLH063a_0040,16,16,16,16,0
KLH063a_0041,16,16,16,16,0
KLH063a_0042,13,13,13,13,0
KLH063a_0043,9,9,9,9,0
KLH063a_0044,13,13,13,13,0
KLH063a_0045,1,1,1,1,0
KLH063a_0046,16,16,16,16,0
KLH063a_0047,14,14,14,14,0
KLH063a_0048,8,8,8,8,0
KLH063a_0049,18,18,18,18,0
KLH063a_0050,15,15,15,15,0
KLH063a_0051,19,19,19,19,0
KLH063a_0052,14,14,14,14,0
KLH063a_0053,18,18,18,18,0
KLH063a_0054,3,3,3,3,0
KLH063a_0055,3,3,3,3,0
KLH063a_0056,18,18,18,18,0
KLH063a_0057,2,2,2,2,0
KLH063a_0058,9,9,9,9,0
KLH063a_0059,10,10,10,10,0
KLH063a_0060,20,20,20,20,0
KLH063a_0061,13,13,13,13,0
KLH063a_0062,12,12,12,12,0
KLH063a_0063,5,5,5,5,0
KLH063a_0064,5,5,5,5,0
KLH063a_0065,8,8,8,8,0
KLH063a_0066,17,17,17,17,0
KLH063a_0067,1,1,1,1,0
KLH063a_0068,10,10,10,10,0
KLH063a_0069,2,2,2,2,0
KLH063a_0070,17,17,17,17,0
KLH063a_0071,17,17,17,17,0
KLH063a_0072,20,20,20,20,0
KLH063a_0073,15,15,15,15,0
KLH063a_0074,15,15,15,15,0
KLH063a_0075,11,11,11,11,0
KLH063a_0076,19,19,19,19,0
KLH063a_0077,10,10,10,10,0
KLH063a_0078,1,1,1,1,0
KLH063a_0079,5,5,5,5,0
KLH063a_0080,13,13,13,13,0
KLH063a_0081,17,17,17,17,0
KLH063a_0082,6,6,6,6,0
KLH063a_0083,5,5,5,5,0
KLH063a_0084,2,2,2,2,0
KLH063a_0085,19,19,19,19,0
KLH063a_0086,1,1,1,1,0
KLH063a_0087,10,10,10,10,0
KLH063a_0088,18,18,18,18,0
KLH063a_0089,6,6,6,6,0
KLH063a_0090,3,3,3,3,0
KLH063a_0091,7,7,7,7,0
KLH063a_0092,10,10,10,10,0
KLH063a_0093,19,19,19,19,0
KLH063a_0094,19,19,19,19,0
KLH063a_0095,1,1,1,1,0
KLH063a_0096,13,13,13,13,0
KLH063a_0097,17,17,17,17,0
KLH063a_0098,4,4,4,4,0
KLH063a_0099,4,4,4,4,0
KLH063a_0100,13,13,13,13,0
KLH063a_0101,8,8,8,8,0
KLH063a_0102,14,14,14,14,0
KLH063a_0103,18,18,18,18,0
KLH063a_0104,13,13,13,13,0
KLH063a_0105,3,3,3,3,0
KLH063a_0106,6,6,6,6,0
KLH063a_0107,15,15,15,15,0
KLH063a_0108,20,20,20,20,0
KLH063a_0109,20,20,20,20,0
KLH063a_0110,4,4,4,4,0
KLH063a_0111,5,5,5,5,0
KLH063a_0112,7,7,7,7,0
KLH063a_0113,11,11,11,11,0
KLH063a_0114,10,10,10,10,0
KLH063a_0115,14,14,14,14,0
KLH063a_0116,19,19,19,19,0
KLH063a_0117,18,18,18,18,0
KLH063a_0118,14,14,14,14,0
KLH063a_0119,11,11,11,11,0
KLH063a_0120,11,11,11,11,0
KLH063a_0121,11,11,11,11,0
KLH063a_0122,12,12,12,12,0
KLH063a_0123,15,15,15,15,0
KLH063a_0124,9,9,9,9,0
KLH063a_0125,13,13,13,13,0
KLH063a_0126,20,20,20,20,0
KLH063a_0127,13,13,13,13,0
KLH063a_0128,14,14,14,14,0
KLH063a_0129,12,12,12,12,0
KLH063a_0130,20,20,20,20,0
KLH063a_0131,8,8,8,8,0
KLH063a_0132,14,14,14,14,0
KLH063a_0133,8,8,8,8,0
KLH063a_0134,6,6,6,6,0
KLH063a_0135,14,14,14,14,0
KLH063a_0136,20,20,20,20,0
KLH063a_0137,8,8,8,8,0
KLH063a_0138,20,20,20,20,0
KLH063a_0139,14,14,14,14,0
KLH063a_0140,3,3,3,3,0
KLH063a_0141,20,20,20,20,0
KLH063a_0142,20,20,20,20,0
KLH063a_0143,15,15,15,15,0
KLH063a_0144,20,20,20,20,0
KLH063a_0145,12,12,12,12,0
