time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025152,276.3,52.9,1308.7,76.6,2332.2,335.9,269.5,1307.6,2321.5,85.1,74.6
0.027152,273.5,43.6,1296.6,65.1,2297.2,440.7,269.5,1303.9,2322.7,84.8,74.2
0.029152,266.8,43.2,1286.5,55.4,2307.3,420.0,269.4,1298.4,2324.5,84.5,74
0.031152,259.7,49.1,1278.7,51.5,2328.9,313.0,269.5,1291.6,2326.7,84.2,73.8
0.033152,260.6,50.5,1274.8,48.6,2335.3,216.5,270,1284.3,2329,83.8,73.6
0.035152,266.4,46.1,1274.2,43.6,2338.7,127.6,270.8,1277.4,2331.1,83.4,73.5
0.037152,272.9,40.8,1276.6,40.3,2341.5,74.9,272.3,1271.4,2332.5,83.1,73.4
0.039152,280.1,39.1,1282.2,41.2,2343.1,49.9,274.4,1266.9,2333,82.6,73.1
0.041152,286.5,45.0,1288.1,49.4,2343.1,40.2,277.2,1264,2332.4,82.2,72.8
0.043152,289.7,55.3,1290.0,65.6,2340.7,36.7,280.7,1262.4,2330.3,81.8,72.6
0.045152,289.6,60.1,1284.2,89.7,2333.6,37.9,284.6,1261.5,2326.7,81.3,72.5
0.047152,287.5,53.6,1270.6,117.1,2321.3,46.7,289,1260.3,2321.7,80.9,72.4
0.049152,286.6,42.9,1254.8,145.5,2304.3,71.8,293.4,1257.5,2315.2,80.4,72.3
0.051152,289.7,38.0,1242.8,169.3,2291.4,118.6,297.6,1251.8,2307.6,79.9,72.2
0.053152,297.6,41.4,1229.9,202.2,2289.2,176.4,301.3,1241.8,2299.1,79.4,71.9
0.055152,306.5,51.4,1213.1,251.3,2290.1,207.0,304.3,1226.3,2290.1,78.9,71.6
0.057152,312.7,63.6,1184.4,313.1,2280.8,209.3,306.2,1204.7,2281,78.4,71.2
0.059152,313.1,71.0,1144.7,359.5,2263.4,191.8,307,1176.6,2272.3,77.8,70.8
0.061152,308.5,70.5,1102.8,379.8,2251.9,166.7,306.5,1142.3,2264.4,77.3,70.3
0.063152,302.4,63.1,1077.7,388.5,2256.3,155.1,304.8,1102.8,2257.7,76.7,69.7
0.065152,296.4,55.1,1067.0,421.9,2266.4,155.1,302,1059.6,2252.5,76.2,69.1
0.067152,290.5,55.6,1043.9,503.4,2268.8,156.5,298.3,1014.9,2249.1,75.7,68.5
0.069152,284.4,68.0,978.5,592.5,2260.1,147.6,294,971.1,2247.5,75.1,68
0.071152,280.8,82.0,918.1,605.7,2250.1,126.3,289.6,931.1,2247.9,74.6,67.5
0.073152,280.9,88.7,893.6,588.9,2244.2,105.4,285.3,897.3,2250.2,74,67
0.075152,283.8,88.8,901.4,588.6,2241.0,92.8,281.5,872.3,2254.1,73.5,66.3
0.077152,288.1,88.1,935.7,619.7,2240.9,91.7,278.7,857.9,2259.5,73,65.4
0.079152,293.8,90.9,996.5,700.0,2250.7,111.3,277,855.5,2266,72.5,64.5
0.081152,296.2,101.6,1033.9,862.1,2282.9,157.2,276.7,865.5,2273.3,72,63.7
0.083152,291.9,118.3,975.3,1128.9,2324.0,187.7,277.7,887.4,2281.1,71.6,63.3
0.085152,286.7,124.8,833.4,1262.8,2327.4,175.2,280.1,920,2288.9,71.1,63.3
0.087152,283.2,119.1,721.2,1319.2,2311.9,159.8,283.7,961.2,2296.5,70.7,63.2
0.089152,281.9,106.3,646.4,1531.9,2293.0,166.8,288.1,1008.3,2303.6,70.3,63
0.091152,280.4,88.0,533.5,2186.7,2267.5,211.1,293.1,1058.2,2309.8,0,62.4
0.093152,277.1,68.0,743.3,3156.4,2249.8,286.5,298.3,1107.5,2315.1,0,61.4
0.095152,276.6,53.4,1743.7,1808.7,2285.7,312.2,303.2,1153.2,2319.4,0,59.9
0.097152,280.2,56.1,1654.2,942.0,2320.0,250.8,307.6,1192.3,2322.5,0,58.3
0.099152,287.2,88.1,1619.1,862.8,2349.2,227.6,311.1,1222.7,2324.6,0,56.7
0.101152,313.4,163.6,1649.1,1289.4,2370.5,231.9,313.5,1243.1,2325.8,0,56.2
0.103152,358.0,208.6,1911.0,2626.8,2355.6,200.3,314.8,1252.9,2326,0,56.9
0.105152,361.6,190.2,713.9,1959.2,2334.2,140.0,314.9,1252.5,2325.6,0,58.2
0.107152,342.0,161.2,733.5,1330.2,2324.9,100.3,313.9,1243.3,2324.7,0,59.5
0.109152,323.0,132.6,747.0,1157.8,2321.9,80.5,312.2,1227.2,2323.4,0,60.4
0.111152,310.1,109.2,765.9,1211.0,2321.9,70.9,309.9,1206.8,2321.9,0,60.9
0.113152,300.1,86.5,831.9,1436.5,2323.1,69.0,307.4,1184.9,2320.5,0,61
0.115152,292.3,64.3,1049.1,1606.6,2323.1,78.5,305.1,1164.3,2319.2,0,60.6
0.117152,288.6,43.6,1372.3,1247.0,2319.6,105.7,303.1,1147.5,2318.2,0,59.7
0.119152,290.7,32.6,1520.1,829.1,2309.0,147.7,301.9,1136.6,2317.5,0,58.5
0.121152,295.5,30.3,1587.6,631.1,2293.6,192.2,301.4,1132.8,2317.3,0,57
