time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025308,285.0,88.9,1704.2,1131.4,2253.4,161.0,283,1025.5,2201.8,108.1,59.7
0.027308,286.7,92.9,1655.3,1304.8,2249.5,141.5,283,1022.7,2202.7,108,60.8
0.029308,287.6,105.0,1500.6,1793.6,2244.1,139.5,282.9,1018,2204.2,107.8,61.9
0.031308,288.1,116.7,846.3,1772.5,2235.3,140.4,282.7,1011.5,2206.4,107.7,62.9
0.033308,285.3,115.2,763.7,1171.2,2228.1,135.0,282.6,1003.3,2209,107.5,63.8
0.035308,280.9,105.7,764.6,950.5,2225.9,130.5,282.4,993.6,2212,107.3,64.5
0.037308,278.0,98.9,782.2,926.4,2225.3,136.4,282.2,982.5,2215.3,107.1,65.2
0.039308,278.1,99.4,793.0,1043.7,2220.4,154.7,282,970.2,2218.9,106.9,65.7
0.041308,281.5,102.8,764.3,1188.5,2210.7,171.0,281.8,956.8,2222.6,106.7,66.1
0.043308,283.7,98.9,726.5,1137.4,2201.6,166.9,281.6,942.7,2226.3,106.5,66.4
0.045308,282.3,87.7,723.7,1011.3,2197.3,151.9,281.4,927.8,2230,106.3,66.7
0.047308,279.8,76.7,734.5,965.0,2198.6,144.2,281.2,912.6,2233.5,106.1,66.9
0.049308,278.4,70.0,743.3,995.1,2205.0,151.1,281.1,897.2,2236.7,105.9,67.1
0.051308,278.3,65.4,746.9,1011.0,2215.2,166.5,281,881.8,2239.5,105.6,67.3
0.053308,277.5,58.5,757.9,928.7,2223.1,179.3,281,866.6,2242,105.4,67.5
0.055308,275.7,50.1,774.4,799.6,2223.4,191.5,281,851.7,2244,105.2,67.8
0.057308,275.1,46.8,780.8,712.0,2212.8,205.8,281,837.4,2245.5,104.9,68
0.059308,277.1,51.0,768.1,676.2,2192.5,212.5,281.2,823.8,2246.5,104.7,68.3
0.061308,280.6,56.6,754.4,672.2,2182.0,196.5,281.4,811,2247,104.4,68.5
0.063308,282.4,56.3,764.3,689.8,2195.7,167.7,281.6,799.1,2247.1,104.2,68.7
0.065308,282.1,52.0,794.5,705.1,2219.0,144.8,281.9,788.1,2246.7,103.9,68.8
0.067308,282.3,50.1,825.2,711.6,2237.3,138.7,282.3,778.3,2246,103.6,68.9
0.069308,285.2,53.2,839.2,728.5,2247.0,149.6,282.8,769.4,2245.1,103.3,69
0.071308,287.8,55.9,839.1,741.3,2249.0,163.0,283.3,761.7,2244,103.1,69.2
0.073308,287.2,53.4,840.5,731.4,2248.1,160.7,283.9,754.9,2242.8,102.8,69.3
0.075308,284.8,48.6,847.8,721.2,2252.5,143.8,284.5,749.1,2241.8,102.5,69.4
0.077308,284.1,46.1,853.0,757.0,2265.5,137.9,285.2,744.2,2240.9,102.2,69.5
0.079308,286.5,47.5,845.2,864.5,2285.3,158.2,285.9,740.2,2240.5,101.9,69.6
0.081308,289.3,48.1,831.0,1001.6,2305.0,192.2,286.7,736.8,2240.4,101.6,69.7
0.083308,289.0,44.8,830.3,1092.9,2312.1,212.2,287.4,734.1,2241,101.3,69.8
0.085308,287.8,41.2,845.1,1155.0,2308.0,216.4,288.1,731.8,2242.2,100.9,69.9
0.087308,289.1,41.8,845.5,1167.5,2302.8,231.9,288.9,730,2244.3,100.6,69.9
0.089308,293.0,46.9,809.0,1027.1,2291.0,289.4,289.6,728.3,2247.1,100.3,69.9
0.091308,294.7,50.1,772.9,830.3,2254.0,345.6,290.3,726.8,2250.9,99.9,69.9
0.093308,292.4,48.5,752.2,686.7,2227.9,349.3,290.9,725.3,2255.6,99.6,69.8
0.095308,288.8,45.1,745.9,626.3,2229.7,338.8,291.5,723.7,2261.3,99.2,69.7
0.097308,287.1,43.2,745.3,623.3,2255.1,311.0,292,721.9,2267.8,98.9,69.6
0.099308,288.6,44.6,733.8,659.0,2288.0,240.7,292.5,719.9,2275.2,98.5,69.5
0.101308,292.5,48.1,705.0,751.6,2300.1,170.5,292.9,717.6,2283.4,98.1,69.4
0.103308,296.0,50.5,668.5,914.8,2299.0,144.5,293.1,715,2292.2,97.7,69.3
0.105308,297.5,51.4,628.7,1060.5,2297.0,158.8,293.3,712,2301.6,97.3,69.1
0.107308,297.1,53.3,611.1,1085.7,2298.8,212.2,293.4,708.8,2311.3,97,68.9
0.109308,295.4,58.2,610.9,1043.5,2297.9,302.2,293.4,705.2,2321.3,96.6,68.6
0.111308,294.4,62.8,594.8,1017.0,2292.6,363.7,293.3,701.5,2331.2,96.2,68.2
0.113308,295.9,64.2,569.1,1018.2,2320.5,369.5,293.1,697.6,2341,95.8,67.9
0.115308,298.4,64.9,568.4,995.2,2366.9,282.7,292.8,693.7,2350.4,95.4,67.5
0.117308,299.1,69.1,601.8,895.9,2368.5,190.3,292.4,689.8,2359.2,95,67.1
0.119308,294.6,81.0,635.8,766.1,2359.7,140.4,292,686.2,2367.3,94.6,66.6
0.121308,282.4,97.5,652.8,690.4,2352.0,113.1,291.4,682.8,2374.3,94.3,66.2
