time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025454,624.3,632.9,992.6,913.4,2317.9,118.3,638.4,994.4,2323.6,149.1,74.9
0.027454,641.2,634.6,1000.3,757.5,2322.9,115.1,637.5,1001,2323.1,149.6,76.2
0.029454,643.1,603.1,1014.6,650.9,2325.9,111.7,635.6,1011.2,2321.4,150.1,77.3
0.031454,639.1,557.3,1026.8,564.7,2324.0,108.2,632.3,1024.5,2317.8,150.6,78.1
0.033454,632.9,507.6,1038.4,497.9,2315.8,107.7,627.5,1039.8,2311.9,151,78.7
0.035454,621.9,449.1,1054.1,431.3,2301.8,108.7,621,1056.4,2304.2,151.5,79.2
0.037454,607.4,383.1,1072.6,355.7,2286.9,104.7,613.3,1073.4,2295.8,151.9,79.6
0.039454,597.4,330.2,1089.5,291.1,2280.5,93.9,605.1,1090.3,2288.5,152.3,80
0.041454,592.8,294.9,1107.4,240.4,2283.7,80.8,597.7,1106.8,2284.2,152.6,80.3
0.043454,592.2,273.8,1124.3,204.7,2291.4,70.4,592.2,1122.7,2284.2,153,80.7
0.045454,593.8,255.4,1139.3,176.2,2298.8,62.5,589.6,1137.9,2288.9,153.4,80.9
0.047454,596.3,237.5,1153.3,151.7,2303.7,56.1,590.3,1152.4,2297,153.8,81.2
0.049454,598.3,225.0,1165.4,132.8,2305.5,50.4,594.2,1166,2306.3,154.1,81.4
0.051454,600.6,218.6,1177.0,119.8,2305.3,45.5,600.1,1178.5,2313.6,154.5,81.5
0.053454,603.8,221.3,1187.5,116.6,2304.1,43.9,606.2,1189.8,2315.7,154.8,81.6
0.055454,606.3,234.6,1198.3,123.7,2301.4,47.2,610.3,1199.5,2310,155.1,81.7
0.057454,605.7,253.4,1207.5,136.0,2295.6,55.6,609.8,1207.4,2295.4,155.4,81.6
0.059454,600.9,274.0,1215.1,149.8,2283.6,70.3,603,1213.3,2272.1,155.7,81.5
0.061454,590.1,298.2,1220.7,166.4,2258.9,95.4,588.7,1217.4,2241.9,156,81.4
0.063454,571.9,321.0,1222.6,183.3,2219.2,125.4,567.3,1219.7,2207.6,156.3,81.2
0.065454,543.4,336.5,1220.3,196.5,2167.8,149.0,540.3,1220.5,2172.5,156.5,80.9
0.067454,510.7,341.3,1216.4,205.5,2123.5,162.3,510.5,1220.4,2139.8,156.7,80.7
0.069454,479.9,340.9,1214.2,219.0,2090.5,175.7,481.7,1219.7,2112.2,156.8,80.5
0.071454,456.4,351.1,1215.1,250.6,2074.4,198.6,457.5,1218.8,2091.3,156.9,80.3
0.073454,442.9,383.4,1219.4,303.8,2081.7,237.1,441.5,1218.2,2078.4,156.9,80.2
0.075454,434.0,426.2,1225.0,361.4,2106.5,285.2,435.9,1217.9,2074.1,156.9,80.1
