,filename,vowel,word,start,stress,mahal_mean,mahal_median,edit
1,KLH021b_0045,o,pono,38.6355,unstressed,31.70874694,32.93109821,0
2,KLH021a_1085,i,kapuaʻi,628.2167521,unstressed,26.91419241,23.36397916,
3,KLH021c_0851,o,honolulu,581.2310625,secondary,26.62826649,23.03961725,
4,KLH021a_0025,ei,keiki,135.2622,primary,23.4104557,27.68498713,20
5,KLH021a_0590,i,ia,376.23916,primary,22.30570704,19.51022062,
6,KLH021a_0919,i,aliʻi,542.0764433,primary,20.58146949,20.24604261,20
7,KLH021a_0537,i,ia,354.3214,primary,19.37650468,21.23187951,
8,KLH021c_0317,o,komo,440.9426056,primary,19.00034919,19.23536596,0
9,KLH021c_0466,i,ia,482.0167,primary,16.98293252,16.07182032,
10,KLH021a_0657,i,kiaʻi,420.5349347,unstressed,16.83943693,10.51948456,
11,KLH021a_1132,i,ia,657.0866166,primary,16.36870527,10.63512093,
12,KLH021c_0515,o,hilo,494.381,unstressed,15.16063461,4.451803601,0
13,KLH021c_0014,i,kakahiaka,17.01910416,unstressed,14.72826431,8.340109993,
14,KLH021c_0455,i,ia,477.479252,primary,14.25634197,14.41732396,
15,KLH021b_0118,i,ia,75.88646211,primary,14.14324665,9.578725457,
16,KLH021c_0434,i,ia,470.6423007,primary,14.01270589,9.031263496,
17,KLH021b_0019,au,paukū,26.84867173,secondary,13.36471815,2.021926804,0
18,KLH021c_0297,o,hoʻohana,433.0324,unstressed,13.22816767,12.00139612,1
19,KLH021c_0531,o,honolulu,499.2615059,secondary,12.97739505,15.32343776,
20,KLH021a_0737,i,hoʻokahi,474.423662,unstressed,12.70411658,6.03300312,20
21,KLH021a_1065,i,ia,624.5658019,primary,12.61345284,8.402168503,
22,KLH021c_0461,o,honolulu,480.5991473,secondary,12.60961282,12.5011247,
23,KLH021a_0452,i,ia,318.1695,primary,12.14347069,11.9204276,
24,KLH021b_0113,i,koʻikoʻi,75.25098697,unstressed,11.71997067,11.54354468,
25,KLH021c_0385,o,honolulu,458.5165972,secondary,11.64483587,10.31531624,
26,KLH021a_0662,e,poʻe,421.2227431,unstressed,11.34072411,11.05092108,
27,KLH021b_0070,ē,ē,56.6513,primary,11.25009475,9.688407963,
28,KLH021c_0010,i,ia,16.23706034,primary,11.05144258,8.218499916,
29,KLH021a_1260,i,ia,707.4194,primary,10.9331914,9.301888143,
30,KLH021b_0168,i,wahi,93.92952863,unstressed,10.92723918,11.43031194,
31,KLH021a_0998,i,wahi,573.3405,unstressed,10.87597245,5.254742957,20
32,KLH021a_0947,i,lanakila,550.4547,primary,10.85302738,10.46664732,20
33,KLH021c_0240,o,aloha,416.0958633,primary,10.49572783,9.743873087,1
34,KLH021b_0083,i,ia,60.2173,primary,10.10704695,8.135982311,
35,KLH021c_0318,o,komo,441.0866392,unstressed,9.760289277,10.1782812,1
36,KLH021b_0084,u,kumu,60.54995314,primary,9.667252001,8.659294262,0
37,KLH021a_0741,i,ia,475.1114,primary,9.238412625,4.870971102,
38,KLH021a_0551,e,poʻe,357.1536031,unstressed,8.937853413,8.16993799,
39,KLH021a_0677,i,ia,426.4764,primary,8.774920096,5.890291051,
40,KLH021a_0604,i,ia,387.7237243,primary,8.608733181,7.242852759,
41,KLH021a_0449,i,ia,317.3781,primary,8.541375831,8.634828,
42,KLH021a_0147,a,makahiki,172.1168275,unstressed,8.082747058,8.293933173,
43,KLH021c_0691,u,poliʻahu,539.5789627,unstressed,8.001551099,4.835242419,1
44,KLH021c_0168,i,hauʻoli,98.4066,unstressed,7.925391624,8.128867905,
45,KLH021a_0645,ē,ē,413.775,primary,7.878701666,7.785358032,
46,KLH021c_0573,ai,hawaiʻi,509.4404802,primary,7.828744725,4.946264526,
47,KLH021a_0190,i,ianuali,189.5297,0,7.681783428,5.855269808,
48,KLH021c_0386,o,honolulu,458.6707283,unstressed,7.609794549,7.284369103,
49,KLH021c_0595,i,molokaʻi,515.6436132,unstressed,7.564337167,3.439449629,
50,KLH021a_0788,i,ia,510.6611909,primary,7.384744279,6.747838592,
51,KLH021b_0126,u,honolulu,79.42110245,unstressed,7.360548046,3.94451495,
52,KLH021a_0179,i,iwa,184.4949117,primary,7.334905507,5.754516906,
53,KLH021b_0136,i,koʻikoʻi,84.00157086,unstressed,7.222918902,5.647686092,
54,KLH021c_0215,au,naʻauao,407.952,secondary,7.186888744,4.651986499,1
55,KLH021c_0162,o,hoʻolohe,77.94815106,secondary,7.18193832,6.074697967,0
56,KLH021c_0749,i,huliana,556.9218,unstressed,7.161703351,6.441026653,
57,KLH021a_1344,i,hawaiʻi,747.4718208,unstressed,7.047963827,7.280522442,
58,KLH021b_0111,i,koʻikoʻi,75.02111405,unstressed,6.992925409,4.128478266,
59,KLH021c_0462,o,honolulu,480.7296,unstressed,6.989654594,6.249371229,
60,KLH021c_0177,i,hauʻoli,100.4006361,unstressed,6.975540475,6.881281611,
61,KLH021a_0198,ō,nūmōnia,191.984745,secondary,6.895460988,6.01165584,
62,KLH021a_0285,i,makahiki,231.8488,primary,6.892210991,4.791592807,20
63,KLH021a_0478,u,moku,327.6915344,unstressed,6.883123954,6.987245728,
64,KLH021c_0006,o,komo,15.48370893,unstressed,6.841300233,5.715431516,
65,KLH021b_0078,e,poʻe,58.8513251,unstressed,6.840674523,7.500026967,
66,KLH021a_1103,e,poʻe,632.7941996,unstressed,6.8325618,6.697295718,
67,KLH021a_1076,i,kapuaʻi,627.0846,unstressed,6.698072418,6.689805623,
68,KLH021a_1172,u,uka,670.4610246,primary,6.620844014,2.68367167,
