file,filename,vowel,interval,duration,start,end,previous_sound,next_sound,omit,word,word_interval,word_start,word_end,previous_word,next_word,comment1,comment2
1,KLH021a_0001,a,3,0.07080468992006672,91.38480424051114,91.45560893043121,sil,l,0,aloha,2,91.38480424051114,92.17600548485049,-,-,,
2,KLH021a_0002,o,5,0.46999999999999886,91.5274,91.9974,l,h,0,aloha,2,91.38480424051114,92.17600548485049,-,-,,
3,KLH021a_0003,a,7,0.08397765548659208,92.0920278293639,92.17600548485049,h,sp,0,aloha,2,91.38480424051114,92.17600548485049,-,-,,
4,KLH021a_0004,a,9,0.21126045332393062,94.76013954667607,94.9714,sp,m,0,a,4,94.76013954667607,94.9714,-,maikaʻi,,
5,KLH021a_0005,ai,11,0.11157548668552408,95.05982451331448,95.1714,m,k,0,maikaʻi,5,94.9714,95.3814,a,nō,,
6,KLH021a_0006,a,13,0.060000000000002274,95.2414,95.3014,k,ʻ,0,maikaʻi,5,94.9714,95.3814,a,nō,,
7,KLH021a_0007,i,15,0.04999999999999716,95.3314,95.3814,ʻ,n,0,maikaʻi,5,94.9714,95.3814,a,nō,,
8,KLH021a_0008,ō,17,0.19779258873539618,95.4336074112646,95.6314,n,sp,0,nō,6,95.3814,95.6314,maikaʻi,-,,
9,KLH021a_0009,ae,20,0.25401400476421543,124.6864,124.94041400476422,ʻ,sp,0,ʻae,8,124.61176754694404,124.94041400476422,-,-,,
10,KLH021a_0010,o,23,0.030474383831744944,126.14592561616826,126.1764,k,ʻ,0,koʻu,10,126.10723002981659,126.25954244417953,-,makua,,
11,KLH021a_0011,u,25,0.06668813818052399,126.192854305999,126.25954244417953,ʻ,m,0,koʻu,10,126.10723002981659,126.25954244417953,-,makua,,
12,KLH021a_0012,a,27,0.08723735841799396,126.35504644453682,126.44228380295482,m,k,0,makua,11,126.25954244417953,126.78930145922114,koʻu,kāne,,
13,KLH021a_0013,u,29,0.09644423882920705,126.5764,126.67284423882921,k,a,0,makua,11,126.25954244417953,126.78930145922114,koʻu,kāne,,
14,KLH021a_0014,a,30,0.11645722039192208,126.67284423882921,126.78930145922114,u,k,0,makua,11,126.25954244417953,126.78930145922114,koʻu,kāne,,
15,KLH021a_0015,ā,32,0.15231241436293885,126.98331251224258,127.13562492660552,k,n,0,kāne,12,126.78930145922114,127.42460685872113,makua,-,,
16,KLH021a_0016,e,34,0.20820685872114097,127.2164,127.42460685872113,n,sp,0,kāne,12,126.78930145922114,127.42460685872113,makua,-,,
17,KLH021a_0017,o,37,0.030000000000001137,130.1401,130.1701,k,ʻ,0,koʻu,14,130.1019337539022,130.23613334061116,-,makuahine,,
18,KLH021a_0018,u,39,0.03603334061116925,130.2001,130.23613334061116,ʻ,m,0,koʻu,14,130.1019337539022,130.23613334061116,-,makuahine,,
19,KLH021a_0019,a,41,0.07928613930874917,130.33246065131638,130.41174679062513,m,k,0,makuahine,15,130.23613334061116,131.2701,koʻu,-,,
20,KLH021a_0020,u,43,0.10950027627174563,130.5177054795956,130.62720575586735,k,a,0,makuahine,15,130.23613334061116,131.2701,koʻu,-,,
21,KLH021a_0021,a,44,0.13502289705687076,130.62720575586735,130.76222865292422,u,h,0,makuahine,15,130.23613334061116,131.2701,koʻu,-,,
22,KLH021a_0022,i,46,0.12732686970321083,130.80504079101541,130.93236766071863,h,n,0,makuahine,15,130.23613334061116,131.2701,koʻu,-,,
23,KLH021a_0023,e,48,0.25704792518644126,131.01305207481357,131.2701,n,sp,0,makuahine,15,130.23613334061116,131.2701,koʻu,-,,
24,KLH021a_0024,e,51,0.07621375434882793,135.0822,135.15841375434883,k,k,0,ke,17,135.04397361598964,135.15841375434883,-,keiki,,
25,KLH021a_0025,ei,53,0.13221614802546355,135.2622,135.39441614802547,k,k,0,keiki,18,135.15841375434883,135.6122,ke,mua,,
26,KLH021a_0026,i,55,0.08823645118013701,135.52396354881986,135.6122,k,m,0,keiki,18,135.15841375434883,135.6122,ke,mua,,
