time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.026000,406.2,143.0,1673.9,501.6,2815.0,369.9,420.8,1643,2747.3,213.6,75.8
0.028000,429.4,141.0,1650.5,430.0,2776.6,358.9,434.6,1655.6,2787.6,213.8,75.8
0.030000,451.3,153.3,1642.2,448.1,2766.2,445.7,456,1673.5,2846.9,214.1,75.8
0.032000,484.5,175.1,1670.1,511.8,2828.8,611.4,483.1,1692.5,2914.7,214.4,75.8
0.034000,530.2,179.1,1715.0,548.3,2958.7,767.2,513.2,1707.8,2979.6,214.6,75.9
0.036000,564.1,162.5,1736.3,558.1,3087.3,843.2,543.8,1715.3,3030.9,214.9,76
0.038000,584.4,146.2,1728.8,578.8,3176.9,896.5,572.5,1712.1,3060.7,215.2,76.3
0.040000,597.7,136.3,1702.4,624.9,3196.5,1003.2,597.2,1697.2,3065.5,215.5,76.6
0.042000,609.1,130.7,1664.3,707.3,3075.6,1150.8,616.8,1671.6,3046.2,215.9,76.8
0.044000,618.8,127.4,1621.2,810.2,2892.8,1102.9,630.6,1638.1,3008.3,216.2,77.1
0.046000,627.3,123.8,1581.0,889.2,2810.1,946.1,639,1601,2960.3,216.5,77.4
0.048000,633.9,120.0,1558.2,918.3,2822.4,827.3,642.8,1564.9,2911.7,216.9,77.6
0.050000,638.6,117.0,1543.8,902.9,2866.6,744.9,643.4,1534,2871.4,217.2,77.8
0.052000,642.2,114.6,1527.6,843.8,2907.0,679.3,642.4,1511.1,2845.2,217.6,77.9
0.054000,645.4,111.6,1513.8,768.7,2927.9,644.3,641.4,1497.4,2835.4,218,78
0.056000,649.0,108.1,1504.5,706.2,2928.3,647.6,641.8,1491.7,2839.9,218.3,78
0.058000,653.3,105.8,1497.0,674.6,2902.6,685.5,644.6,1491.4,2852.7,218.7,78
0.060000,658.9,106.4,1486.1,682.0,2843.5,738.0,650.4,1492.4,2865.6,219.1,78
0.062000,665.3,110.1,1469.7,719.3,2779.4,771.4,659.2,1490.3,2869.8,219.4,78
0.064000,672.9,115.5,1452.0,760.6,2755.5,807.5,670.6,1481.1,2858.3,219.8,78
0.066000,681.7,122.0,1439.2,792.6,2784.6,906.2,684.1,1462.2,2827.2,220.2,78
0.068000,691.8,128.8,1429.8,807.0,2831.7,1072.1,698.7,1433,2777.1,220.5,78
0.070000,704.1,136.1,1418.7,815.2,2826.9,1228.3,713.8,1394.9,2713.3,220.9,78
0.072000,717.9,147.3,1397.9,874.5,2713.5,1285.1,728.4,1351.2,2644.9,221.2,78
0.074000,733.9,164.5,1344.0,998.7,2545.7,1202.9,741.9,1306.4,2583.3,221.5,78.2
0.076000,751.6,182.1,1255.1,1079.4,2449.8,1046.4,754,1265.5,2540,221.9,78.3
0.078000,769.3,191.7,1195.9,1043.6,2451.7,964.0,764.4,1233,2524,222.2,78.5
0.080000,783.2,190.2,1189.2,911.8,2526.2,940.2,773,1212,2540.7,222.5,78.7
0.082000,790.2,183.3,1199.6,761.5,2634.3,897.1,780,1203.5,2589.5,222.7,78.9
0.084000,793.5,177.5,1208.1,643.4,2736.3,794.1,785.5,1206.7,2664.6,223,79
0.086000,795.1,175.8,1218.8,570.4,2809.2,681.0,789.7,1218.7,2755.2,223.2,79.1
0.088000,795.4,178.1,1236.8,520.9,2867.6,600.9,792.8,1235.1,2847.4,223.4,79.1
0.090000,793.8,183.9,1256.1,477.6,2914.4,556.7,794.9,1251.3,2926.6,223.6,79.1
0.092000,789.9,195.1,1268.4,433.4,2945.8,535.6,796.1,1262.9,2980,223.8,79.1
0.094000,784.0,214.6,1269.8,394.6,2955.4,544.2,796.5,1267.2,2998.8,224,79
