time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025184,523.2,130.8,1138.2,388.3,3075.6,140.2,534.2,1192.8,3138.7,133.7,66
0.027184,523.0,143.2,1147.8,371.8,3080.7,152.7,526.8,1193.2,3136.4,133.5,65.5
0.029184,521.5,162.5,1163.2,380.8,3094.9,162.4,515.1,1193.8,3132.7,133.3,65
0.031184,516.7,192.8,1185.3,403.1,3115.3,169.8,499.9,1194.7,3127.8,133.1,64.5
0.033184,504.3,232.5,1207.2,394.0,3132.2,175.2,482.4,1195.9,3122.3,132.8,64.2
0.035184,482.6,273.6,1221.5,334.8,3135.2,180.2,463.7,1197.3,3116.4,132.6,63.9
0.037184,456.1,313.2,1227.4,264.2,3122.6,186.5,445.4,1198.9,3110.6,132.3,63.8
0.039184,432.5,351.5,1227.3,215.2,3104.1,192.7,429,1200.9,3105.4,132.1,63.8
0.041184,417.9,388.1,1225.7,194.7,3095.9,197.7,415.9,1203.2,3101.2,131.8,63.9
0.043184,410.9,420.6,1225.4,197.5,3106.9,207.8,407.6,1205.9,3098.4,131.5,64
0.045184,405.8,442.7,1226.3,216.1,3133.3,236.4,405.3,1209.1,3097.4,131.2,64.1
0.047184,402.3,459.3,1226.6,247.6,3167.1,303.2,410,1212.9,3098.3,131,64.2
0.049184,408.2,516.6,1229.1,304.0,3197.8,404.2,422.2,1217.4,3101.3,130.7,64.3
0.051184,424.1,616.4,1236.4,373.2,3207.2,483.3,442.3,1222.9,3106.3,130.4,64.3
0.053184,436.3,687.0,1245.8,416.6,3182.8,502.5,470.4,1229.5,3113.2,130.1,64.2
0.055184,440.0,738.5,1257.6,425.7,3142.9,437.0,505.9,1237.4,3121.8,129.8,64.1
0.057184,450.1,883.3,1266.9,421.4,3117.4,339.1,548.2,1246.8,3131.7,129.5,63.9
0.059184,564.9,1166.2,1269.0,397.2,3108.8,263.1,596,1257.9,3142.3,129.2,63.7
0.061184,673.4,1234.7,1269.7,341.3,3109.7,226.9,648.1,1270.7,3153.3,128.9,63.4
0.063184,697.9,1376.4,1275.1,282.0,3112.2,231.0,702.9,1285.6,3164,128.6,63.3
0.065184,741.7,1591.8,1284.4,251.3,3110.8,269.1,758.8,1302.6,3173.8,128.3,63.1
0.067184,863.4,1697.0,1295.5,260.0,3108.7,326.0,813.8,1321.7,3182.3,128,63
0.069184,997.9,1557.3,1309.7,310.1,3115.8,373.9,866.5,1342.9,3188.9,127.8,62.8
0.071184,1064.2,1249.2,1332.3,394.5,3133.6,385.9,915,1366.2,3193.2,127.5,62.8
0.073184,1057.6,956.2,1364.4,465.7,3154.3,360.7,958.1,1391.4,3195,127.2,62.7
0.075184,1034.1,815.8,1371.1,474.7,3174.2,321.2,994.7,1418.3,3194.2,126.9,62.7
0.077184,1023.8,758.2,1358.1,477.7,3192.9,290.1,1023.8,1446.6,3190.8,126.7,62.8
0.079184,1012.3,630.2,1397.5,520.8,3208.8,282.4,1045,1476,3185,126.4,62.9
0.081184,985.3,495.2,1496.9,511.3,3217.2,299.4,1058.3,1505.9,3177.1,126.2,63
