time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025447,1035.3,305.7,1505.9,597.9,3137.6,223.3,1011.1,1484.4,3144.5,0,61.1
0.027447,1031.4,294.8,1468.8,473.3,3146.5,161.6,1022.7,1478.2,3147.3,0,62.9
0.029447,1034.8,282.7,1458.3,371.4,3155.1,146.9,1039.4,1468.9,3151,0,64.5
0.031447,1043.4,277.2,1451.8,300.5,3160.4,151.1,1057.7,1457.4,3154.5,0,65.9
0.033447,1053.9,281.0,1443.1,250.0,3160.5,161.1,1074.1,1445.1,3156.5,0,67.1
0.035447,1065.2,290.7,1432.7,212.5,3155.8,169.5,1085.3,1433.2,3155.8,0,68
0.037447,1076.9,297.6,1423.0,185.3,3148.3,171.2,1089.3,1422.8,3151.7,0,68.6
0.039447,1087.6,293.3,1416.2,166.1,3139.8,166.5,1085.4,1414.6,3143.9,0,69
0.041447,1093.1,278.5,1412.7,150.6,3130.1,161.8,1074.3,1409.1,3132.8,0,69.1
0.043447,1087.8,262.3,1411.3,135.2,3118.5,167.0,1057.8,1406.1,3119.1,0,69
0.045447,1067.9,257.4,1410.2,121.6,3104.2,191.9,1038.3,1405.5,3103.9,0,68.7
0.047447,1031.0,270.6,1407.9,114.5,3091.1,240.5,1018.1,1406.9,3088.7,0,68.2
0.049447,981.6,284.8,1405.2,114.2,3083.5,291.4,999.1,1409.8,3074.5,0,67.5
0.051447,944.2,274.0,1405.8,118.4,3065.2,323.6,982.5,1413.7,3062.6,0,66.7
0.053447,933.1,258.9,1411.4,133.8,3043.4,348.3,968.8,1418.3,3053.4,0,65.8
0.055447,943.8,254.9,1422.4,165.8,3037.9,405.2,957.9,1423,3047.5,0,64.9
0.057447,961.6,250.4,1434.7,195.4,3044.2,514.3,949.9,1427.6,3044.8,0,64.1
0.059447,968.8,243.1,1437.6,195.1,3056.9,636.4,944.9,1431.6,3045,0,63.3
0.061447,968.6,232.1,1435.5,173.0,3060.5,686.7,943.3,1434.5,3047.8,0,62.5
0.063447,967.7,218.8,1434.1,144.2,3049.2,618.3,945.9,1436.1,3052.6,0,61.6
0.065447,966.6,210.0,1433.6,117.3,3046.0,488.2,953.6,1435.9,3059,0,60.5
0.067447,964.2,211.9,1434.1,98.4,3057.4,350.7,966.9,1433.8,3066.3,0,59.3
0.069447,957.7,230.8,1435.7,98.3,3075.1,241.3,985.7,1430,3074.2,0,58.5
0.071447,960.3,297.2,1433.0,146.1,3088.4,183.1,1008.9,1424.7,3082,0,58.6
0.073447,1019.7,425.4,1407.4,209.4,3096.2,164.8,1034.3,1418.7,3089.4,0,59.7
0.075447,1085.7,454.8,1394.5,205.3,3102.1,151.9,1059,1412.7,3095.7,0,61.3
0.077447,1101.1,403.4,1401.6,181.9,3102.8,140.6,1079.7,1407.6,3100.7,0,62.7
0.079447,1098.9,355.0,1410.8,157.0,3100.5,131.3,1093.5,1404.2,3103.8,0,63.8
0.081447,1094.1,318.6,1417.8,133.8,3096.8,123.1,1098.4,1403,3104.8,0,64.5
