number,file,label,group,color
1,KLH013b_0001.wav,a,1,Red
2,KLH013b_0002.wav,o,4,Green
3,KLH013b_0003.wav,ai,11,Teal
4,KLH013b_0004.wav,a,1,Red
5,KLH013b_0005.wav,i,3,Black
6,KLH013b_0006.wav,a,1,Red
7,KLH013b_0007.wav,i,3,Black
8,KLH013b_0008.wav,ō,9,Lime
9,KLH013b_0009.wav,āu,18,Black
10,KLH013b_0010.wav,o,4,Green
11,KLH013b_0011.wav,o,4,Green
12,KLH013b_0012.wav,ō,9,Lime
13,KLH013b_0013.wav,a,1,Red
14,KLH013b_0014.wav,ū,10,Purple
15,KLH013b_0015.wav,ā,6,Yellow
16,KLH013b_0016.wav,ā,6,Yellow
17,KLH013b_0017.wav,e,2,Blue
18,KLH013b_0018.wav,a,1,Red
19,KLH013b_0019.wav,ai,11,Teal
20,KLH013b_0020.wav,e,2,Blue
21,KLH013b_0021.wav,o,4,Green
22,KLH013b_0022.wav,e,2,Blue
23,KLH013b_0023.wav,a,1,Red
24,KLH013b_0024.wav,u,5,Olive
25,KLH013b_0025.wav,u,5,Olive
26,KLH013b_0026.wav,a,1,Red
27,KLH013b_0027.wav,i,3,Black
28,KLH013b_0028.wav,e,2,Blue
29,KLH013b_0029.wav,ā,6,Yellow
30,KLH013b_0030.wav,au,14,Maroon
31,KLH013b_0031.wav,o,4,Green
32,KLH013b_0032.wav,i,3,Black
33,KLH013b_0033.wav,a,1,Red
34,KLH013b_0034.wav,i,3,Black
35,KLH013b_0035.wav,o,4,Green
36,KLH013b_0036.wav,a,1,Red
37,KLH013b_0037.wav,a,1,Red
38,KLH013b_0038.wav,o,4,Green
39,KLH013b_0039.wav,i,3,Black
40,KLH013b_0040.wav,a,1,Red
41,KLH013b_0041.wav,o,4,Green
42,KLH013b_0042.wav,o,4,Green
43,KLH013b_0043.wav,e,2,Blue
44,KLH013b_0044.wav,a,1,Red
45,KLH013b_0045.wav,i,3,Black
46,KLH013b_0046.wav,ai,11,Teal
47,KLH013b_0047.wav,o,4,Green
48,KLH013b_0048.wav,a,1,Red
49,KLH013b_0049.wav,o,4,Green
50,KLH013b_0050.wav,e,2,Blue
51,KLH013b_0051.wav,a,1,Red
52,KLH013b_0052.wav,i,3,Black
53,KLH013b_0053.wav,u,5,Olive
54,KLH013b_0054.wav,u,5,Olive
55,KLH013b_0055.wav,ā,6,Yellow
56,KLH013b_0056.wav,au,14,Maroon
57,KLH013b_0057.wav,a,1,Red
58,KLH013b_0058.wav,a,1,Red
59,KLH013b_0059.wav,i,3,Black
60,KLH013b_0060.wav,o,4,Green
61,KLH013b_0061.wav,a,1,Red
62,KLH013b_0062.wav,a,1,Red
63,KLH013b_0063.wav,u,5,Olive
64,KLH013b_0064.wav,a,1,Red
65,KLH013b_0065.wav,i,3,Black
66,KLH013b_0066.wav,o,4,Green
67,KLH013b_0067.wav,au,14,Maroon
68,KLH013b_0068.wav,i,3,Black
69,KLH013b_0069.wav,a,1,Red
70,KLH013b_0070.wav,ā,6,Yellow
71,KLH013b_0071.wav,ai,11,Teal
72,KLH013b_0072.wav,ā,6,Yellow
73,KLH013b_0073.wav,a,1,Red
74,KLH013b_0074.wav,a,1,Red
75,KLH013b_0075.wav,e,2,Blue
76,KLH013b_0076.wav,e,2,Blue
77,KLH013b_0077.wav,o,4,Green
78,KLH013b_0078.wav,a,1,Red
79,KLH013b_0079.wav,ā,6,Yellow
80,KLH013b_0080.wav,au,14,Maroon
81,KLH013b_0081.wav,a,1,Red
82,KLH013b_0082.wav,i,3,Black
83,KLH013b_0083.wav,o,4,Green
84,KLH013b_0084.wav,a,1,Red
85,KLH013b_0085.wav,ēi,24,Yellow
86,KLH013b_0086.wav,a,1,Red
87,KLH013b_0087.wav,au,14,Maroon
88,KLH013b_0088.wav,a,1,Red
89,KLH013b_0089.wav,ā,6,Yellow
90,KLH013b_0090.wav,ai,11,Teal
91,KLH013b_0091.wav,i,3,Black
92,KLH013b_0092.wav,a,1,Red
93,KLH013b_0093.wav,a,1,Red
94,KLH013b_0094.wav,u,5,Olive
95,KLH013b_0095.wav,i,3,Black
96,KLH013b_0096.wav,o,4,Green
97,KLH013b_0097.wav,a,1,Red
98,KLH013b_0098.wav,ē,7,Magenta
99,KLH013b_0099.wav,ā,6,Yellow
100,KLH013b_0100.wav,a,1,Red
101,KLH013b_0101.wav,a,1,Red
102,KLH013b_0102.wav,a,1,Red
103,KLH013b_0103.wav,i,3,Black
104,KLH013b_0104.wav,ā,6,Yellow
105,KLH013b_0105.wav,a,1,Red
106,KLH013b_0106.wav,o,4,Green
107,KLH013b_0107.wav,o,4,Green
108,KLH013b_0108.wav,a,1,Red
109,KLH013b_0109.wav,a,1,Red
110,KLH013b_0110.wav,u,5,Olive
111,KLH013b_0111.wav,a,1,Red
112,KLH013b_0112.wav,a,1,Red
113,KLH013b_0113.wav,u,5,Olive
114,KLH013b_0114.wav,a,1,Red
115,KLH013b_0115.wav,o,4,Green
116,KLH013b_0116.wav,ā,6,Yellow
117,KLH013b_0117.wav,ou,20,Blue
118,KLH013b_0118.wav,i,3,Black
119,KLH013b_0119.wav,o,4,Green
120,KLH013b_0120.wav,a,1,Red
121,KLH013b_0121.wav,a,1,Red
122,KLH013b_0122.wav,e,2,Blue
123,KLH013b_0123.wav,e,2,Blue
124,KLH013b_0124.wav,u,5,Olive
125,KLH013b_0125.wav,a,1,Red
126,KLH013b_0126.wav,o,4,Green
127,KLH013b_0127.wav,o,4,Green
128,KLH013b_0128.wav,o,4,Green
129,KLH013b_0129.wav,a,1,Red
130,KLH013b_0130.wav,i,3,Black
131,KLH013b_0131.wav,a,1,Red
132,KLH013b_0132.wav,e,2,Blue
133,KLH013b_0133.wav,ō,9,Lime
