,filename,vowel,word,start,stress,mahal_mean,mahal_median,edit
1,KLH013d_0148,i,ahiahi,96.85473355,unstressed,463.298652,3.036218097,
2,KLH013b_0737,i,ʻili,637.6017503,primary,271.2093975,0.474559928,
3,KLH013b_0227,i,keʻelikōlani,234.0681626,unstressed,170.3469494,1.528476204,
4,KLH013b_0998,i,keiki,776.5692,unstressed,97.08061601,7.199196404,0
5,KLH013d_0223,u,kapuaʻi,243.9504497,unstressed,61.79866043,10.09139837,0
6,KLH013d_0057,e,pelekānia,46.245,unstressed,48.97426143,1.821919667,1
7,KLH013b_1239,u,mua,973.2876304,primary,43.19760162,44.93314034,0
8,KLH013d_0033,o,waihona,36.0674638,primary,41.91708111,29.49132908,0
9,KLH013b_0113,u,mua,150.4443964,primary,39.54034262,43.17878779,
10,KLH013b_0409,ō,ʻōpiopio,407.2563,secondary,38.48185617,43.27399828,0
11,KLH013b_1088,o,moloā,855.9468,secondary,36.84889725,39.99725136,0
12,KLH013b_0144,o,ponoʻī,170.6903354,unstressed,34.83880181,36.24166081,
13,KLH013b_1015,u,aku,793.3968,unstressed,33.91092926,10.08966151,1
14,KLH013b_0967,o,noho,758.2271,unstressed,31.89372607,30.33904201,0
15,KLH013b_1018,a,kahakai,793.8076326,secondary,31.37662775,32.38937642,0
16,KLH013b_0689,i,iā,585.5042762,unstressed,30.80910705,21.86711176,
17,KLH013b_1000,a,hana,777.6117207,unstressed,30.28186711,15.07504251,0
18,KLH013b_0052,i,lohelani,105.2936,unstressed,29.6527482,8.207141515,
19,KLH013b_0153,i,palani,174.9098,unstressed,29.19270997,5.130384289,
20,KLH013b_0239,u,mua,238.4432843,primary,28.80824516,31.62493484,0
21,KLH013d_0072,e,kamehameha,54.6698512,primary,28.72683083,9.376099323,0
22,KLH013b_0708,ou,mākou,592.5593644,primary,27.45630088,27.47607158,1
23,KLH013d_0186,a,ia,166.472444,unstressed,27.23986827,13.56544776,0
24,KLH013b_0512,ū,kūmā,473.5146715,secondary,26.46320378,14.32594035,0
25,KLH013b_0506,o,ʻeono,471.5990816,primary,25.93607262,14.78208265,
26,KLH013b_0297,i,ʻili,280.0305474,primary,25.09888252,2.074011534,
27,KLH013b_0257,o,hoʻolauleʻa,244.9593713,unstressed,24.70636577,14.50848648,0
28,KLH013b_1065,ou,mākou,842.199662,primary,24.30993524,4.858864501,
29,KLH013b_1069,o,moa,844.3889802,primary,24.07506642,29.50769914,0
30,KLH013b_0696,ou,kou,587.3342,primary,23.93432745,1.995120593,1
31,KLH013b_0988,o,noho,772.5061,primary,23.16382284,22.60879561,
32,KLH013b_0626,o,waihona,559.1096038,primary,23.09078438,23.50515734,
33,KLH013c_0015,a,haku,18.3539497,primary,22.97082055,24.51533162,0
34,KLH013b_1232,o,noho,944.3511,unstressed,21.56653453,21.26518834,
35,KLH013d_0137,o,noho,92.1663,primary,20.96683824,16.18746698,
36,KLH013b_1094,o,noho,865.9312356,primary,20.45600191,19.54644437,
37,KLH013b_0065,i,lilo,120.2361614,primary,20.45468299,21.53037959,
38,KLH013b_0514,i,iwa,473.7795051,primary,19.59710645,15.22950887,
39,KLH013b_1391,i,wahi,1184.069051,unstressed,19.46365915,15.75456621,
40,KLH013b_0431,a,ʻāina,411.0933269,unstressed,19.35845748,19.17440959,
41,KLH013b_1304,o,ʻōpiopio,1124.013322,unstressed,18.97713438,16.98618004,
42,KLH013b_1183,u,ʻoʻopu,911.2169297,unstressed,18.64248987,18.1502262,20
43,KLH013b_0307,ou,lākou,282.9829804,primary,18.62914437,8.982893009,
44,KLH013d_0214,o,moku,240.0965,primary,18.26069141,17.76181168,
45,KLH013d_0114,ai,mai,81.37896724,primary,18.24393261,22.78927548,1
46,KLH013b_0010,o,noho,87.03078683,primary,18.04864561,12.43725545,
47,KLH013b_0376,o,momona,344.2682874,unstressed,17.09142941,17.31866116,
48,KLH013b_0756,o,noho,641.8067015,primary,16.73924518,8.387324591,
49,KLH013b_0035,o,moanalua,100.7655,0,16.55439114,18.42211685,0
50,KLH013b_1060,ou,mākou,839.9110244,primary,16.41470437,0.827869598,
51,KLH013b_0854,o,ʻoe,683.5661209,primary,15.73940233,14.5482334,
