file,f0,duration,label,group,color,number,cutoff,f11,f21,f31,f12,f22,f32,f13,f23,f33,f14,f24,f34,f15,f25,f35,f16,f26,f36,f17,f27,f37,f18,f28,f38,f19,f29,f39
KLH013b_0001,198.7,0.088,a,1,Red,1,5937,905,1565,2755,913,1543,2758,971,1616,2628,948,1669,2602,1130,1767,2897,1079,1787,3130,1132,1818,3098,832,1832,3147,745,1847,3172
KLH013b_0002,203.5,0.092,o,4,Green,2,5989,579,1838,2974,583,1757,3026,553,1576,2984,571,1387,3012,509,1212,3037,555,1136,3169,484,1039,3028,505,1021,3148,536,1133,3111
KLH013b_0003,192.5,0.17,ai,11,Teal,3,6200,591,1224,3032,750,1525,2965,739,1839,2910,641,2098,2973,537,2232,3019,493,2369,3020,457,2427,3030,480,2378,3012,561,2240,2962
KLH013b_0004,186.7,0.056,a,1,Red,4,6095,632,2085,2957,659,2010,3000,710,1977,2966,767,1934,2895,796,1894,2848,832,1884,2858,823,1879,2850,804,1877,2872,795,1877,2946
KLH013b_0005,64.6,0.076,i,3,Black,5,6042,131,2413,2986,188,2434,2990,279,2527,2963,277,2511,2932,306,2537,2893,370,2506,2902,362,2476,2759,366,2384,2755,399,2352,2819
KLH013b_0006,63.9,0.038,a,1,Red,6,6042,431,2323,2796,463,2297,2772,500,2277,2771,525,2263,2750,538,2253,2726,540,2232,2755,520,2203,2795,483,2159,2822,414,2140,2824
KLH013b_0007,230.5,0.036,i,3,Black,7,6147,259,2752,2912,257,2811,2952,262,2783,3092,271,2778,3124,279,2827,3155,284,2887,3195,281,2804,3140,274,2291,3093,271,2168,3068
KLH013b_0008,198,0.12,ō,9,Lime,8,6042,571,1754,2770,618,1702,2978,689,1557,2971,684,1363,2723,677,1242,2621,588,1172,2858,552,1192,3011,514,1123,3039,601,1124,2982
KLH013b_0009,63.9,0.248,āu,18,Black,9,5253,832,1706,2722,909,1684,2727,811,1630,2758,832,1709,2680,746,1589,2733,577,1337,2930,456,1191,2884,356,1098,2680,585,2063,2715
KLH013b_0010,172.6,0.046,o,4,Green,10,5200,454,1846,2535,485,1853,2772,557,1777,2664,566,1719,2601,652,1705,2581,729,1708,2610,826,1669,2742,872,1611,2703,897,1712,2698
KLH013b_0011,182.5,0.054,o,4,Green,11,5674,521,1105,2506,591,1222,2579,597,1272,2660,566,1292,2685,557,1410,2663,528,1492,2677,533,1560,2706,521,1614,2701,428,1638,2548
KLH013b_0012,221.8,0.136,ō,9,Lime,12,6147,612,1716,2931,634,1582,2855,675,1386,2867,688,1399,2941,740,1393,2899,781,1384,2964,736,1339,3131,705,1318,3085,803,1427,3101
KLH013b_0013,183.8,0.076,a,1,Red,13,6042,836,1457,3084,839,1440,3044,828,1508,3045,819,1520,3013,800,1536,2954,784,1586,2946,760,1608,3011,714,1570,3027,543,1547,2969
KLH013b_0014,178.3,0.076,ū,10,Purple,14,5200,345,1102,1949,359,944,2251,372,962,2598,363,897,2464,365,962,2321,364,926,2322,373,1010,2266,372,983,2286,364,906,2337
KLH013b_0015,159,0.294,ā,6,Yellow,15,5568,821,1717,2768,940,1666,2753,910,1563,2699,953,1552,2695,966,1669,2701,907,1706,2714,841,1716,2680,789,1805,2656,745,1869,2818
KLH013b_0016,161.4,0.09,ā,6,Yellow,16,5463,770,1723,2701,844,1722,2727,894,1693,2741,886,1658,2764,899,1667,2731,910,1659,2655,880,1642,2706,865,1628,2723,800,1692,2806
KLH013b_0017,155.6,0.05,e,2,Blue,17,5674,420,1959,2601,468,2008,2576,537,2103,2594,589,2201,2668,619,2235,2717,660,2198,2809,685,2161,2787,710,2159,2785,732,2157,2800
KLH013b_0018,155.3,0.044,a,1,Red,18,5411,764,1654,2838,707,1597,2792,713,1555,2748,713,1522,2714,703,1479,2709,679,1457,2702,656,1472,2792,653,1471,2840,639,1380,2784
KLH013b_0019,99.4,0.154,ai,11,Teal,19,5989,595,1372,2582,608,1455,2585,631,1726,2546,586,1940,2564,561,2152,2637,502,2399,3002,381,2502,2924,662,2569,3096,337,2183,2675
KLH013b_0020,120,0.07,e,2,Blue,20,5411,497,2056,2875,497,2094,2894,645,2136,2855,610,2218,2853,493,2195,2677,552,2208,2983,543,2167,3054,538,2147,3082,454,1941,3274
KLH013b_0021,106,0.074,o,4,Green,21,5358,575,1414,2806,531,1337,2888,561,1372,2969,547,1304,2873,623,1359,3031,562,1336,3039,642,1372,3042,706,1439,3041,644,1470,3003
KLH013b_0022,109,0.084,e,2,Blue,22,5253,649,1551,3019,680,1700,3009,672,1664,2993,693,1698,2944,624,1776,3078,582,1838,2929,565,1900,2818,704,1936,2798,770,2030,2918
KLH013b_0023,0,0.052,a,1,Red,23,6095,578,1784,2527,632,1738,2513,659,1718,2498,674,1700,2547,675,1675,2558,679,1658,2563,678,1603,2570,665,1566,2597,631,1503,2644
KLH013b_0024,0,0.032,u,5,Olive,24,5726,518,1197,2741,507,1169,2803,490,1155,2865,469,1109,2883,448,1049,2869,427,1019,2865,425,1011,2821,425,1019,2725,414,1136,2663
KLH013b_0025,104.8,0.034,u,5,Olive,25,5884,391,1280,2844,399,1271,2869,405,1299,2870,407,1334,2869,411,1364,2889,414,1413,2944,413,1491,3007,415,1573,3045,414,1628,3055
KLH013b_0026,107.3,0.034,a,1,Red,26,6200,408,1659,3008,398,1706,3000,385,1737,3009,366,1774,3006,345,1824,3009,310,1866,2999,279,1883,2904,265,1948,2799,274,2184,2825
KLH013b_0027,242.9,0.06,i,3,Black,27,5674,419,2778,3131,439,2690,3136,419,2557,3135,409,2581,3128,426,2545,3182,449,2450,3154,386,2365,3069,322,2280,3032,295,2288,3085
KLH013b_0028,125.9,0.06,e,2,Blue,28,5200,340,2329,3100,366,2386,3158,398,2398,3207,482,2362,3183,549,2374,3142,484,2392,3140,603,2384,3167,658,2362,3161,620,2267,3160
KLH013b_0029,208.6,0.064,ā,6,Yellow,29,5200,298,1639,1882,388,1650,1806,556,1328,1797,604,1752,1810,659,1670,1857,728,1546,1855,748,1653,1842,696,1668,1846,518,1774,1850
KLH013b_0030,175.9,0.108,au,14,Maroon,30,5305,643,1702,1830,716,1758,1856,701,1659,2352,698,1614,2578,652,1463,2348,544,1282,2626,503,1298,2701,481,1156,2750,483,2093,2637
