file,c11,c21,c31,c12,c22,c32,c13,c23,c33,c14,c24,c34,c15,c25,c35,c16,c26,c36
KLH013b_0001,956.4,1712.7,2896.3,16.4,-157.6,-261.5,-134.4,-24,64,110.3,11.5,114,-57.7,14.4,-6.4,20.6,4.4,-60.3
KLH013b_0002,539.6,1342.1,3050.8,29.7,389.9,-76.8,4.9,139.4,1.4,-11.6,-10.5,20.4,-1.5,13.6,-7.6,-15.5,-33.2,-33
KLH013b_0003,582.7,2033,2992.1,111.8,-484,-10.5,19.3,-261.9,-0.4,-79.5,-25.3,47.4,-29.4,-78,13.2,-38.2,4.9,16.3
KLH013b_0004,756.7,1935.9,2909.2,-85.1,91,43.6,-50.4,42.2,50.5,1.5,14.8,-27.5,-2.4,6.6,-9.6,-0.8,7.3,-25.2
KLH013b_0005,296.2,2459.3,2889.7,-115.2,27.1,114.3,-31.4,-82.4,-9.1,-18.5,2.4,-14.8,-10.8,-13,23.3,-17.1,-1.1,-31
KLH013b_0006,489.7,2239.2,2777.1,-4,80.1,-17.5,-62.2,-11,39.7,10.3,16.1,1.8,-15.6,4.9,-12.2,5.8,-2.1,9
KLH013b_0007,270.4,2666.3,3075.7,-9,225.5,-78.6,-8.1,-222.3,-101.6,4.5,123.4,-7.9,1.1,-36.4,-4.8,0.4,-65.2,-6
KLH013b_0008,611.2,1365.8,2893.6,28.8,299.4,-72.1,-43.2,115.9,105.3,-52.9,-2.9,2.6,1.5,-3.4,-129.6,-1.2,-20.4,-48.7
KLH013b_0009,664.2,1487.5,2764.6,253.2,243,-35.4,-27.4,18.4,-44.3,-59.7,-146.1,74.7,40.2,158.2,-42.3,-32.7,-87.1,-42.3
KLH013b_0010,669.3,1733.1,2660.4,-220.4,95.7,-28.5,18.7,28.9,39.9,-4.9,2.2,-23.9,-16.1,9.2,-72.5,-8.8,-37,-37.6
KLH013b_0011,535.4,1397.7,2634.5,46.9,-256,-30.1,-36.6,-13.3,-67.6,-0.5,-10.5,7.1,-34.4,-22.5,-38.1,5.9,-24,27.2
KLH013b_0012,705.4,1438.2,2980.2,-75,123.4,-125.2,-35.2,85.5,35.9,-10.4,45.8,30.4,9.3,55.3,-22.8,-37.2,-10.7,25.4
KLH013b_0013,769.8,1530.3,3010.1,99.8,-65.3,40.8,-51.1,-27,33.9,36.2,16.8,4.6,-30.8,-12.9,-23.9,20.7,8.2,26.7
KLH013b_0014,363,970.9,2312.7,-7.9,39.6,-29.7,-7.1,49.6,-123.5,-5.2,60.4,-163.4,-9.2,18.2,-100.7,-2.3,37.5,-23.2
KLH013b_0015,862.7,1699.8,2718.4,77.8,-86.2,8.2,-86.1,70.5,37.8,4.2,26.1,-4.8,-13.7,43.9,27.4,26.4,11.2,-24.1
KLH013b_0016,856.2,1674.7,2728.5,-16.2,28.7,-11.3,-66.1,18.9,16.9,-8.6,-6,-48.9,-34.1,7.6,9.9,-10.7,-20.2,13.7
KLH013b_0017,602.8,2133.9,2704.9,-138.4,-77.4,-122.2,-26.4,-88.9,-22.7,-19.3,-28.8,26.5,-5.7,11.7,15.6,-4.1,3.7,-5.3
KLH013b_0018,692,1510.1,2771.1,50.3,104.6,-3,-1.8,22.6,63.8,7.7,25.7,19.2,11.9,-14.2,-16.8,11.8,24.7,24.7
KLH013b_0019,574.4,2003.4,2744.7,13.2,-522.8,-228.5,67.5,-210,41.4,-94.6,92.4,52.3,41.3,-40.8,33.2,-14.3,11.7,-84.3
KLH013b_0020,536.1,2131.8,2940.8,16.1,2.6,-151.2,-39.8,-101.4,140.1,-27.6,28.3,-23.9,-45.8,-26.5,-38.9,18,23.7,-13
KLH013b_0021,601.7,1379.2,2965.5,-59.8,-32.6,-95,18.1,55.6,-44.6,1.6,-3.2,4.6,7.5,20.2,-21.7,28.1,7,-24.4
KLH013b_0022,658,1788.3,2947.7,-6.9,-189,86.8,49.3,20,-23,-64.5,-15,-10.8,12.8,-7.8,58.4,7.2,-35.3,-39.2
KLH013b_0023,650.9,1666.1,2555.2,-26.6,112.9,-50.3,-36.5,-17.1,15.8,-7.2,25.3,-1.6,-15.4,-0.1,20.9,-0.8,7.2,-0.7
KLH013b_0024,457.8,1091.5,2809.7,49.9,71.7,37.7,11.1,46.3,-89.7,0,-32.2,3.1,-1.2,15.9,-28.4,3.9,-15.3,-3.9
KLH013b_0025,406.9,1396.4,2926.1,-10.8,-160.4,-102.8,-4.3,49.2,33.8,-1.6,-17,-7,-1.2,11.7,-14.3,-0.9,5,-1.3
KLH013b_0026,340.6,1826.8,2956.1,74.8,-181.3,86.9,-5.3,34.9,-59.7,-3.6,-51.6,22.5,6.2,35,6.1,-3.5,-44.5,-17.3
KLH013b_0027,396.7,2503.3,3116.5,49.7,220.3,36.3,-39.1,-2.3,-34,26.7,37.8,3.2,-5.7,49.8,27.3,-16.9,12.7,-25.1
KLH013b_0028,501.5,2361.6,3156.8,-144.2,16.1,-5.2,-12.2,-34,-10.7,-18.4,15.3,-29.4,1.2,-34,-28.5,36.7,-4.2,-5
KLH013b_0029,572.9,1623.6,1837.6,-150,-74.3,-6.7,-133.6,39.6,6.3,19.2,5.3,25.5,-59,123.2,20.9,19.5,91.4,1.6
KLH013b_0030,600.5,1555.7,2385.9,113.7,114.8,-405.7,-41.4,177.9,-130,-42.6,-203.8,-60.7,-7.2,137.8,-134.4,-11.2,-130.5,53.5
KLH013b_0031,491.1,1409.2,2751.8,40.7,-275.5,6.9,-37.6,34.9,-88.3,6.6,-39.9,-9,3.8,-12.5,-0.7,2.1,-33.9,-3.7
KLH013b_0032,359,2258.6,2760.9,48.7,-253.4,-124,17.1,-64.9,17.1,-2,-44.8,-26,1.9,-15.8,82.9,1.8,5.4,-2.8
KLH013b_0033,395.1,2468.2,2928.1,-15.1,26.3,60.4,-26.4,7,-31.8,-7.5,-53.2,-30.1,-4.3,-18.6,14.7,-5.5,8.1,13.6
