time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025224,297.2,43.8,2235.7,145.8,2622.3,347.6,297.1,2237.7,2609.2,114.6,74.5
0.027224,295.4,42.7,2235.8,140.6,2615.2,311.7,295.8,2235.8,2610.5,114.6,74.3
0.029224,293.8,40.3,2234.9,134.6,2608.8,301.8,293.9,2233.9,2611.8,114.7,74.2
0.031224,292.1,39.2,2234.5,134.4,2602.0,313.9,291.8,2233.5,2611.9,114.6,74.1
0.033224,290.0,39.2,2236.9,138.5,2597.1,331.2,289.8,2235.7,2609.5,114.6,74
0.035224,288.3,37.8,2242.2,139.4,2594.8,343.9,288.2,2241.1,2603.7,114.6,73.9
0.037224,287.3,35.6,2248.6,134.8,2593.4,360.6,287,2249,2594.4,114.5,73.8
0.039224,286.6,36.0,2256.3,130.7,2587.7,385.7,286.2,2258.1,2581.9,114.4,73.6
0.041224,285.5,40.0,2264.9,130.0,2575.3,401.7,285.7,2266.3,2567,114.3,73.5
0.043224,284.3,43.9,2271.1,128.8,2561.3,401.2,285.1,2271.8,2551.3,114.2,73.3
0.045224,283.6,43.4,2272.6,129.9,2544.5,407.5,284.5,2273.4,2536,114.1,73.1
0.047224,283.6,42.2,2271.6,137.2,2523.9,437.5,283.8,2271,2522.5,114.1,72.8
0.049224,283.8,44.8,2269.1,146.6,2511.7,488.8,282.9,2265.8,2511.6,114,72.5
0.051224,283.6,48.5,2263.1,156.7,2503.0,527.3,282.2,2259.7,2503.4,113.9,72.1
0.053224,282.2,46.0,2255.6,162.5,2483.6,505.3,281.7,2255.1,2497.6,113.8,71.7
0.055224,280.8,39.6,2250.3,161.7,2463.1,455.7,281.5,2254.1,2493.3,113.7,71.2
0.057224,280.3,36.1,2251.1,150.7,2463.8,436.8,281.6,2257.7,2489.6,113.7,70.7
0.059224,281.3,38.8,2263.8,132.8,2494.9,473.7,281.9,2265.9,2485.3,113.6,70.2
0.061224,282.7,43.7,2282.8,119.6,2522.8,520.8,282,2277.5,2479.9,113.5,69.6
0.063224,282.3,45.2,2297.1,112.6,2521.6,547.3,281.6,2290.6,2472.8,113.5,69.1
0.065224,280.3,44.9,2305.3,113.2,2494.2,554.9,280.6,2303.1,2464.3,113.4,68.6
0.067224,278.3,46.0,2309.5,122.9,2449.8,550.6,278.9,2313.1,2454.8,113.3,68.1
0.069224,276.9,47.6,2314.6,133.0,2396.5,544.7,276.7,2319.9,2445.1,113.2,67.6
0.071224,275.3,47.3,2322.4,123.7,2347.9,569.4,274.2,2323.6,2436.2,113.1,67
0.073224,272.8,47.6,2325.6,95.3,2330.2,670.8,272,2324.9,2429,113,66.3
0.075224,270.3,54.7,2324.7,67.7,2396.6,914.7,270.4,2325,2424.4,112.9,65.4
0.077224,268.5,72.2,2328.0,50.1,2613.9,1374.6,269.8,2324.9,2422.8,112.7,64.5
