time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025104,324.6,101.0,2125.4,334.2,2741.9,589.6,323.6,2149.4,2710.5,106.9,68
0.027104,320.4,99.9,2150.7,421.4,2717.1,593.8,321.2,2149.2,2708.8,106.9,68
0.029104,317.3,93.1,2169.8,577.1,2684.3,519.7,317.3,2149.5,2706.7,106.9,68.1
0.031104,313.5,78.4,2159.5,660.4,2679.6,423.0,312.3,2151.1,2705.3,106.9,68.1
0.033104,308.1,65.9,2154.5,571.9,2694.6,404.4,306.8,2155.1,2705.8,106.9,68.2
0.035104,300.5,59.1,2162.0,410.8,2716.5,445.6,301.2,2161.9,2709.1,106.8,68.3
0.037104,292.7,57.5,2170.4,289.2,2729.3,515.1,295.9,2172,2715.8,106.8,68.4
0.039104,287.9,56.7,2182.4,232.5,2724.3,607.2,291.2,2185.2,2725.9,106.7,68.5
0.041104,287.2,55.3,2199.2,219.5,2724.0,704.9,287.5,2200.7,2738.9,106.7,68.5
0.043104,287.2,55.4,2219.6,226.9,2749.4,786.3,284.7,2217.4,2753.6,106.6,68.6
0.045104,286.2,57.5,2237.3,257.3,2784.6,790.9,283,2233.9,2768.8,106.5,68.6
0.047104,284.1,58.3,2248.8,312.5,2801.4,722.2,282,2248.8,2783,106.4,68.7
0.049104,282.4,54.0,2252.8,354.4,2801.5,659.7,281.7,2260.9,2795,106.3,68.7
0.051104,281.2,48.7,2261.2,366.3,2798.5,631.1,281.8,2269.5,2803.9,106.1,68.8
0.053104,280.4,47.9,2274.8,354.2,2799.4,590.9,281.9,2274.4,2809.5,106,68.9
0.055104,279.7,52.3,2281.9,321.1,2806.7,501.4,282,2276,2812.1,105.9,69
0.057104,279.7,56.0,2279.8,287.7,2809.7,425.8,281.9,2275.2,2812.6,105.7,69
0.059104,280.6,54.3,2275.9,267.9,2809.0,389.4,281.7,2273.2,2812,105.6,69
0.061104,282.1,50.9,2272.9,266.8,2807.3,392.6,281.4,2271,2811.5,105.4,68.8
0.063104,283.7,50.9,2270.1,280.2,2805.7,427.5,281.4,2269.6,2811.9,105.3,68.5
0.065104,284.7,55.5,2268.2,288.2,2811.2,472.3,281.9,2269.4,2813.7,105.1,68.1
0.067104,284.5,59.1,2270.2,265.5,2827.1,469.7,283.1,2270.1,2816.7,105,67.6
0.069104,284.6,56.4,2275.1,232.0,2839.0,435.2,285.4,2271.2,2819.9,104.8,67.2
0.071104,287.0,54.6,2274.6,214.9,2836.1,415.0,288.9,2271.2,2822.3,104.7,66.8
0.073104,292.5,62.9,2262.0,210.0,2819.4,389.7,293.8,2268.9,2822.2,104.5,66.5
0.075104,300.1,81.5,2245.9,201.7,2803.0,342.0,300,2262.9,2818.3,104.4,66.3
0.077104,308.0,95.5,2237.9,188.5,2793.9,303.3,307.4,2252.4,2809.6,0,66
0.079104,314.5,90.1,2236.6,179.9,2789.2,288.3,315.6,2237.1,2795.8,0,65.9
0.081104,322.6,74.4,2235.3,183.2,2784.3,296.0,324.2,2217.6,2777.5,0,65.9
0.083104,333.3,59.8,2225.5,213.8,2771.3,338.6,332.8,2195.2,2756.1,0,66
0.085104,344.2,49.4,2189.6,298.8,2734.7,434.1,340.7,2172,2733.5,0,66.3
0.087104,349.4,42.4,2134.4,378.9,2698.4,546.7,347.6,2150.4,2712.3,0,66.5
0.089104,351.4,35.8,2105.8,392.5,2684.8,635.5,352.8,2132.7,2694.9,0,66.7
0.091104,353.8,30.7,2111.1,385.3,2682.0,688.1,356.1,2121.2,2683.5,0,66.7
0.093104,357.8,27.1,2132.5,370.0,2697.2,768.1,357.3,2117.2,2679.5,0,66.3
