time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.026000,276.4,108.1,2691.7,373.4,3341.5,887.4,275.1,2695.4,3266.3,0,70.5
0.028000,279.2,111.3,2717.0,303.6,3304.1,5714.9,275.9,2686.2,3298.6,0,70.2
0.030000,277.6,109.2,2710.3,281.8,3305.9,5971.0,276.8,2671.5,3348.3,0,70.1
0.032000,276.3,101.1,2675.3,291.2,3414.8,712.5,277.7,2651.9,3409.9,0,70.2
0.034000,276.2,87.9,2612.5,302.0,3416.8,649.6,278.1,2628.6,3476.8,0,70.4
0.036000,275.9,77.9,2541.8,287.8,3503.2,525.2,277.8,2602.5,3542.2,0,70.5
0.038000,274.6,75.7,2490.4,267.6,3594.7,324.0,276.8,2574.8,3599.9,0,70.5
0.040000,272.4,77.7,2483.5,286.9,3661.8,208.3,275.1,2546.4,3645.6,0,70.4
0.042000,271.3,81.9,2518.1,331.0,3703.4,140.5,273,2518.2,3676.4,0,70.2
0.044000,272.8,87.5,2549.5,356.2,3713.1,111.7,271,2490.8,3692.1,0,69.9
0.046000,273.5,89.3,2554.0,385.8,3707.6,106.1,269.6,2465.1,3694.1,0,69.5
0.048000,271.4,87.9,2531.6,442.1,3696.6,113.1,269.3,2441.5,3685.4,0,69.2
0.050000,269.0,87.6,2466.5,491.7,3680.1,136.7,270.3,2420.7,3669.9,0,69
0.052000,271.1,91.6,2376.7,440.2,3647.4,173.0,272.7,2403.3,3651.8,0,68.9
0.054000,279.7,100.0,2319.0,331.6,3613.1,170.9,276.2,2389.8,3634.8,0,68.9
0.056000,287.1,108.7,2302.7,269.4,3608.1,159.3,280.5,2380.7,3621.6,0,69.1
0.058000,288.7,112.5,2314.1,258.4,3609.4,167.2,284.9,2376.3,3613.7,0,69.4
0.060000,285.6,110.3,2350.0,289.8,3604.6,215.0,288.7,2376.6,3611.4,0,69.7
0.062000,283.5,108.0,2401.1,347.2,3597.3,323.1,291.5,2381.4,3614,0,69.8
0.064000,284.4,109.3,2448.7,397.4,3602.7,489.5,292.9,2390,3620,0,69.8
0.066000,285.9,112.8,2469.1,400.5,3646.5,576.6,293,2401,3627.8,0,69.7
0.068000,287.3,120.0,2455.0,355.4,3676.1,439.1,292,2413.1,3635.8,0,69.5
0.070000,292.0,131.4,2425.6,304.1,3661.9,278.4,290.7,2424.4,3643,0,69.2
0.072000,301.9,137.5,2404.7,273.7,3645.4,176.3,290.1,2433.2,3648.9,0,69
0.074000,309.7,132.6,2400.4,272.6,3638.7,129.8,291,2437.7,3653.7,0,68.9
0.076000,308.9,128.5,2408.7,290.2,3642.7,122.7,294.4,2436.9,3658,95.4,68.9
0.078000,302.7,129.4,2420.1,303.6,3656.5,149.7,300.8,2430.2,3662.8,95.5,68.8
0.080000,296.5,133.8,2427.2,299.0,3679.8,206.8,310.3,2417.6,3668.5,95.6,68.7
0.082000,300.5,147.9,2418.0,276.4,3703.7,279.1,322.4,2400.3,3675.8,95.6,68.3
0.084000,324.3,171.3,2387.7,241.3,3699.3,351.0,336.4,2379.8,3684.4,95.7,67.9
0.086000,352.1,182.7,2352.9,209.2,3660.0,387.7,350.8,2358.3,3693.8,95.8,67.3
0.088000,368.0,184.3,2326.9,188.2,3628.0,394.6,364.2,2338.3,3702.9,95.8,66.8
0.090000,373.8,177.2,2315.7,183.2,3642.3,425.3,375.2,2322,3710.6,95.9,66.3
0.092000,383.4,155.3,2316.4,192.1,3749.0,451.6,382.3,2311.3,3715.7,96,66
0.094000,398.6,126.7,2320.7,208.2,3815.8,320.7,384.8,2307.6,3717.5,96,66
