time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025152,616.9,333.7,1219.8,105.0,2250.9,195.8,622.4,1218.6,2253.7,127.5,77.5
0.027152,612.8,325.4,1218.1,107.6,2243.2,201.1,611.8,1217.8,2245,128,77.5
0.029152,605.9,319.0,1216.5,109.3,2238.8,198.1,599.9,1217.5,2236.6,128.5,77.5
0.031152,595.4,319.7,1217.0,110.7,2240.2,180.3,591.3,1219.1,2233.7,128.9,77.5
0.033152,585.7,319.9,1223.2,112.9,2241.7,150.2,587.6,1224,2238,129.2,77.5
0.035152,582.5,313.2,1234.9,113.9,2242.0,124.8,586.8,1233.2,2246.8,129.4,77.5
0.037152,581.6,308.5,1248.1,115.2,2245.9,116.1,584.5,1246.4,2254.4,129.5,77.5
0.039152,576.6,300.8,1262.9,115.7,2252.0,124.5,577.4,1261.9,2255.4,129.5,77.5
0.041152,567.2,277.4,1276.9,109.4,2253.4,149.5,565.6,1277,2247.9,129.5,77.6
0.043152,556.7,238.1,1287.2,94.6,2242.0,182.0,552.4,1289.2,2233.9,129.4,77.6
0.045152,546.4,202.9,1294.5,79.6,2220.8,194.8,541.6,1297.7,2217.6,129.2,77.6
0.047152,534.4,181.8,1303.1,70.0,2201.3,193.9,534.9,1304.1,2202.6,128.9,77.6
0.049152,522.1,170.8,1316.2,63.5,2181.7,198.4,529.8,1312,2189.5,128.6,77.5
0.051152,513.8,171.6,1330.5,59.6,2165.7,216.3,520.9,1325.3,2176.4,128.3,77.4
0.053152,504.5,194.2,1346.4,62.6,2158.4,271.3,503.8,1345.9,2160.2,127.8,77.3
0.055152,486.6,248.6,1366.1,77.7,2157.8,415.1,478,1372.1,2140.3,127.3,77.1
0.057152,461.1,326.3,1390.5,102.3,2137.3,693.1,449,1398.7,2119.5,126.7,76.8
0.059152,432.0,427.5,1418.7,122.0,2089.2,1111.2,425.8,1418.7,2103.4,126,76.5
0.061152,398.2,534.8,1434.5,114.3,2089.8,1739.2,416.9,1426.1,2097.3,125.2,76.2
