time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025660,460.1,392.7,1317.4,158.0,2433.9,486.9,467.2,1311.2,2435.4,139.4,73.4
0.027660,485.7,336.7,1292.9,162.2,2426.0,400.6,480.1,1292.4,2425.9,140.1,73.7
0.029660,505.4,297.4,1262.3,162.4,2412.5,360.9,499.7,1268.1,2411.3,140.6,74
0.031660,522.6,272.0,1238.5,157.7,2394.4,372.2,523.5,1246.8,2394.2,141.2,74.2
0.033660,544.3,259.8,1235.0,157.1,2376.7,441.6,548,1236.4,2377.6,141.6,74.4
0.035660,568.8,253.6,1249.2,160.6,2367.9,539.9,569.5,1241.5,2365.1,142.1,74.5
0.037660,585.5,249.2,1269.2,162.8,2364.6,629.0,584.9,1261.9,2358.9,142.5,74.6
0.039660,593.1,245.7,1292.8,166.5,2353.5,729.9,593.2,1292.2,2358.7,142.9,74.6
0.041660,594.8,237.8,1319.5,171.3,2344.1,819.9,595.2,1323.7,2361.5,143.2,74.6
0.043660,593.9,220.1,1342.5,170.0,2367.2,753.2,593,1347.3,2362.5,143.5,74.6
0.045660,591.4,199.5,1353.0,166.6,2377.8,543.4,589.5,1356.6,2357.9,143.7,74.6
0.047660,586.7,176.2,1350.4,173.2,2353.0,385.1,586.4,1350.2,2346.9,143.9,74.6
0.049660,582.2,152.6,1335.7,191.8,2322.9,309.9,583.6,1332.4,2332.9,144.1,74.7
0.051660,577.7,133.4,1316.1,211.6,2307.6,272.8,579.2,1311.1,2322.2,144.2,74.7
0.053660,569.9,118.9,1300.7,223.7,2315.4,254.0,571,1294.7,2321.8,144.2,74.8
0.055660,556.9,105.1,1289.6,231.7,2343.7,239.8,558,1288.8,2335,144.2,74.8
0.057660,543.1,94.5,1283.3,245.6,2375.5,227.2,541.1,1293.8,2360,144.1,74.8
0.059660,530.1,91.1,1289.6,274.7,2395.8,234.5,523.8,1305.4,2389.3,144,74.8
0.061660,515.3,94.0,1311.4,316.4,2404.5,281.9,510.8,1316.6,2412.7,143.8,74.7
0.063660,496.2,101.4,1343.1,374.5,2414.6,390.2,505.9,1321.2,2421.7,143.5,74.8
