,filename,vowel,word,start,stress,mahal_mean,mahal_median,edit
1,KLH016b_0937,i,hiki,427.050432,unstressed,237.4609944,0.920494756,
2,KLH016c_1238,i,hiki,613.7419081,unstressed,139.2426643,3.926322035,
3,KLH016b_0357,e,ʻeke,185.4318557,unstressed,95.12765248,4.256627246,
4,KLH016c_0005,ō,ʻōpelu,130.7702977,secondary,93.23214956,92.73424217,0
5,KLH016a_0068,u,kaʻūpūlehu,58.47171638,unstressed,84.01314969,10.98324893,0
6,KLH016c_0871,ō,hōkele,476.3735,secondary,76.17354349,73.47445579,1
7,KLH016c_0419,u,ʻōpelu,255.8163424,unstressed,72.73318448,9.355376412,0
8,KLH016e_0004,ao,maopopo,12.12406802,secondary,69.78235032,66.4268416,1
9,KLH016a_1030,a,kanaka,353.8045,unstressed,64.25855032,55.14073661,1
10,KLH016a_0038,au,au,49.01899781,primary,63.88753032,70.16252513,0
11,KLH016a_1408,o,noho,487.2235,primary,62.67153919,9.687649595,1
12,KLH016b_0921,ō,honokōhau,422.9691622,secondary,61.58791022,74.83850319,1
13,KLH016c_0417,ō,ʻōpelu,255.4844578,secondary,56.0858063,59.1121631,1
14,KLH016a_0160,ū,kūmā,98.17644197,secondary,54.2343244,28.80997519,1
15,KLH016c_0051,ō,pohō,144.7274219,primary,53.4411121,61.41378239,0
16,KLH016c_0281,o,waho,201.2868933,unstressed,52.82499668,48.20445605,0
17,KLH016c_0125,o,hoʻopaʻa,160.6859659,secondary,47.91777874,47.14696289,0
18,KLH016c_1214,ō,pōhaku,608.9473654,secondary,46.29804845,43.8239641,1
19,KLH016c_0162,o,hoʻokomo,167.6800981,secondary,44.72875621,42.58036449,1
20,KLH016b_0488,ō,pōʻalo,235.4837685,secondary,44.68091542,48.58661472,1
21,KLH016b_0115,a,mahi,81.16382793,primary,43.23926101,41.48238238,1
22,KLH016c_0785,a,kahakai,405.2482248,unstressed,41.91077148,40.89076099,0
23,KLH016a_1022,o,komo,352.7052754,primary,41.75282241,41.92048554,1
24,KLH016c_0050,o,pohō,144.5687356,unstressed,41.26004199,37.39022157,0
25,KLH016e_0452,o,hoʻomaka,199.0266464,unstressed,40.38066355,40.80887284,1
26,KLH016c_0233,u,ʻakahipuʻu,191.1484455,primary,38.75717373,5.349301629,1
27,KLH016c_0729,ō,kalaemanō,382.4614014,primary,38.32952877,14.97905477,0
28,KLH016a_0036,o,kona,48.78900444,primary,38.32565765,12.97517287,0
29,KLH016c_1526,o,kalo,747.7045,unstressed,37.82791367,40.95348327,0
30,KLH016c_1044,au,pau,564.3841048,primary,36.69962284,48.12487026,1
31,KLH016a_0394,a,ʻekahi,168.1631893,primary,35.64050474,38.32245842,0
32,KLH016a_0376,u,koʻu,165.212843,unstressed,35.45858537,35.59484305,1
33,KLH016c_1516,ā,lākou,741.2518255,secondary,31.39400257,39.85849332,1
34,KLH016b_0269,u,uka,141.5100923,primary,29.49102138,4.607189487,0
35,KLH016e_0501,u,koʻu,220.432224,unstressed,29.09393957,22.02519036,0
36,KLH016e_0367,a,wahi,169.1410926,primary,26.55215166,8.765570627,1
37,KLH016e_0001,oa,ʻale,11.72585778,primary,25.64428998,33.56044801,0
38,KLH016b_0606,ū,kūmā,287.7766,secondary,24.50724688,25.84005244,1
39,KLH016a_1320,o,momona,434.2497825,primary,24.38901643,29.26796186,0
40,KLH016b_0750,o,poeko,338.4064552,unstressed,24.32578237,23.6759148,1
41,KLH016a_0308,a,kahiko,145.2802671,unstressed,24.25748106,16.79898579,0
42,KLH016b_0854,a,kahiko,385.3327696,unstressed,23.5507411,19.28337305,0
43,KLH016c_1462,u,nui,724.5500296,primary,23.49748163,23.83747638,
44,KLH016c_0450,u,hoʻoluʻu,262.8226777,unstressed,23.40593354,26.00095121,1
45,KLH016b_0076,u,puʻukala,66.58200239,unstressed,23.38663971,22.91539654,0
46,KLH016c_1419,o,kohonaiki,706.8211362,secondary,23.26349974,23.33604727,0
47,KLH016a_0091,a,puʻuwaʻawaʻa,67.59028201,unstressed,22.82713729,23.11046181,1
48,KLH016e_0333,au,hōʻau,162.6004689,primary,22.55339412,10.36613365,1
49,KLH016c_0843,u,manu,469.2555,unstressed,22.13220363,24.59218306,1
50,KLH016b_0690,u,naʻu,318.1521903,unstressed,22.11125512,21.01268304,0
51,KLH016a_0229,a,ia,114.5198281,unstressed,21.83455276,23.47051405,0
52,KLH016a_0472,a,kupunahine,195.2959859,unstressed,20.94530049,20.69782389,0
53,KLH016c_0966,a,kahawaliwali,540.0625,0,20.50401823,1.108546705,0
54,KLH016c_1126,oa,hope,587.1068623,primary,20.41094031,18.87845394,1
55,KLH016b_0278,ā,pākē,143.5346,secondary,20.11257646,27.47127107,0
56,KLH016a_1290,a,pahu,418.7625,primary,19.66480464,20.57108348,0
57,KLH016c_0138,u,hoʻokuʻu,163.1535619,unstressed,19.53702637,20.56923694,0
58,KLH016a_0592,a,kahakai,235.1893117,unstressed,19.08640969,17.013155,1
59,KLH016c_0653,o,hoʻokuʻu,353.9638148,unstressed,18.59857487,9.04999865,1
60,KLH016b_0888,u,kula,414.9266,primary,18.52096812,0.82495469,
61,KLH016c_0220,ū,kaʻūpūlehu,188.2695,secondary,18.50014743,9.128994041,1
62,KLH016a_1313,a,kālani,430.9816992,primary,18.08792263,17.12148562,
63,KLH016c_0452,u,ʻupena,263.0128475,unstressed,17.8869327,19.69963301,0
64,KLH016c_1165,o,holo,597.8125,unstressed,17.26592321,17.30206743,1
65,KLH016a_1287,a,hoʻopiha,418.3672032,unstressed,16.96351014,15.71888741,
66,KLH016b_0314,o,lako,161.8195469,unstressed,16.79971749,1.822972165,1
67,KLH016c_1376,a,kapalaoa,660.6030481,secondary,16.70630993,7.770365771,0
68,KLH016b_0719,o,noho,325.6676,unstressed,16.35117707,3.898070345,1
69,KLH016a_0730,o,maopopo,284.3336175,unstressed,16.35001298,4.572591827,0
70,KLH016c_0708,o,komo,372.7095,unstressed,16.08913585,5.55336076,0
71,KLH016a_1324,e,ʻaʻole,436.0650327,unstressed,16.050407,7.123716969,0
72,KLH016c_1215,a,pōhaku,609.0941365,primary,15.817674,16.00420268,1
73,KLH016d_0080,ou,kou,49.5681,primary,15.77645947,2.201003796,
74,KLH016a_0009,a,ahiahi,35.8775,primary,15.64266057,15.38456031,
75,KLH016a_0327,a,mahi,148.5915,primary,15.50574,17.07505957,1
76,KLH016a_0332,a,mālama,153.9223311,unstressed,15.36456508,16.51684423,0
77,KLH016e_0005,o,maopopo,12.32908716,primary,15.36287034,18.26338103,0
78,KLH016c_0348,o,hoʻopiha,237.3565,secondary,14.77313935,1.721914459,1
79,KLH016c_0146,u,ʻupena,164.4035,unstressed,14.64623337,16.75375467,0
80,KLH016c_1415,ao,ʻaoʻao,680.1962662,primary,14.38921217,2.295009063,
81,KLH016e_0517,o,ʻōpiopio,226.3238344,unstressed,13.67712761,13.13871429,
82,KLH016b_0002,a,maikaʻi,7.357506245,primary,13.50445998,12.73134859,
83,KLH016b_0081,u,ʻuala,69.33752051,unstressed,13.35030483,18.54077626,0
84,KLH016b_0529,u,koʻu,257.0496,unstressed,13.25663668,14.36664603,0
85,KLH016e_0392,ai,kawaihae,177.3192733,secondary,13.23661456,6.88220721,
86,KLH016c_0617,o,hoʻopiʻo,346.3105,secondary,13.06499374,2.132116625,1
87,KLH016c_0954,ou,lākou,528.5704047,primary,13.06348855,1.802095762,0
88,KLH016a_0591,a,kahakai,235.1059336,secondary,12.99891295,12.05980859,1
89,KLH016e_0290,a,puʻuwaʻawaʻa,142.6539315,unstressed,12.91527468,1.071174178,1
90,KLH016c_0654,u,hoʻokuʻu,354.1615,primary,12.77319213,2.522346852,1
91,KLH016a_1188,ou,lākou,389.1245843,primary,12.75315682,3.064365954,
92,KLH016c_1117,ā,iā,583.0819514,primary,12.27956413,6.355162384,
93,KLH016a_0912,a,kanaka,328.7171673,unstressed,12.26535817,6.528205766,
94,KLH016c_1492,a,kepanī,737.2075,unstressed,12.22669972,11.99940309,
95,KLH016b_0714,u,kumu,322.7219628,unstressed,12.07276504,12.13478311,0
96,KLH016b_0514,au,lau,245.2611788,primary,11.92871047,4.489290519,0
97,KLH016b_0713,u,kumu,322.5616,primary,11.84236517,1.046858342,1
98,KLH016c_1064,e,luahine,569.029092,unstressed,11.58996396,11.16826848,
99,KLH016c_0504,a,iʻa,278.8556817,unstressed,11.53543403,10.36845456,
100,KLH016a_0002,a,maikaʻi,34.81310356,primary,11.34886188,11.46080241,
101,KLH016e_0008,a,hale,13.05299676,primary,11.32834755,0.221058007,1
102,KLH016a_0045,ā,hānau,54.67686453,secondary,11.23590791,8.85055107,0
103,KLH016a_0248,u,puʻuanahulu,122.2928325,0,11.08880088,10.37820177,
104,KLH016b_0358,o,kope,185.5973797,primary,11.00748187,7.60272915,1
105,KLH016c_0514,ai,hānai,283.4283273,primary,10.95188171,4.510369942,
106,KLH016c_1416,a,kawaihae,682.7895,unstressed,10.70382218,9.178657594,0
107,KLH016a_0873,o,ʻoe,321.2234567,primary,10.58952672,6.355132833,
108,KLH016e_0492,a,hawaiʻi,218.3431936,unstressed,10.4587695,2.658726306,1
109,KLH016c_1559,ou,ʻāinahou,778.4210713,primary,10.42743213,1.466803597,1
110,KLH016e_0409,i,iā,188.7882,unstressed,10.4188276,6.413195011,
111,KLH016a_1049,au,pau,357.7638008,primary,10.41004518,1.717523535,
112,KLH016b_0402,au,lau,204.6976,primary,10.39123914,1.974045572,1
113,KLH016c_1196,o,hoʻopuni,604.1985276,secondary,10.38839928,1.234294054,
114,KLH016a_0617,o,one,247.2597939,primary,10.38752879,5.02753826,1
115,KLH016a_0492,o,loko,200.0185582,unstressed,10.37782515,1.565446435,
116,KLH016c_0602,i,iā,342.1045,unstressed,10.25041699,6.919968506,
117,KLH016c_1335,ā,iā,637.0655,primary,10.24156071,8.512482691,
118,KLH016d_0170,o,loko,95.7031,unstressed,10.23908443,2.516899975,
119,KLH016b_0414,au,lau,214.3467997,primary,10.18872541,5.474044146,1
120,KLH016c_0007,u,ʻōpelu,131.0826326,unstressed,10.17172661,9.648459131,
121,KLH016e_0485,i,pili,217.5622,unstressed,10.13318682,10.53686175,
122,KLH016d_0087,au,au,52.1761,primary,10.0670669,2.564845438,
123,KLH016a_0193,a,kamahana,106.9400276,secondary,10.04310663,6.078800908,0
124,KLH016e_0013,o,māmona,13.7422,primary,10.02438336,9.722085188,
125,KLH016b_0070,a,inoa,65.83360755,unstressed,10.02227739,3.087588144,1
126,KLH016b_0237,a,kakahiaka,136.0212031,0,9.968198411,6.076856359,1
127,KLH016b_0065,u,huʻehuʻe,64.2026,primary,9.794683367,2.115861012,
128,KLH016c_1503,o,kope,738.8663288,primary,9.714707969,8.163986877,
129,KLH016c_1294,o,moʻa,629.9674843,primary,9.692634102,11.75329711,19
130,KLH016a_0177,u,puʻuanahulu,103.7464865,0,9.68746979,8.643040415,1
131,KLH016c_1500,a,nāna,738.3771252,unstressed,9.665659851,6.493006586,1
132,KLH016e_0315,ū,kūʻai,157.3965771,secondary,9.488254303,9.953755026,1
133,KLH016a_0420,ā,kūmā,175.6767609,primary,9.409793465,2.013237876,1
134,KLH016c_0136,o,hoʻokuʻu,162.8435,unstressed,9.405257247,0.609552812,1
135,KLH016c_0936,a,kilimana,521.6225,unstressed,9.38068746,1.635549524,1
136,KLH016a_1186,ā,iā,388.8782361,primary,9.239880014,7.058044687,
137,KLH016c_1031,ā,iā,558.996336,primary,9.23548618,7.007521793,
138,KLH016c_0434,o,hoʻopaʻa,260.6842407,secondary,9.227588683,0.493019356,
139,KLH016a_0504,a,mahana,208.725344,unstressed,9.200455175,9.720098916,1
140,KLH016a_0283,a,kupuna,131.8103399,unstressed,9.191411516,0.841937067,1
141,KLH016a_0300,a,kupunahine,144.2611066,unstressed,9.166139129,9.216334583,
142,KLH016e_0067,i,pāpaʻi,36.6555048,unstressed,9.129939684,6.07569549,
143,KLH016a_0650,a,kupunahine,259.3395584,unstressed,9.100840666,9.005642213,
144,KLH016b_0239,i,kakahiaka,136.3529922,unstressed,9.096988663,8.173628324,
145,KLH016c_1528,a,maiʻa,749.7284185,unstressed,9.044200982,9.795148163,
146,KLH016c_1499,ā,nāna,738.2417813,primary,9.029912961,7.592698684,1
147,KLH016c_1115,a,iʻa,582.8480046,unstressed,8.97834478,9.119407653,
148,KLH016c_0478,ō,ʻōpelu,268.0826585,secondary,8.9670586,1.406524205,
149,KLH016b_0323,e,kupunahine,170.2036,unstressed,8.890698259,7.963813926,0
150,KLH016b_0920,o,honokōhau,422.8169661,unstressed,8.888500486,0.846727007,
151,KLH016b_0908,u,puʻuanahulu,421.0406551,0,8.868821075,7.807349986,
152,KLH016a_0957,ā,iā,336.9021797,primary,8.856895381,1.728082078,
153,KLH016a_1015,u,uhi,349.5429593,primary,8.83856661,1.651570096,
154,KLH016c_0690,ā,nāna,364.9987139,primary,8.836924493,8.516932467,
155,KLH016d_0068,u,kaikuaʻana,45.08690199,0,8.836695026,5.982178947,
156,KLH016c_0586,e,ʻaʻole,327.8036346,unstressed,8.815059704,8.019952261,0
157,KLH016e_0208,a,kahiko,89.4172,unstressed,8.757349112,3.059237547,
158,KLH016b_0146,a,lawaiʻa,91.09480437,unstressed,8.738709154,8.629841718,
159,KLH016b_0948,u,nui,430.2406,primary,8.70989826,7.696790619,
160,KLH016e_0477,a,iaʻu,215.1315993,primary,8.708411728,7.160850406,
161,KLH016a_0294,o,inoa,143.5291356,primary,8.665358991,2.910402889,
162,KLH016a_0380,e,makuahine,165.8350447,unstressed,8.586421743,8.199948936,
163,KLH016b_0528,o,koʻu,256.9972889,primary,8.586104285,2.785348719,1
164,KLH016a_0408,o,noho,171.6954609,primary,8.513495866,7.917522922,
165,KLH016a_0470,u,koʻu,194.8695,unstressed,8.489627349,0.804161928,1
166,KLH016b_0737,u,koʻu,335.5386,unstressed,8.412653714,0.952974786,1
