time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025719,351.5,153.7,1081.6,2362.8,2665.0,632.6,341.6,1117.3,2644.4,129.4,67.6
0.027719,337.9,133.2,1064.0,1182.9,2630.5,502.5,341.7,1095.9,2632,129.4,68.3
0.029719,335.1,115.5,1070.3,852.0,2606.8,525.3,341.8,1062.6,2612.6,129.3,68.8
0.031719,340.0,107.7,1064.3,827.7,2587.1,682.6,342,1020.4,2588,129.2,69.3
0.033719,343.2,105.1,1026.8,923.5,2541.3,860.1,342.2,973.1,2560.4,129.1,69.7
0.035719,343.0,104.5,956.5,1005.3,2507.3,813.0,342.5,924.7,2532.2,129,70
0.037719,342.0,105.3,869.2,1028.2,2504.2,604.0,342.6,879.1,2505.5,128.9,70.3
0.039719,342.6,107.2,798.6,1043.4,2500.8,446.7,342.6,839.5,2482.4,128.8,70.5
0.041719,343.0,107.9,766.8,1029.7,2490.3,393.0,342.4,808.2,2464,128.7,70.7
0.043719,342.1,109.4,769.4,963.3,2474.4,417.9,341.8,786.4,2451,128.5,70.9
0.045719,342.0,114.7,779.6,860.3,2445.9,497.9,340.8,774.2,2443.4,128.4,71.2
0.047719,341.6,119.6,783.8,748.9,2410.8,563.8,339.4,770.7,2440.1,128.2,71.5
0.049719,338.3,119.3,788.2,653.2,2405.0,558.6,337.6,774,2440,128,71.8
0.051719,334.4,116.7,796.2,596.2,2432.5,529.9,335.5,782.1,2441.4,127.8,72.2
0.053719,331.4,113.3,804.9,551.1,2464.4,507.3,333.3,792.6,2442.4,127.7,72.6
0.055719,329.6,108.2,806.9,503.4,2470.7,498.6,331,803.4,2441.6,127.5,73
0.057719,328.4,102.9,804.3,462.4,2446.9,493.9,329,812.9,2437.9,127.3,73.3
0.059719,327.5,97.7,806.4,426.1,2414.5,469.9,327.5,820.1,2430.7,127,73.6
0.061719,327.2,90.5,816.8,385.8,2397.5,431.3,326.7,824.7,2420.2,126.8,73.9
0.063719,327.7,82.7,826.9,355.4,2399.4,407.3,326.8,827.2,2407.3,126.6,74.2
0.065719,328.8,77.4,829.9,342.3,2405.6,398.2,327.8,828.3,2393.5,126.4,74.5
0.067719,330.6,74.1,829.3,332.9,2403.8,389.0,329.8,829.2,2380.4,126.2,74.7
0.069719,333.1,70.2,831.9,309.9,2386.5,379.8,332.7,831.3,2370.1,126,75
0.071719,335.7,65.4,838.2,284.5,2358.4,390.1,336.2,835.6,2364.2,125.8,75.2
0.073719,338.9,63.9,845.7,278.1,2337.3,437.7,340.3,843,2363.8,125.6,75.5
0.075719,343.7,67.5,856.8,285.1,2344.8,520.0,344.6,853.6,2369.7,125.4,75.7
0.077719,350.1,73.8,871.8,279.6,2381.6,595.0,349,867.4,2381.6,125.2,75.9
0.079719,354.8,77.0,884.1,259.3,2413.8,614.0,353.1,883.5,2398.5,125,76.1
0.081719,356.9,73.1,894.6,237.7,2429.4,604.1,356.9,900.7,2418.6,124.8,76.2
0.083719,358.4,64.2,909.3,217.3,2447.8,581.8,360.1,917.8,2439.8,124.7,76.4
0.085719,360.7,54.5,931.8,195.9,2475.1,534.9,362.6,933.1,2459.6,124.5,76.6
0.087719,362.9,49.9,950.9,180.0,2489.1,477.5,364.5,945.2,2475.8,124.3,76.8
0.089719,365.6,52.3,956.6,171.9,2482.1,431.5,365.6,953,2486.3,124.2,77
0.091719,369.7,61.4,953.9,166.4,2459.0,401.6,366,955.7,2490,124,77.1
