time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025510,611.3,32.8,1806.5,73.4,2575.0,273.3,618.6,1823.4,2611,0,73.9
0.027510,609.9,26.3,1807.5,64.9,2579.5,270.9,610,1807.1,2573.5,0,73.5
0.029510,607.2,22.0,1802.1,66.2,2565.3,291.5,600.5,1781,2518.9,0,72.9
0.031510,602.8,27.9,1767.3,95.4,2482.4,344.6,594.7,1747.5,2457.1,0,72.5
0.033510,596.6,49.9,1695.1,119.4,2367.5,294.2,594.9,1711.1,2399.3,0,72.4
0.035510,594.6,73.5,1659.5,100.9,2331.2,232.3,600.5,1677.6,2355.1,0,72.6
0.037510,600.1,85.9,1650.2,82.8,2327.3,206.7,608.1,1652.5,2329.9,0,72.9
0.039510,609.4,88.6,1646.7,67.4,2332.9,194.0,613.9,1639.1,2324.4,0,73.1
0.041510,618.5,86.0,1644.1,54.4,2342.3,188.3,616,1636.3,2333.8,0,73
0.043510,624.9,81.7,1640.8,43.3,2353.8,189.8,615.8,1639.2,2350,0,72.5
0.045510,626.6,78.1,1636.2,34.8,2366.0,201.5,617.4,1640.5,2364.4,0,71.7
0.047510,623.8,77.9,1630.8,30.5,2375.1,227.9,625.6,1633.8,2371.1,0,70.8
0.049510,627.7,95.7,1622.4,40.2,2365.3,259.6,642.9,1616.4,2368.3,0,70.1
0.051510,661.8,167.9,1595.0,102.5,2345.0,255.4,668.2,1590.9,2359.6,0,70.1
0.053510,706.3,254.6,1549.7,195.4,2345.3,233.1,696.4,1563.9,2351.3,0,70.8
0.055510,727.6,282.5,1537.4,213.4,2356.0,231.6,721.1,1543.1,2349.9,0,71.9
0.057510,736.0,280.7,1542.1,198.0,2369.9,240.7,736.9,1534.2,2359,0,72.8
0.059510,738.9,271.3,1548.6,176.2,2384.2,251.8,742.4,1537.5,2377.3,0,73.4
0.061510,739.2,259.2,1553.6,153.3,2398.3,262.5,740.1,1548.5,2399.1,0,73.4
0.063510,737.2,243.8,1556.2,131.1,2410.8,272.3,735.4,1559.6,2416.6,0,73.1
0.065510,732.1,223.6,1555.5,112.0,2420.0,282.2,733.1,1564.2,2423.3,0,72.4
