time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025279,462.9,336.5,1232.8,227.2,2147.1,226.0,502.1,1297.7,2184.6,111.7,72.7
0.027279,479.1,297.8,1251.3,203.2,2144.3,237.2,502.3,1297.3,2184.5,111.5,72.8
0.029279,480.8,271.5,1270.1,175.6,2145.5,251.7,502.6,1296.7,2184.3,111.3,72.8
0.031279,466.1,268.6,1284.6,154.3,2146.1,280.2,503.1,1295.9,2184.1,111,72.6
0.033279,448.6,286.9,1287.3,151.8,2130.5,333.7,503.7,1294.9,2183.9,110.8,72.6
0.035279,454.6,299.7,1278.0,168.1,2090.1,396.6,504.5,1293.6,2183.5,110.6,72.7
0.037279,471.6,289.0,1274.2,173.2,2064.7,425.9,505.3,1292.1,2183.2,110.3,73
0.039279,479.9,271.1,1280.1,159.7,2064.6,434.8,506.3,1290.4,2182.8,110.1,73.3
0.041279,476.6,261.8,1288.5,140.8,2081.5,441.0,507.4,1288.5,2182.3,109.8,73.5
0.043279,468.2,266.8,1292.8,131.3,2109.4,466.9,508.6,1286.4,2181.9,109.6,73.5
0.045279,467.8,292.9,1285.3,150.3,2153.2,567.1,510,1284.2,2181.4,109.3,73.5
0.047279,481.2,335.4,1259.1,211.3,2205.0,760.0,511.4,1281.8,2180.9,109.1,73.4
0.049279,493.4,380.2,1217.0,285.2,2240.8,930.7,512.9,1279.3,2180.4,108.9,73.2
0.051279,497.6,404.4,1197.6,303.9,2246.6,971.2,514.5,1276.6,2179.9,108.7,73.1
0.053279,506.2,397.4,1216.3,265.0,2229.7,929.8,516.1,1273.8,2179.5,108.5,73
0.055279,534.9,364.5,1245.1,209.6,2210.9,856.9,517.8,1270.9,2179,108.3,73
0.057279,568.9,318.1,1264.2,171.8,2203.2,798.7,519.6,1268,2178.6,108.1,73
0.059279,587.3,281.8,1274.2,148.6,2193.8,759.3,521.4,1264.9,2178.3,108,73
0.061279,587.7,275.0,1276.2,142.4,2183.8,767.9,523.3,1261.9,2178,107.9,73.1
0.063279,582.3,297.8,1273.2,156.9,2190.1,873.0,525.2,1258.8,2177.8,107.7,73.3
0.065279,586.0,332.8,1273.2,187.7,2236.6,1117.8,527.1,1255.6,2177.6,107.6,73.4
0.067279,596.2,340.7,1283.7,200.5,2301.2,1344.7,529.1,1252.5,2177.6,107.6,73.6
0.069279,597.7,326.3,1294.8,189.3,2291.4,1358.2,531,1249.4,2177.6,107.5,73.8
0.071279,588.5,318.3,1295.7,180.9,2231.3,1175.9,532.9,1246.4,2177.8,107.4,74
0.073279,577.8,330.5,1282.3,195.8,2208.8,968.4,534.8,1243.4,2178,107.4,74.1
0.075279,575.0,355.2,1252.3,237.3,2225.0,793.4,536.7,1240.4,2178.4,107.4,74.1
0.077279,577.8,363.6,1224.5,267.5,2241.2,662.6,538.5,1237.6,2179,107.3,74.1
0.079279,575.9,347.3,1214.1,260.8,2241.4,552.2,540.3,1234.8,2179.6,107.3,74.1
0.081279,564.0,339.8,1213.6,236.1,2230.1,469.6,542,1232.2,2180.4,107.3,74.1
0.083279,542.7,359.8,1212.4,218.2,2210.9,430.5,543.7,1229.6,2181.3,107.3,74.2
0.085279,522.0,380.4,1217.3,209.1,2185.8,437.9,545.3,1227.2,2182.4,107.4,74.3
0.087279,512.2,384.5,1231.4,205.0,2167.6,472.3,546.9,1225,2183.6,107.4,74.4
0.089279,508.5,387.4,1247.9,202.3,2164.0,507.9,548.3,1222.8,2185,107.4,74.5
0.091279,515.8,397.0,1255.4,205.2,2179.7,519.6,549.7,1220.9,2186.5,107.4,74.5
0.093279,539.9,401.7,1252.3,214.5,2203.4,510.3,551,1219.1,2188.2,107.4,74.4
0.095279,567.5,388.7,1254.1,217.7,2224.5,513.0,552.1,1217.4,2190,107.5,74.3
0.097279,579.4,372.7,1266.8,207.3,2236.6,546.3,553.2,1216,2192,107.5,74.2
0.099279,577.2,370.2,1278.2,193.4,2235.0,603.4,554.2,1214.7,2194.1,107.5,74.2
0.101279,571.6,379.2,1277.9,186.7,2209.7,668.1,555,1213.5,2196.3,107.5,74.1
0.103279,571.5,371.7,1267.1,183.2,2172.9,660.6,555.8,1212.6,2198.6,107.5,74.2
0.105279,572.9,332.8,1261.3,166.5,2153.0,568.0,556.4,1211.8,2201.1,107.5,74.2
0.107279,570.8,297.8,1266.8,146.1,2153.7,483.9,556.9,1211.1,2203.6,107.5,74.2
0.109279,564.2,286.1,1273.8,133.4,2169.1,433.4,557.3,1210.6,2206.3,107.5,74.2
0.111279,558.2,297.4,1270.3,134.9,2194.6,418.3,557.6,1210.3,2209,107.5,74.3
0.113279,558.1,306.8,1259.5,140.5,2218.1,419.5,557.8,1210.1,2211.8,107.5,74.3
0.115279,559.9,305.4,1255.1,138.1,2234.9,426.0,557.9,1210.1,2214.6,107.4,74.3
0.117279,558.4,308.3,1259.0,131.8,2246.1,435.8,557.8,1210.1,2217.5,107.4,74.2
0.119279,552.1,326.2,1259.3,130.4,2251.8,427.2,557.7,1210.3,2220.4,107.4,74.2
0.121279,545.3,344.3,1246.1,138.4,2245.6,374.4,557.4,1210.6,2223.3,107.3,74.1
0.123279,542.5,347.8,1228.6,148.5,2237.1,313.7,557.1,1211,2226.3,107.3,74.1
0.125279,540.8,342.1,1220.0,153.8,2231.1,272.9,556.6,1211.5,2229.2,107.2,74
0.127279,537.0,336.9,1221.3,152.8,2228.3,254.9,556.1,1212,2232,107.2,74
0.129279,533.5,336.2,1220.3,150.8,2229.8,254.9,555.5,1212.6,2234.8,107.1,73.9
0.131279,535.9,332.5,1212.6,152.6,2235.8,269.7,554.8,1213.2,2237.6,107,73.9
0.133279,540.6,325.2,1208.3,157.2,2241.8,287.6,554,1213.9,2240.2,107,73.9
0.135279,542.2,323.3,1211.9,163.4,2245.8,300.5,553.2,1214.6,2242.7,106.9,73.8
0.137279,538.8,334.8,1217.0,171.0,2249.6,303.2,552.3,1215.3,2245.2,106.9,73.8
0.139279,536.0,350.4,1212.1,178.9,2255.8,296.0,551.4,1216,2247.5,106.8,73.7
0.141279,538.3,352.9,1198.2,185.5,2264.6,282.3,550.4,1216.6,2249.6,106.7,73.7
0.143279,540.9,344.9,1189.0,190.1,2270.5,266.4,549.5,1217.3,2251.6,106.7,73.6
0.145279,539.0,340.1,1186.9,195.7,2269.0,247.0,548.4,1217.9,2253.4,106.6,73.5
0.147279,532.6,343.3,1183.9,203.2,2259.3,226.5,547.4,1218.5,2255,106.5,73.4
0.149279,527.6,346.4,1168.5,214.2,2245.5,207.7,546.4,1219,2256.4,106.5,73.3
0.151279,529.3,345.6,1149.1,228.7,2238.1,198.9,545.3,1219.4,2257.6,106.4,73.3
0.153279,533.4,347.5,1148.5,245.0,2238.0,205.0,544.3,1219.8,2258.6,106.3,73.3
