time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025803,481.3,291.5,1217.8,147.2,2387.1,125.7,521.8,1228.2,2348.2,106.1,76.5
0.027803,521.0,273.3,1228.0,164.8,2370.7,148.1,528.2,1230.3,2346,106,76.6
0.029803,554.3,230.5,1240.8,163.5,2340.3,155.7,538.2,1233.5,2342.2,105.9,76.6
0.031803,574.1,190.3,1248.6,149.5,2318.6,144.3,550.8,1237.4,2336.7,105.8,76.6
0.033803,585.9,158.8,1249.8,136.0,2305.5,129.0,564.9,1241.5,2329.2,105.6,76.6
0.035803,589.7,141.7,1243.2,129.9,2289.6,122.9,579.1,1245.6,2319.8,105.5,76.6
0.037803,591.6,144.6,1238.7,134.7,2274.0,126.0,592.3,1249.2,2308.6,105.4,76.5
0.039803,597.7,163.1,1244.4,148.1,2272.4,133.4,603.5,1252.3,2295.9,105.3,76.4
0.041803,605.7,186.5,1254.1,167.1,2283.9,140.7,612,1254.7,2282.1,105.2,76.2
0.043803,611.3,211.0,1260.0,197.7,2295.3,144.9,617.6,1256.7,2267.9,105.1,76.1
0.045803,613.5,221.1,1259.0,236.0,2290.3,139.5,620.1,1258.5,2253.9,104.9,76
0.047803,615.4,205.7,1258.7,253.1,2269.3,123.7,620.1,1260.5,2240.8,104.8,75.9
0.049803,616.9,178.2,1265.4,237.2,2244.9,104.7,618,1263.1,2229,104.7,75.8
0.051803,615.7,160.6,1273.7,213.7,2225.8,94.1,614.7,1266.5,2218.9,104.6,75.7
0.053803,609.7,162.1,1276.5,198.3,2208.8,97.6,610.8,1271,2210.3,104.5,75.6
0.055803,602.9,179.6,1275.7,185.3,2187.9,112.5,606.9,1276.5,2203.1,104.4,75.5
0.057803,603.5,192.5,1278.5,169.8,2173.1,116.0,603.6,1282.7,2196.9,104.4,75.4
0.059803,608.2,196.2,1285.0,154.8,2169.0,105.1,601,1289.5,2190.9,104.3,75.2
0.061803,609.5,202.9,1291.9,147.9,2170.4,95.2,599.2,1296.2,2184.7,104.2,75.1
0.063803,603.7,217.4,1298.1,151.9,2172.3,96.2,597.9,1302.5,2177.9,104.2,74.8
0.065803,596.2,231.3,1306.4,162.5,2171.9,112.6,596.6,1307.8,2170.3,104.1,74.6
0.067803,595.3,232.2,1314.7,162.7,2167.4,129.8,595,1311.9,2162.1,104.1,74.3
0.069803,596.2,226.4,1320.1,148.5,2160.9,127.5,592.5,1314.6,2153.9,104.1,74
0.071803,592.0,223.1,1322.0,129.2,2156.6,111.9,588.7,1315.9,2146.5,104.1,73.7
0.073803,577.2,221.4,1320.7,106.0,2155.3,96.5,583.3,1316,2141.1,104.1,73.3
0.075803,558.4,213.8,1316.2,83.1,2157.0,91.5,576.1,1315.3,2138.7,104.1,73
0.077803,550.2,206.9,1311.5,69.1,2158.3,96.6,567.2,1314.2,2140.3,104.1,72.6
0.079803,549.3,212.5,1307.7,63.1,2155.6,105.6,556.9,1313.2,2146.6,104.1,72.3
0.081803,548.0,239.2,1305.4,65.6,2151.7,122.5,545.5,1312.6,2157.8,104.1,72
0.083803,542.4,289.3,1305.7,78.7,2152.8,167.6,533.6,1312.7,2173.5,104.2,71.6
0.085803,533.5,346.7,1311.7,100.9,2165.5,282.4,521.8,1313.6,2192.6,104.2,71.1
0.087803,527.5,380.8,1321.9,112.5,2192.2,459.8,510.7,1315.1,2213.7,104.2,70.6
0.089803,520.5,402.8,1328.6,108.7,2219.9,613.1,500.7,1317.2,2234.8,104.3,70
0.091803,508.8,429.7,1328.6,102.7,2231.5,660.7,492.4,1319.3,2254,104.3,69.2
0.093803,492.2,473.8,1325.1,102.9,2250.3,663.1,486.2,1321.1,2269.4,104.3,68.3
0.095803,468.1,515.4,1318.3,110.3,2294.6,658.8,482.3,1322.4,2279.3,104.4,67.1
0.097803,443.6,516.0,1309.4,122.5,2350.1,642.8,481,1322.8,2282.8,104.4,65.7
