time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025041,288.3,53.5,1822.1,1018.5,2231.1,343.1,310.1,1503.5,2265.6,122.4,76.4
0.027041,295.4,58.5,1773.4,1083.5,2213.7,316.1,310.3,1499.8,2268.6,122.5,76.3
0.029041,300.1,62.3,1738.8,1182.7,2211.2,293.6,310.6,1493.6,2273.4,122.7,76.2
0.031041,304.5,69.1,1679.5,1331.2,2220.7,276.1,311,1485,2280.1,122.9,76.2
0.033041,311.0,81.7,1567.3,1547.5,2243.3,270.9,311.6,1474,2288.5,123.1,76.2
0.035041,317.6,94.4,1435.5,1693.7,2275.0,283.3,312.3,1460.8,2298.4,123.3,76.2
0.037041,321.3,102.3,1324.4,1497.4,2313.4,302.6,313.1,1445.4,2309.7,123.5,76.2
0.039041,321.3,104.0,1262.3,1045.6,2351.8,320.3,314,1428,2322.3,123.7,76.2
0.041041,321.4,102.5,1236.0,744.2,2387.5,354.4,314.9,1408.7,2335.7,124,76.3
0.043041,323.0,99.7,1225.4,604.7,2421.8,383.7,315.9,1387.6,2350,124.2,76.3
0.045041,325.0,98.5,1216.2,558.4,2439.1,370.2,316.9,1364.9,2364.7,124.5,76.4
0.047041,326.8,102.1,1198.0,531.7,2445.0,332.9,318,1340.9,2379.7,124.7,76.5
0.049041,327.9,107.8,1172.2,485.5,2449.8,300.6,319.1,1315.6,2394.7,125,76.6
0.051041,327.8,108.2,1152.8,430.4,2455.3,284.8,320.2,1289.3,2409.5,125.3,76.7
0.053041,327.2,104.3,1140.2,380.0,2459.5,277.3,321.2,1262.3,2423.9,125.5,76.8
0.055041,326.2,101.2,1129.6,333.2,2461.4,270.3,322.2,1234.7,2437.5,125.8,76.9
0.057041,325.0,98.9,1119.5,287.2,2464.9,269.9,323.2,1206.8,2450.2,126.1,77
0.059041,324.4,96.1,1113.9,261.5,2468.9,283.9,324.1,1178.9,2461.9,126.5,77.1
0.061041,324.5,93.6,1111.2,259.9,2467.1,301.5,325,1151.1,2472.3,126.8,77.2
0.063041,324.6,92.2,1106.4,273.8,2458.6,316.7,325.7,1123.8,2481.4,127.1,77.3
0.065041,324.0,90.6,1097.7,291.3,2451.5,334.8,326.4,1097.1,2488.9,127.5,77.4
0.067041,323.1,87.3,1086.1,304.7,2451.2,361.3,326.9,1071.3,2494.9,127.9,77.5
0.069041,322.8,84.2,1072.9,311.9,2459.1,379.0,327.4,1046.7,2499.3,128.3,77.5
0.071041,323.2,83.2,1055.2,309.0,2469.2,365.4,327.8,1023.4,2502.1,128.7,77.5
0.073041,323.4,80.6,1032.3,284.4,2474.2,316.6,328,1001.6,2503.3,129.1,77.5
0.075041,323.7,75.0,1015.7,253.7,2477.2,259.0,328.2,981.5,2502.9,129.6,77.5
0.077041,325.1,70.4,1009.2,243.1,2486.8,211.1,328.2,963.3,2501.1,130.1,77.4
0.079041,327.8,69.2,1011.0,264.2,2497.9,185.4,328.2,947,2497.9,130.6,77.4
0.081041,330.0,68.7,1015.1,306.5,2500.6,175.9,328.1,932.8,2493.5,131.1,77.3
0.083041,330.5,67.2,1013.1,348.4,2491.5,167.3,327.9,920.7,2487.9,131.6,77.3
0.085041,330.3,67.1,998.9,354.6,2475.2,151.5,327.6,910.8,2481.5,132.2,77.3
0.087041,329.9,69.6,978.7,312.5,2457.2,132.5,327.3,903.1,2474.4,132.8,77.2
0.089041,329.0,71.4,966.5,256.3,2442.6,121.0,327,897.5,2466.7,133.5,77.2
0.091041,327.5,71.3,963.0,223.2,2434.5,116.4,326.6,894.1,2458.7,134.2,77.2
0.093041,325.9,70.7,961.0,210.5,2432.1,115.1,326.3,892.6,2450.5,134.9,77.2
0.095041,324.3,70.2,956.0,208.7,2432.4,119.5,325.9,893,2442.5,135.6,77.2
0.097041,322.3,69.3,947.5,209.7,2434.8,132.9,325.6,895,2434.7,136.4,77.1
0.099041,320.5,68.7,940.1,212.6,2442.2,151.4,325.4,898.7,2427.4,137.2,77
0.101041,319.8,70.6,936.7,223.1,2454.4,164.6,325.2,903.6,2420.8,138.1,76.9
0.103041,319.9,75.0,935.6,248.5,2463.5,167.8,325.1,909.7,2414.9,139,76.7
0.105041,319.7,80.0,932.2,282.9,2461.3,160.9,325,916.6,2410,139.9,76.5
0.107041,318.8,87.0,920.3,309.3,2451.0,149.1,325.1,924.1,2406.2,140.9,76.3
0.109041,318.5,98.2,901.2,301.6,2439.0,140.6,325.3,932,2403.6,141.9,76
0.111041,318.7,108.8,886.1,261.5,2427.1,136.1,325.6,939.9,2402.1,142.9,75.7
0.113041,319.4,114.1,878.8,208.1,2415.2,129.0,326,947.8,2402,144,75.5
0.115041,322.2,116.4,876.6,166.5,2407.6,121.8,326.5,955.2,2403.2,145.1,75.2
0.117041,328.7,119.9,876.9,138.3,2403.0,120.8,327.2,962,2405.7,146.3,75
0.119041,336.8,122.4,878.9,120.0,2399.6,125.2,328,968,2409.6,147.5,74.8
0.121041,343.6,125.2,881.3,108.2,2397.9,130.3,328.9,973,2414.6,148.7,74.6
0.123041,349.5,132.3,883.5,103.1,2400.0,137.5,329.9,976.9,2420.8,150,74.6
0.125041,352.9,140.9,886.5,106.0,2407.6,147.2,331.1,979.5,2428.1,151.3,74.6
0.127041,352.2,146.0,893.3,115.2,2420.7,156.8,332.3,980.8,2436.4,152.6,74.8
0.129041,347.9,143.8,905.2,128.9,2433.4,165.0,333.6,980.8,2445.6,154,75
0.131041,342.2,133.1,920.5,145.8,2441.5,176.2,335,979.4,2455.4,155.4,75.3
0.133041,337.2,114.3,937.8,166.5,2448.0,192.7,336.4,976.7,2465.9,156.8,75.6
0.135041,334.3,96.9,953.2,187.6,2459.1,208.2,337.8,972.8,2476.7,158.3,75.8
0.137041,332.7,85.3,966.7,206.7,2477.1,218.2,339.2,967.9,2487.9,159.8,76.1
0.139041,332.1,81.2,973.8,220.9,2492.1,225.7,340.6,962.1,2499.1,161.4,76.4
0.141041,333.1,83.5,975.0,241.7,2498.9,239.6,342,955.7,2510.4,163,76.7
0.143041,335.9,87.8,975.3,282.7,2505.8,265.8,343.2,948.8,2521.4,164.6,77
0.145041,338.2,86.7,977.3,328.3,2521.6,291.5,344.4,941.9,2532.1,166.3,77.3
0.147041,338.1,75.5,978.0,339.2,2542.7,288.9,345.4,935.1,2542.4,168,77.7
0.149041,336.1,59.5,974.9,297.0,2552.2,246.6,346.4,928.9,2552.2,169.7,78.1
0.151041,334.8,47.8,974.5,253.4,2552.6,202.3,347.1,923.5,2561.2,171.5,78.4
0.153041,335.1,42.8,981.2,243.0,2556.5,181.5,347.6,919.3,2569.5,173.3,78.7
0.155041,336.5,43.9,993.6,273.5,2567.9,190.6,348,916.7,2577,175.1,78.8
0.157041,338.7,48.1,1008.6,338.0,2584.2,224.2,348.1,915.9,2583.6,177,78.9
0.159041,341.8,53.3,1020.7,414.2,2601.2,269.6,348,917.3,2589.2,179,78.9
0.161041,345.4,58.8,1026.9,475.5,2620.5,302.5,347.6,921.2,2593.9,180.9,78.8
0.163041,348.4,64.8,1026.9,501.5,2644.1,301.2,347,927.8,2597.6,182.9,78.6
0.165041,349.5,69.8,1021.6,471.1,2658.3,264.1,346.2,937.3,2600.4,184.9,78.5
0.167041,349.7,74.7,1017.5,405.3,2653.7,216.5,345.1,949.9,2602.2,187,78.3
0.169041,350.3,80.8,1021.2,348.8,2631.9,181.1,343.7,965.7,2603,189,78.3
0.171041,351.4,89.3,1031.2,319.1,2608.4,157.3,342,984.8,2603.1,191.1,78.3
0.173041,352.6,100.8,1045.2,307.6,2594.5,137.7,340.2,1007.1,2602.3,193.2,78.4
0.175041,352.9,112.4,1060.1,303.3,2591.0,124.8,338.1,1032.7,2600.7,195.3,78.5
0.177041,351.8,124.2,1077.1,294.3,2589.8,118.6,335.8,1061.4,2598.5,197.4,78.7
0.179041,348.8,137.2,1095.0,274.9,2584.7,118.2,333.3,1093,2595.6,199.5,78.9
0.181041,343.9,153.9,1109.7,249.0,2575.2,118.5,330.7,1127.4,2592.3,201.6,79.1
0.183041,336.5,177.2,1119.7,221.3,2564.4,114.8,327.9,1164.1,2588.4,203.7,79.2
0.185041,327.4,201.2,1125.2,200.1,2558.8,107.9,325,1202.8,2584.3,205.8,79.4
0.187041,316.5,221.9,1131.2,186.4,2560.0,101.1,322,1243.3,2579.8,207.8,79.6
0.189041,306.6,232.1,1142.8,181.6,2567.1,98.1,318.9,1284.9,2575.2,209.8,79.8
0.191041,300.7,230.8,1162.5,185.9,2575.1,100.8,315.9,1327.3,2570.5,211.8,80
0.193041,298.7,221.3,1192.4,201.0,2577.9,111.3,312.9,1369.8,2565.7,213.8,80.1
0.195041,299.4,207.7,1226.3,224.0,2569.2,128.1,309.9,1412.1,2561,215.7,80.2
0.197041,300.8,190.8,1261.2,248.6,2548.1,148.0,307,1453.6,2556.4,217.5,80.3
0.199041,301.3,178.1,1291.6,267.5,2523.1,160.0,304.2,1493.7,2552,219.3,80.3
0.201041,300.4,177.5,1320.1,287.2,2507.6,156.7,301.6,1531.8,2547.8,221.1,80.3
0.203041,297.6,188.4,1354.0,322.6,2503.0,144.6,299.2,1567.6,2543.9,222.8,80.4
0.205041,293.4,207.6,1397.9,389.1,2506.7,134.7,296.9,1600.4,2540.4,224.4,80.3
0.207041,289.4,232.5,1475.1,515.2,2515.4,131.2,295,1629.9,2537.3,225.9,80.3
0.209041,289.2,249.4,1619.4,677.0,2526.7,137.4,293.2,1655.6,2534.5,227.4,80.3
0.211041,292.6,245.1,1813.9,732.1,2540.1,153.2,291.8,1677.1,2532.3,228.8,80.2
0.213041,295.9,220.2,1973.1,655.7,2556.4,174.7,290.7,1694.2,2530.5,230.1,80.1
0.215041,296.5,190.0,2051.3,571.2,2569.1,191.4,289.8,1706.5,2529.2,231.4,80
0.217041,296.1,162.4,2082.5,513.0,2574.3,200.3,289.3,1714,2528.4,232.5,79.8
0.219041,296.5,142.6,2088.7,472.2,2572.9,198.7,289.2,1716.6,2528.2,233.6,79.6
