,filename,vowel,word,start,stress,mahal_mean,mahal_median,edit
1,KLH016b_0938,i,hiki,427.050432,unstressed,238.5550778,4.406818767,
2,KLH016c_1238,i,hiki,613.7419081,unstressed,133.4361663,2.399459511,
3,KLH016a_0068,u,kaʻūpūlehu,58.47171638,unstressed,85.2881044,10.81762975,0
4,KLH016b_0357,e,ʻeke,185.4318557,unstressed,75.86337316,2.001939727,
5,KLH016c_0419,u,ʻōpelu,255.8163424,unstressed,74.75659479,9.213347582,
6,KLH016c_0005,ō,ʻōpelu,130.7702977,secondary,65.3709887,64.42132866,1
7,KLH016a_1408,o,noho,487.2235,primary,55.34720457,10.15104868,1
8,KLH016c_0871,ō,hōkele,476.3735,secondary,50.63779778,48.99771363,1
9,KLH016b_0922,ō,honokōhau,422.9691622,secondary,48.69438304,58.47832936,1
10,KLH016a_0038,au,au,49.01899781,primary,45.63570814,50.11065133,0
11,KLH016c_0281,o,waho,201.2868933,unstressed,44.1577271,38.99891591,0
12,KLH016a_0160,ū,ʻumikūmāono,98.17644197,secondary,42.32773707,23.38182959,1
13,KLH016c_0233,u,ʻakahipuʻu,191.1484455,primary,39.66487153,5.810535913,1
14,KLH016a_1029,a,kanaka,353.8045,unstressed,39.61462809,34.56687475,0
15,KLH016c_0125,o,hoʻopaʻa,160.6859659,secondary,38.89143369,38.07789539,1
16,KLH016c_0417,ō,ʻōpelu,255.4844578,secondary,38.72375229,40.6144188,1
17,KLH016c_0051,ō,pohō,144.7274219,primary,36.75950265,41.36925634,1
18,KLH016c_0162,o,hoʻokomo,167.6800981,secondary,36.00900813,34.25590059,1
19,KLH016c_0050,o,pohō,144.5687356,unstressed,34.93536456,30.8715227,0
20,KLH016a_1021,o,komo,352.7052754,primary,34.38433283,34.47063202,1
21,KLH016a_0375,u,koʻu,165.212843,unstressed,33.59687711,33.78567109,1
22,KLH016a_0036,o,kona,48.78900444,primary,33.1550959,13.33450231,1
23,KLH016e_0452,o,hoʻomaka,199.0266464,unstressed,32.80825592,33.16936885,1
24,KLH016c_1526,o,kalo,747.7045,unstressed,31.35800147,34.11123236,0
25,KLH016c_1214,ō,pōhaku,608.9473654,secondary,30.71397691,28.50847186,1
26,KLH016e_0501,u,koʻu,220.432224,unstressed,30.62895437,23.2057836,0
27,KLH016b_0489,ō,pōʻalo,235.4837685,secondary,30.04721553,32.91137227,1
28,KLH016b_0269,u,uka,141.5100923,primary,29.83336158,4.684735435,1
29,KLH016c_0729,ō,kalaemanō,382.4614014,primary,27.17982867,15.76643259,1
30,KLH016c_1044,au,pau,564.3841048,primary,27.00577919,34.00251399,1
31,KLH016b_0115,a,mahi,81.16382793,primary,24.82904129,23.63385312,
32,KLH016c_0785,a,kahakai,405.2482248,unstressed,23.69625708,22.93050806,
33,KLH016c_1462,u,nui,724.5500296,primary,23.17610681,23.5019169,
34,KLH016c_0450,u,hoʻoluʻu,262.8226777,unstressed,22.52615834,24.73923302,1
35,KLH016b_0076,u,puʻukala,66.58200239,unstressed,22.40347515,21.8245291,0
36,KLH016c_0843,u,manu,469.2555,unstressed,21.47565814,23.73914952,1
37,KLH016b_0691,u,naʻu,318.1521903,unstressed,21.33612714,20.10213175,0
38,KLH016a_0393,a,ʻekahi,168.1631893,primary,20.79440468,22.6451268,
39,KLH016a_1317,o,momona,434.2497825,primary,20.6936697,23.62861927,0
40,KLH016b_0751,o,poeko,338.4064552,unstressed,20.55269931,19.84686776,1
41,KLH016c_1419,o,kohonaiki,706.8211362,0,19.71165656,19.19046415,0
42,KLH016b_0607,ū,kūmālima,287.7766,secondary,19.19146175,21.83955996,1
43,KLH016b_0889,u,kula,414.9266,primary,18.86798233,0.811632486,
44,KLH016c_0138,u,hoʻokuʻu,163.1535619,unstressed,18.68906384,19.66038724,0
45,KLH016e_0333,au,hōʻau,162.6004689,primary,18.51504494,7.908345354,1
46,KLH016c_0452,u,ʻupena,263.0128475,unstressed,17.21786588,18.81716701,0
47,KLH016c_0602,i,iā,342.1045,unstressed,16.31441481,12.10248157,
48,KLH016e_0367,a,wahi,169.1410926,primary,16.16934798,6.477985537,0
49,KLH016c_0653,o,hoʻokuʻu,353.9638148,unstressed,15.4049934,7.990348042,1
