time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025939,504.8,87.4,899.6,265.1,2686.1,377.0,507.4,860.3,2704.3,0,60.7
0.027939,504.1,76.1,887.6,264.1,2644.7,322.1,507,859.6,2705.7,0,60.8
0.029939,502.4,71.2,875.0,291.1,2600.7,297.6,506.3,858.3,2708,0,60.9
0.031939,499.5,76.0,850.6,332.0,2564.9,321.6,505.4,856.6,2711.2,0,61.1
0.033939,496.9,87.1,825.9,350.1,2551.4,392.1,504.2,854.5,2715.2,0,61.4
0.035939,494.4,102.2,815.4,356.0,2593.8,489.0,502.7,852.1,2720.1,0,61.7
0.037939,488.9,123.0,814.6,360.2,2710.7,542.2,501.1,849.4,2725.8,0,62.2
0.039939,480.7,139.4,819.3,352.9,2825.2,488.5,499.2,846.4,2732.2,0,62.5
0.041939,476.3,140.6,829.0,344.7,2887.9,407.2,497.2,843.4,2739.4,0,62.8
0.043939,479.4,129.4,840.7,346.8,2906.6,373.9,495,840.3,2747.2,0,63
0.045939,488.4,115.3,853.4,368.2,2897.8,399.4,492.7,837.3,2755.5,0,63.1
0.047939,501.5,104.3,864.8,423.2,2877.2,491.7,490.2,834.5,2764.3,0,63.2
0.049939,513.2,98.7,865.5,509.1,2873.6,662.6,487.6,832,2773.6,0,63.3
0.051939,517.7,96.2,853.9,580.1,2896.6,884.9,485,830,2783.1,0,63.5
0.053939,516.0,93.1,843.2,602.8,2931.7,1042.8,482.3,828.5,2792.9,0,63.8
0.055939,510.9,87.9,832.3,596.5,2953.9,1036.9,479.5,827.7,2802.9,0,64.1
0.057939,503.8,82.1,810.0,569.4,2871.1,928.0,476.8,827.8,2812.8,0,64.3
0.059939,494.6,78.6,781.8,502.7,2734.7,795.1,474.1,828.8,2822.6,0,64.6
0.061939,483.7,79.3,775.4,414.4,2683.4,656.1,471.4,831,2832.3,0,64.8
0.063939,469.6,84.8,789.5,323.7,2713.8,580.9,468.8,834.4,2841.6,0,65
0.065939,452.9,90.6,808.5,247.3,2765.6,544.8,466.3,839.2,2850.5,0,65.2
0.067939,438.2,89.2,830.4,194.1,2804.1,524.0,463.9,845.4,2858.8,0,65.5
0.069939,433.0,78.9,853.0,168.9,2800.4,526.6,461.6,853.3,2866.4,154.2,65.9
