time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025546,1535.1,353.5,1960.0,1539.5,3790.5,601.7,838.5,1813.5,3116.2,154.2,57.5
0.027546,1584.2,250.6,2819.5,2383.3,3901.5,648.7,833.2,1808.5,3121.9,153.7,58.6
0.029546,448.0,908.8,1601.2,193.4,2922.5,1377.8,824.5,1800.1,3131.2,153.1,59.5
0.031546,543.5,601.8,1602.6,174.9,2875.0,1102.4,812.5,1788.3,3143.6,152.5,60.4
0.033546,580.7,480.1,1600.5,175.2,2879.3,1012.5,797.5,1773.1,3158.5,151.9,61.1
0.035546,600.6,419.4,1598.3,182.1,2961.0,976.2,779.8,1754.6,3175.3,151.3,61.8
0.037546,609.0,376.3,1594.3,182.8,3044.4,899.9,759.8,1732.6,3193.2,150.7,62.2
0.039546,611.3,338.2,1588.1,176.1,3092.7,819.5,737.9,1707.2,3211.3,150.1,62.6
0.041546,608.1,308.5,1579.5,170.2,3110.4,778.4,714.5,1678.6,3228.7,149.5,62.8
0.043546,598.2,283.5,1562.8,175.4,3101.9,785.2,690.1,1646.8,3244.5,148.9,62.8
0.045546,584.2,265.4,1532.7,199.3,3070.8,812.2,665.1,1611.9,3257.8,148.3,62.8
0.047546,571.1,252.8,1489.3,235.5,3050.2,812.5,639.9,1574.1,3267.7,147.7,62.7
0.049546,561.3,235.0,1445.3,264.9,3100.2,806.4,615.1,1533.7,3273.5,147.1,62.6
0.051546,556.7,203.9,1427.1,263.3,3244.1,810.8,590.9,1491,3274.6,146.6,62.6
0.053546,554.4,169.6,1422.7,243.1,3408.2,726.6,567.9,1446.5,3270.4,146.1,62.6
0.055546,550.6,139.7,1413.8,227.7,3497.5,632.1,546.2,1400.5,3260.7,145.6,62.6
0.057546,543.4,117.8,1394.1,232.3,3511.0,666.3,526.2,1353.6,3245.2,145.1,62.7
0.059546,534.2,100.3,1362.6,256.8,3434.5,813.9,508.1,1306.4,3224,144.7,62.9
0.061546,526.6,87.4,1324.2,299.9,3258.3,836.3,491.9,1259.5,3197.2,144.3,63.1
0.063546,520.8,79.7,1285.3,370.8,3114.9,742.9,477.9,1213.7,3165.4,143.9,63.3
0.065546,515.2,77.4,1237.6,489.6,3008.8,633.0,466,1169.6,3128.9,143.6,63.4
0.067546,510.8,79.6,1168.0,647.7,2944.0,527.0,456.1,1128,3088.7,143.3,63.6
0.069546,508.2,84.3,1093.4,771.2,2923.5,451.7,448.3,1089.6,3045.5,143.1,63.6
0.071546,503.9,91.2,1033.8,806.3,2934.1,408.1,442.2,1055.2,3000.4,142.8,63.6
0.073546,494.4,99.5,1003.0,744.3,2956.1,398.3,437.7,1025.5,2954.4,142.6,63.5
0.075546,479.9,105.5,993.0,653.6,2970.4,420.7,434.6,1001.2,2908.6,142.5,63.4
0.077546,464.9,110.6,994.1,606.9,2955.2,466.6,432.7,982.9,2864.3,142.3,63.2
0.079546,450.6,119.1,993.7,612.4,2898.1,480.2,431.5,971,2822.6,142.2,63
0.081546,435.1,127.8,987.5,641.3,2824.1,431.2,431,966,2784.6,142.1,62.8
0.083546,423.2,132.8,980.8,708.2,2770.3,389.0,430.7,968.3,2751.3,142,62.7
0.085546,417.7,135.5,977.3,871.0,2730.9,412.3,430.5,978.1,2723.6,142,62.6
0.087546,417.0,134.9,980.4,1170.8,2701.6,526.7,430.1,995.3,2702.4,141.9,62.5
0.089546,416.9,129.2,993.6,1662.9,2681.0,737.1,429.2,1020,2688.2,141.9,62.4
0.091546,413.3,119.3,1024.4,2245.4,2665.5,942.4,427.7,1051.9,2681.5,141.9,62.3
0.093546,403.9,106.8,1101.3,2273.7,2670.6,935.5,425.4,1090.8,2682.5,141.9,62.2
0.095546,390.6,91.9,1169.5,1801.5,2698.8,774.6,422.3,1136.1,2691.3,141.8,62
0.097546,380.0,77.5,1226.3,1432.9,2734.8,653.3,418.3,1187.3,2707.7,141.8,61.8
0.099546,375.8,68.0,1297.7,1239.3,2781.6,625.4,413.5,1243.6,2731.4,141.8,61.5
0.101546,376.4,64.7,1374.1,1171.0,2844.5,674.8,407.8,1304.3,2761.9,141.8,61.1
0.103546,377.8,66.8,1438.7,1203.8,2925.6,768.4,401.3,1368.5,2798.4,141.8,60.7
0.105546,378.2,73.0,1489.2,1340.2,3007.0,844.6,394.2,1435.2,2840.1,141.8,60.3
0.107546,376.8,80.4,1530.3,1612.5,3023.9,875.1,386.6,1503.5,2886.1,141.8,59.9
0.109546,372.1,83.2,1575.9,2024.7,2949.9,888.8,378.7,1572.5,2935.2,141.8,59.6
0.111546,363.6,77.3,1628.6,2276.8,2846.5,848.5,370.7,1641,2986.4,141.8,59.3
0.113546,354.5,67.8,1687.7,2172.2,2789.0,796.3,362.9,1708.2,3038.5,141.8,59
0.115546,348.2,61.0,1739.6,2104.2,2775.9,811.9,355.3,1773.1,3090.4,141.8,58.8
0.117546,345.8,58.9,1792.0,2200.0,2809.2,935.8,348.2,1835,3140.9,141.8,58.7
0.119546,345.0,60.2,1797.1,1974.8,2981.2,1088.9,341.9,1893,3189.1,141.8,58.5
0.121546,343.6,63.0,1685.3,1449.8,3203.6,928.3,336.4,1946.6,3234,141.8,58.3
0.123546,342.0,67.1,1641.4,1147.6,3325.7,755.7,331.9,1995.1,3274.8,141.8,58.1
0.125546,342.3,74.2,1705.6,1116.3,3390.0,653.1,328.5,2038.2,3310.8,141.8,57.9
0.127546,345.2,84.3,1911.0,1207.1,3426.8,585.4,326.3,2075.6,3341.6,141.8,57.8
0.129546,350.1,97.3,2175.1,1026.5,3450.4,542.2,325.2,2107.2,3366.6,141.8,57.7
0.131546,355.5,111.6,2292.4,788.2,3463.4,547.7,325.3,2133,3385.9,141.8,57.6
0.133546,359.7,123.9,2348.7,658.5,3467.4,594.8,326.6,2153.1,3399.3,141.8,57.6
0.135546,359.8,128.0,2378.7,625.4,3462.8,651.4,328.9,2167.7,3407.1,141.8,57.5
0.137546,356.6,124.0,2387.6,665.4,3454.2,709.4,332.1,2177.2,3409.6,141.8,57.5
0.139546,353.3,118.8,2377.0,757.8,3445.0,779.8,336,2182.1,3407.1,141.8,57.5
0.141546,351.2,117.6,2352.7,873.4,3436.4,861.2,340.5,2182.8,3400.4,141.8,57.4
0.143546,349.8,119.5,2325.9,950.9,3435.7,927.6,345.4,2180,3390,141.8,57.4
0.145546,347.0,120.3,2302.9,972.4,3452.9,1006.3,350.4,2174.3,3376.7,141.8,57.3
0.147546,342.9,117.7,2280.7,976.4,3472.9,1144.4,355.5,2166.3,3361.2,141.8,57.3
0.149546,341.3,113.6,2235.2,1011.1,3430.8,1224.7,360.2,2156.6,3344.4,141.9,57.1
0.151546,345.2,111.5,2141.5,1034.6,3355.8,1003.5,364.6,2146,3327.1,141.9,56.9
0.153546,352.5,111.5,2046.1,996.2,3334.0,748.0,368.3,2134.9,3309.9,141.9,56.7
0.155546,360.0,111.7,1998.0,929.3,3339.2,602.1,371.3,2124,3293.5,141.9,56.4
0.157546,366.2,111.0,2008.5,862.6,3356.7,523.0,373.4,2113.7,3278.5,141.9,56.1
0.159546,370.2,112.1,2051.9,800.5,3376.8,464.7,374.6,2104.4,3265.5,142,55.8
0.161546,371.3,118.8,2088.1,775.3,3384.5,432.7,374.7,2096.4,3254.8,0,55.8
0.163546,368.9,131.6,2095.6,862.1,3372.2,477.3,373.9,2089.9,3246.6,0,55.9
0.165546,362.0,142.1,2058.2,1126.1,3256.9,4659.3,372,2085.1,3241,0,56.5
0.167546,353.5,135.2,1930.4,1548.4,3172.2,1021.2,369.3,2082,3238.2,0,57.2
0.169546,347.5,123.3,1758.0,1861.3,2889.9,974.6,365.7,2080.6,3237.9,0,57.9
0.171546,343.0,115.8,1709.3,2045.8,2774.9,917.5,361.4,2080.7,3240,0,58.3
0.173546,338.6,111.7,1861.9,2144.2,2708.6,1018.2,356.6,2082.3,3244.1,0,58.5
0.175546,333.5,110.4,2140.6,1734.9,2700.9,1357.4,351.5,2084.9,3249.8,0,58.4
0.177546,327.4,117.0,2122.0,1088.9,2935.9,1569.7,346.2,2088.5,3256.7,0,58.2
0.179546,319.6,139.7,2117.1,785.9,3175.8,1566.5,340.9,2092.6,3264.4,0,58.1
0.181546,317.4,156.4,2161.8,625.5,3453.3,1316.2,335.9,2097,3272.3,0,58.3
0.183546,329.4,153.1,2207.0,542.1,3549.9,1036.2,331.2,2101.3,3279.9,0,58.8
0.185546,345.4,144.7,2241.1,541.3,3565.7,917.0,327.2,2105.3,3286.9,0,59.2
0.187546,354.6,128.9,2264.4,612.5,3544.9,894.9,323.9,2108.7,3292.7,0,59.5
0.189546,354.7,107.5,2262.4,728.9,3514.7,924.2,321.4,2111.3,3297.2,0,59.4
0.191546,351.7,85.6,2206.5,854.6,3488.7,984.5,319.9,2112.9,3299.9,0,59
0.193546,350.8,70.0,2077.5,861.1,3432.6,1082.2,319.4,2113.4,3300.9,0,58.1
