time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025111,860.3,571.9,1806.9,243.2,3516.6,281.5,867.8,1796.6,3500.1,0,62.5
0.027111,861.7,529.5,1800.8,217.7,3512.7,250.1,870.4,1792.4,3504.4,0,63.3
0.029111,868.0,506.1,1784.0,189.3,3513.8,215.8,875.3,1786.2,3511.9,0,63.8
0.031111,883.5,478.8,1766.4,158.6,3517.7,183.3,883.1,1779.4,3522.9,0,64.2
0.033111,905.9,442.6,1757.8,130.8,3522.1,164.3,894.3,1773.3,3537.6,132.9,64.5
0.035111,926.8,409.8,1761.1,111.0,3528.3,167.1,908.6,1769.3,3555.3,133,64.7
0.037111,942.6,387.2,1772.4,96.6,3549.1,192.0,925.2,1768.5,3574.9,133.1,65
0.039111,950.2,391.8,1783.0,90.0,3598.2,207.9,942.6,1771.2,3594.4,133.2,65.3
0.041111,953.7,426.5,1789.5,89.8,3643.0,182.0,958.9,1777.6,3611.5,133.3,65.7
0.043111,960.7,450.7,1793.1,90.1,3657.6,181.5,972,1787,3623.5,133.4,65.9
0.045111,966.6,433.9,1796.7,91.4,3645.2,225.6,980.2,1798.7,3627.9,133.5,66.1
0.047111,966.2,407.0,1805.1,99.7,3611.5,269.0,982.3,1811.3,3623.1,133.7,66.3
0.049111,963.6,394.2,1818.8,112.1,3584.6,272.0,978.5,1823.9,3608.6,133.9,66.5
0.051111,960.9,406.6,1832.1,119.7,3572.0,266.8,969.7,1835.6,3584.9,134,66.6
0.053111,959.6,428.2,1843.8,122.2,3554.6,275.6,957.8,1845.8,3554,134.2,66.7
0.055111,961.1,431.7,1853.6,120.2,3522.3,288.4,944.9,1854.4,3518.8,134.4,66.7
0.057111,962.1,425.8,1860.8,117.5,3484.8,269.8,933,1861.7,3482.8,134.7,66.7
0.059111,956.2,448.9,1869.6,119.6,3446.8,217.5,923.2,1868.3,3449.2,134.9,66.7
0.061111,938.0,524.9,1880.9,127.0,3417.2,171.1,915.2,1875,3421.1,135.1,66.6
0.063111,903.7,639.5,1890.5,132.7,3398.7,144.3,907.3,1882.5,3400.3,135.4,66.5
0.065111,859.5,751.8,1895.5,134.2,3389.1,130.4,896.8,1891.4,3387.4,135.6,66.4
0.067111,825.0,824.8,1899.0,135.4,3386.5,125.0,880,1901.9,3381.9,135.9,66.2
0.069111,810.8,859.1,1905.8,138.8,3389.6,128.0,853.5,1914.1,3382.3,136.1,66
0.071111,809.8,886.1,1919.5,146.8,3398.6,144.0,814.7,1927.8,3386.4,136.4,65.8
0.073111,795.1,956.7,1937.9,163.3,3406.9,175.7,762.9,1942.2,3392.2,136.6,65.5
0.075111,748.6,1064.1,1957.9,197.4,3402.6,219.1,699.5,1956.8,3397.7,136.9,65.2
0.077111,677.5,1166.7,1977.8,259.5,3382.5,263.2,628.4,1970.6,3401.7,137.1,65
0.079111,592.4,1253.0,1991.8,339.6,3367.4,305.7,555.6,1983.1,3403.7,137.3,64.7
0.081111,422.1,1169.5,1998.4,435.9,3371.9,371.3,488.1,1993.5,3404,137.5,64.5
0.083111,403.9,967.9,2002.1,532.6,3394.7,483.9,433.4,2001.3,3403.3,137.7,64.4
0.085111,411.0,912.2,2003.8,611.1,3423.8,694.6,397.7,2006.1,3402.4,137.8,64.4
0.087111,378.8,753.2,1998.8,683.8,3441.8,1166.2,385.2,2007.7,3402,138,64.6
