time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025243,497.3,52.5,969.6,162.7,2706.2,692.1,493,965.1,2702.4,63.3,67.6
0.027243,500.4,47.0,961.1,150.1,2654.8,685.1,501.6,963.7,2657.6,63.7,67.4
0.029243,507.4,38.6,954.4,140.7,2581.7,630.1,511.8,959.4,2593,64,67.1
0.031243,515.8,31.7,950.5,144.0,2524.8,551.8,519.6,951.2,2520.9,64.2,66.5
0.033243,523.6,29.5,946.4,182.3,2472.9,499.8,521.8,940.2,2454.9,64.4,65.8
0.035243,523.4,41.0,930.8,286.4,2411.6,544.8,517.6,929.5,2406.2,64.6,65.1
0.037243,511.1,67.4,915.0,379.4,2361.2,659.4,509,923,2381.2,64.7,64.6
0.039243,496.1,82.5,924.5,374.1,2364.7,769.4,499.7,922.7,2380.8,64.8,64.3
0.041243,490.5,78.2,935.5,338.8,2407.1,858.8,493.7,928,2400.7,64.8,64.1
0.043243,493.5,64.4,936.2,304.9,2453.7,844.4,493.2,935.2,2433.9,64.9,63.8
0.045243,499.3,50.7,932.2,283.3,2486.4,728.2,498.1,939.8,2473.8,0,63.4
0.047243,505.8,41.7,929.7,303.1,2509.2,595.4,505.6,938.9,2515.8,0,62.7
0.049243,511.7,42.4,936.4,439.4,2536.5,540.0,511.5,932.8,2558.6,0,61.9
0.051243,514.3,55.4,942.5,722.4,2587.0,575.7,512.3,924.4,2602.5,0,60.9
0.053243,508.9,89.8,921.3,916.3,2665.5,554.4,506.3,917.9,2647.7,0,60.1
0.055243,490.9,129.4,901.5,812.6,2708.6,472.1,494.6,915.6,2692,0,59.5
0.057243,474.1,135.4,901.9,685.5,2737.0,446.1,481.1,917.4,2730.7,0,59.1
0.059243,469.7,124.0,914.5,647.4,2758.7,451.2,470.4,920.5,2757.5,0,58.7
0.061243,473.3,112.1,943.2,678.0,2749.6,462.1,466.3,922,2767.1,0,58.1
