time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025159,472.8,55.8,1409.0,126.5,2727.7,385.9,478.1,1386.9,2687.4,0,62.3
0.027159,472.7,52.9,1390.4,128.5,2697.6,355.3,479.4,1379.3,2686.1,0,62
0.029159,478.1,49.3,1372.1,133.5,2663.8,337.7,481.6,1367.1,2684.1,0,61.7
0.031159,484.8,48.9,1348.9,151.9,2639.4,335.3,484.5,1350.8,2681.7,0,61.3
0.033159,489.7,52.5,1313.5,181.4,2634.5,345.0,487.8,1331.2,2679.1,105.7,61
0.035159,493.9,54.5,1280.5,194.9,2649.7,350.7,491.3,1309.1,2676.3,106.1,60.7
0.037159,500.1,52.3,1265.1,189.0,2673.5,345.4,494.7,1285.3,2673.3,106.5,60.5
0.039159,506.3,50.1,1258.8,178.8,2692.1,337.9,497.7,1260.4,2669.6,107,60.2
0.041159,509.2,53.6,1244.2,166.3,2708.4,330.2,499.9,1235.1,2664.6,107.5,59.9
0.043159,506.0,63.8,1216.6,146.0,2722.0,325.3,501.1,1209.8,2657.6,108.1,59.5
0.045159,500.3,71.2,1189.3,124.1,2718.1,339.2,501,1184.8,2647.8,108.8,59.3
0.047159,498.3,70.8,1167.1,113.8,2673.4,397.6,499.5,1160.3,2634.8,109.5,59.1
0.049159,498.3,71.3,1146.2,121.4,2581.4,461.1,496.6,1136.5,2618.3,110.2,59.1
0.051159,492.6,83.7,1118.9,149.2,2501.9,474.7,492.3,1113.3,2598.8,111,59.1
0.053159,479.5,109.5,1089.2,184.6,2486.8,486.8,486.9,1090.9,2577.3,0,59.2
0.055159,466.4,137.9,1069.9,206.5,2518.5,497.0,480.8,1069.4,2555.5,0,59.4
0.057159,457.3,163.0,1057.0,216.4,2552.1,480.4,474.5,1049.4,2535.7,0,59.5
0.059159,452.1,184.8,1038.6,224.9,2548.3,458.8,468.4,1031.1,2520.4,0,59.6
0.061159,450.7,204.5,1010.7,234.4,2514.6,450.6,463.1,1015.2,2512.4,0,59.6
0.063159,457.5,218.4,987.9,246.2,2494.5,454.6,459,1002.4,2514,0,59.7
0.065159,474.0,233.2,981.0,269.4,2526.7,468.0,456.5,993.4,2526.7,0,59.9
0.067159,492.3,255.5,983.0,294.1,2601.1,464.8,455.8,988.8,2551.2,0,60
0.069159,498.0,290.5,983.0,302.1,2668.2,436.4,456.7,989.2,2586.6,0,60.1
0.071159,489.1,342.8,984.3,305.4,2711.6,407.7,458.9,994.8,2630.8,0,60.3
0.073159,474.0,404.3,999.8,321.3,2738.8,377.4,461.9,1005.8,2680,0,60.5
0.075159,451.9,454.6,1032.4,332.3,2762.6,323.4,465,1021.9,2729.5,0,60.6
0.077159,423.0,464.3,1064.4,315.3,2674.7,2042.1,467.3,1042.5,2773.8,0,60.8
0.079159,403.9,442.2,1088.6,299.1,2616.1,1782.0,468.1,1067,2807,0,60.9
0.081159,414.1,396.6,1105.3,317.2,2692.5,1854.0,466.6,1094.3,2823.7,0,61
0.083159,450.5,342.6,1119.6,379.0,2800.9,219.3,462.1,1123.4,2819.8,0,61.2
0.085159,483.9,308.1,1147.6,444.3,2807.3,238.5,454.3,1153,2792.4,126.1,61.6
0.087159,490.4,312.8,1183.4,454.6,2823.0,277.6,443.2,1182.1,2741.1,126.8,62.1
0.089159,470.2,342.0,1209.5,433.5,2842.5,317.6,429,1209.8,2667.4,127.4,62.7
0.091159,432.2,359.0,1223.2,400.4,2493.7,4094.9,412.3,1235.1,2575.6,128,63.2
0.093159,397.7,351.8,1236.2,368.0,2479.9,2565.5,394.2,1257.5,2471.5,128.5,63.6
0.095159,371.8,336.4,1256.9,353.1,2532.6,1474.9,375.8,1276.7,2362.8,129,63.9
0.097159,351.2,316.0,1283.4,352.5,2283.1,872.6,358.3,1292.3,2258,129.4,64.1
0.099159,334.3,279.2,1307.8,334.4,2136.4,578.7,343.1,1304.4,2165.5,129.8,64.2
0.101159,323.9,231.8,1320.5,293.3,2053.9,397.7,331.3,1312.9,2093.2,130.1,64.1
0.103159,318.0,187.7,1326.9,257.2,2001.2,301.2,323.8,1318,2047.1,130.4,64
0.105159,312.5,158.0,1339.8,248.7,1964.3,258.6,321.3,1319.6,2031.3,130.6,63.8
