,X,filename,vowel,word,start,stress,mahal_mean,mahal_median,edit
1,1,KLH032a_0080,ou,ʻoukou,115.2868381,secondary,64.46624283,71.28663696,NA
2,2,KLH032a_2795,a,ʻeha,1150.728778,unstressed,55.63818619,58.82416355,0
3,3,KLH032a_1731,o,noho,801.8554344,primary,55.57613743,57.49665991,0
4,4,KLH032a_2906,o,moho,1201.777937,unstressed,52.0709159,54.84363429,1
5,5,KLH032a_0594,o,noho,351.5409187,unstressed,46.39461568,53.91291881,1
6,6,KLH032a_3265,a,līkana,1422.577652,unstressed,45.32740377,50.48864001,0
7,7,KLH032a_0750,o,owāwa,422.2187621,unstressed,44.02573449,44.01122032,0
8,8,KLH032a_1794,ou,lākou,841.6002246,primary,43.93045576,43.98596722,0
9,9,KLH032a_1845,a,hana,856.1573971,primary,41.0728374,59.226098,1
10,10,KLH032a_0158,a,kahoma,170.7414251,unstressed,39.9307533,40.08715868,0
11,11,KLH032a_1538,o,hoʻokumu,730.9843415,unstressed,39.63445304,37.84025033,0
12,12,KLH032a_2164,ou,kākou,947.2006314,primary,38.87807243,41.67587947,1
13,13,KLH032b_0044,o,mahalo,19.983206,unstressed,37.90298113,36.52284837,0
14,14,KLH032a_2297,o,hoʻomana,1001.027722,secondary,35.09432547,35.75611631,1
15,15,KLH032e_0690,i,makuahine,262.3948,primary,33.4521236,31.96147934,20
16,16,KLH032a_2123,o,hoʻokahi,935.3274213,unstressed,33.02357587,29.95399148,0
17,17,KLH032a_1431,o,hoʻomana,691.5943951,unstressed,33.0138926,27.57861436,0
18,18,KLH032a_0327,o,homa,230.4911419,primary,32.317109,33.32419817,1
19,19,KLH032a_2298,o,hoʻomana,1001.080582,unstressed,30.93283622,36.74561007,0
20,20,KLH032a_0541,au,hānau,312.2910697,primary,30.05096663,15.74124969,0
21,21,KLH032e_0067,e,kāhea,46.6931359,primary,29.70414007,25.35451672,0
22,22,KLH032d_0357,au,hoahānau,150.3180937,primary,29.52615094,18.72189622,NA
23,23,KLH032a_2940,o,haʻiʻōlelo,1212.681052,unstressed,29.32014645,35.78263818,0
24,24,KLH032a_2194,o,lokomaikaʻi,964.7220355,unstressed,29.17569422,28.37942117,1
25,25,KLH032a_2277,au,wau,997.2698104,primary,28.84088925,4.386126579,1
26,26,KLH032a_0442,ā,kāne,286.1616895,secondary,27.89793521,32.2967493,0
27,27,KLH032a_2006,ou,lākou,898.4943088,primary,26.96696075,28.62706384,1
28,28,KLH032a_0003,i,ʻakahi,90.90230124,unstressed,26.44158152,19.93653683,20
29,29,KLH032b_0005,u,koʻu,3.896099441,unstressed,26.34124883,28.14156888,0
30,30,KLH032a_1581,o,hoʻokō,744.1201006,unstressed,25.85591622,19.36789549,0
31,31,KLH032a_0488,o,alo,297.3181,unstressed,25.71713225,14.82118533,0
32,32,KLH032e_0259,u,aku,101.2503038,unstressed,25.54344921,25.48196623,NA
33,33,KLH032a_0230,e,kāne,192.7926817,unstressed,25.17780848,23.42150608,0
34,34,KLH032a_2197,i,lokomaikaʻi,965.1737823,unstressed,25.16260261,25.85053798,20
35,35,KLH032a_0111,a,kamaʻāina,157.3471,unstressed,24.76188555,8.501336457,16
36,36,KLH032a_2173,u,pōhaku,951.8890688,unstressed,23.68653057,26.94660771,0
37,37,KLH032a_0331,o,ʻōlelo,232.466055,unstressed,23.34699158,25.60960749,NA
38,38,KLH032e_0757,i,ia,283.1638,primary,23.25854125,23.47437918,NA
39,39,KLH032e_0250,o,kono,98.88017293,unstressed,22.95503124,23.3534864,NA
40,40,KLH032a_2849,u,mua,1184.373295,primary,22.7813004,23.56754894,3
41,41,KLH032e_1040,ou,kākou,422.3411819,primary,22.67178642,25.62810012,0
42,42,KLH032a_2604,u,naʻu,1106.5501,unstressed,22.51870987,26.97662649,0
43,43,KLH032a_2526,a,makahiki,1081.993941,secondary,22.39175838,23.31952526,1
44,44,KLH032a_2262,ao,ʻīao,991.2915658,primary,22.21780289,23.26962827,1
45,45,KLH032a_0593,o,noho,351.4294427,primary,21.81537392,21.80833367,NA
46,46,KLH032a_2296,u,koʻu,1000.816493,unstressed,21.64617573,23.95182107,0
47,47,KLH032a_2027,a,kūpuna,903.0096775,unstressed,21.40843385,2.530364012,0
48,48,KLH032d_0322,u,kupapaʻu,138.9847536,secondary,21.29099277,20.80349682,1
49,49,KLH032a_3232,ū,kū,1288.365805,primary,21.23068666,19.54247427,1
50,50,KLH032a_1254,ā,nānā,624.5334407,primary,20.91086724,21.14230987,0
51,51,KLH032a_2491,au,naʻauao,1065.69512,secondary,20.83184635,12.25231162,0
52,52,KLH032a_1776,ou,mākou,836.4185314,primary,20.10999332,20.41146759,1
53,53,KLH032a_0071,au,nīnau,113.8916603,primary,20.06717265,17.95480008,NA
54,54,KLH032a_1489,ou,lākou,714.0710446,primary,19.99908863,1.182019501,0
55,55,KLH032e_0105,i,kakahiaka,58.67240635,unstressed,19.95321306,11.05799775,20
56,56,KLH032a_2446,e,wahine,1056.503279,unstressed,19.94869885,10.08744164,NA
57,57,KLH032e_0331,i,kaleponi,131.8228,unstressed,19.50749496,19.8388151,20
58,58,KLH032d_0355,a,hoahānau,149.9749941,unstressed,19.24556742,19.00021185,0
59,59,KLH032a_0449,i,ia,287.7131,primary,18.9744517,14.08221747,NA
60,60,KLH032b_0064,ū,kaʻū,25.4015,primary,18.95708172,17.51750435,1
61,61,KLH032e_0567,a,lokomaikaʻi,216.0299646,primary,18.95290046,18.96372368,NA
62,62,KLH032e_0166,a,ia,75.75715747,unstressed,18.84788178,18.84342684,NA
63,63,KLH032a_0767,u,kahua,426.3602745,primary,18.78114416,17.63930559,1
64,64,KLH032a_1157,ou,hou,600.8201,primary,18.5096875,25.69998262,0
65,65,KLH032a_1933,au,hoʻounauna,878.3673253,primary,18.45536321,3.492660083,0
66,66,KLH032e_0740,o,noho,279.2901615,primary,18.4502425,17.83572316,NA
67,67,KLH032a_3058,ō,pāmalō,1245.745795,primary,18.35875635,10.2028005,1
68,68,KLH032a_1549,u,kūpuna,733.6091,primary,18.19182316,5.451999373,0
69,69,KLH032e_0783,o,molemona,289.7906767,primary,18.11339784,18.55647622,NA
70,70,KLH032a_1583,au,kauoha,744.5904021,secondary,17.91887364,4.358445436,0
71,71,KLH032e_0434,a,ia,169.7943636,unstressed,17.89722532,18.68400587,NA
72,72,KLH032a_0529,āu,lāua,307.9408236,primary,17.84287203,5.280752886,0
73,73,KLH032e_0582,a,lokomaikaʻi,220.3009614,primary,17.82836906,17.28148409,NA
74,74,KLH032a_1829,ū,kūʻula,852.2420318,secondary,17.82726627,20.7568766,1
75,75,KLH032a_2136,a,ia,938.8366237,unstressed,17.64572152,15.24308788,NA
76,76,KLH032e_0008,au,pau,16.74612219,primary,17.63411022,7.756289856,1
77,77,KLH032b_0001,ae,ʻae,2.916703497,primary,17.52918035,20.14389377,NA
78,78,KLH032a_1457,u,akua,699.8585492,primary,17.25950045,19.90580495,1
79,79,KLH032d_0242,i,hawaiʻi,105.1770628,unstressed,17.23418813,6.194989702,NA
80,80,KLH032a_1334,a,hoʻomaikaʻi,647.0389625,primary,17.17642818,17.20774748,NA
81,81,KLH032a_3301,a,makaʻāinana,1444.733853,unstressed,17.02879663,8.700189618,0
82,82,KLH032a_1483,a,ʻaumakua,712.9085454,unstressed,17.00960049,17.28205649,1
83,83,KLH032e_0671,o,ʻōlelo,258.4304688,unstressed,16.94178071,16.92635937,NA
84,84,KLH032e_0384,i,iaʻu,155.5908,unstressed,16.88077414,16.67722317,NA
