"time","f1","b1","f2","b2","f3","b3","maxformant"
0.025,644,592,1957,382,3908,347,6200
0.027,639,535,1950,365,3888,317,6200
0.029,636,499,1943,354,3878,290,6200
0.031,632,477,1932,348,3873,273,6200
0.033,625,461,1916,345,3868,266,6200
0.035,617,450,1895,344,3859,269,6200
0.037,608,442,1872,343,3843,282,6200
0.039,600,438,1851,339,3818,302,6200
0.041,593,439,1838,335,3788,319,6200
0.043,587,447,1833,331,3755,331,6200
0.045,583,463,1838,331,3727,337,6200
0.047,580,487,1854,332,3707,341,6200
0.049,578,520,1877,333,3696,350,6200
0.051,577,563,1902,330,3691,365,6200
0.053,575,627,1927,325,3692,387,6200
0.055,573,723,1947,320,3698,415,6200
0.057,569,882,1960,318,3713,441,6200
