"time","f1","b1","f2","b2","f3","b3","maxformant"
0.025,571,862,1313,306,3519,224,6156
0.027,616,847,1319,293,3527,201,6156
0.029,650,822,1324,283,3533,189,6156
0.031,680,794,1329,277,3540,182,6156
0.033,706,768,1334,276,3545,180,6156
0.035,732,741,1341,281,3552,179,6156
0.037,758,712,1349,291,3558,179,6156
0.039,783,681,1360,308,3564,180,6156
0.041,805,637,1376,327,3570,179,6156
0.043,823,588,1397,346,3574,177,6156
0.045,834,539,1421,355,3577,175,6156
0.047,837,494,1447,352,3579,172,6156
0.049,836,460,1469,338,3581,171,6156
0.051,832,439,1489,316,3582,173,6156
0.053,826,432,1505,292,3585,179,6156
0.055,820,440,1517,272,3587,189,6156
0.057,812,465,1529,255,3591,203,6156
0.059,804,501,1540,240,3595,219,6156
0.061,797,555,1549,232,3600,235,6156
0.063,788,632,1558,227,3607,251,6156
0.065,779,724,1564,226,3616,263,6156
0.067,768,840,1569,227,3626,271,6156
0.069,751,975,1572,229,3637,275,6156
0.071,729,1116,1574,232,3646,274,6156
0.073,697,1266,1575,234,3653,271,6156
0.075,659,1395,1575,236,3656,265,6156
0.077,621,1469,1576,235,3654,259,6156
0.079,593,1471,1577,231,3646,253,6156
0.081,578,1408,1578,224,3634,247,6156
0.083,568,1312,1579,213,3620,238,6156
0.085,549,1222,1580,199,3605,229,6156
0.087,521,1149,1579,184,3593,220,6156
0.089,472,1102,1578,171,3585,213,6156
0.091,403,1069,1577,159,3582,209,6156
0.093,298,1043,1575,151,3586,210,6156
0.095,122,669,1574,145,3594,214,6156
0.097,183,487,1574,140,3608,219,6156
0.099,201,397,1574,137,3625,222,6156
0.101,209,337,1575,133,3643,223,6156
0.103,213,293,1576,130,3659,222,6156
0.105,215,256,1577,126,3673,221,6156
0.107,216,224,1577,124,3683,220,6156
0.109,216,196,1578,124,3690,222,6156
0.111,216,169,1578,127,3695,228,6156
0.113,215,145,1579,131,3697,235,6156
0.115,214,122,1581,135,2324,5689,6156
0.117,213,103,1586,138,2487,4068,6156
0.119,212,87,1594,136,2533,3276,6156
0.121,211,73,1603,128,2551,2734,6156
0.123,211,62,1613,114,2555,2367,6156
0.125,210,55,1621,97,2554,2112,6156
0.127,209,49,1627,81,2551,1933,6156
0.129,208,47,1630,69,2556,1844,6156
0.131,208,47,1632,59,2576,1825,6156
0.133,207,51,1633,53,2619,1880,6156
