"time","f1","b1","f2","b2","f3","b3","maxformant"
0.025,292,223,762,229,3191,377,6067
0.027,304,220,752,221,3181,354,6067
0.029,315,217,742,213,3170,334,6067
0.031,324,213,733,205,3163,318,6067
0.033,333,209,725,196,3158,306,6067
0.035,341,204,718,187,3155,297,6067
0.037,349,199,711,179,3153,293,6067
0.039,355,194,706,173,3151,293,6067
0.041,362,189,702,169,3147,298,6067
0.043,368,185,699,165,3142,302,6067
0.045,375,181,698,165,3135,306,6067
0.047,381,176,698,163,3128,306,6067
0.049,387,172,700,163,3121,303,6067
0.051,394,168,704,163,3114,300,6067
0.053,403,166,707,165,3109,297,6067
0.055,411,161,711,163,3105,289,6067
0.057,420,159,713,165,3102,285,6067
0.059,431,156,713,169,3100,281,6067
0.061,442,153,712,175,3099,277,6067
0.063,453,149,710,184,3099,273,6067
0.065,463,143,706,195,3101,269,6067
0.067,475,139,702,216,3103,272,6067
0.069,480,130,698,221,3106,259,6067
0.071,486,124,693,234,3109,255,6067
0.073,490,118,688,244,3111,251,6067
0.075,493,113,682,254,3112,249,6067
0.077,495,110,677,265,3111,249,6067
0.079,496,108,671,271,3108,248,6067
0.081,497,109,665,282,3104,249,6067
0.083,498,113,657,289,3098,248,6067
0.085,499,120,646,301,3092,247,6067
0.087,502,132,631,316,3086,246,6067
