"time","f1","b1","f2","b2","f3","b3","maxformant"
0.025,679,348,1820,166,3642,613,6200
0.027,689,331,1818,164,3598,591,6200
0.029,697,313,1816,165,3565,564,6200
0.031,703,295,1813,168,3544,534,6200
0.033,708,278,1810,174,3530,503,6200
0.035,713,263,1806,182,3524,472,6200
0.037,719,251,1802,192,3525,442,6200
0.039,725,242,1796,203,3531,413,6200
0.041,731,237,1791,212,3539,385,6200
0.043,739,234,1785,218,3548,358,6200
0.045,747,233,1779,222,3555,334,6200
0.047,756,235,1774,222,3559,316,6200
0.049,766,240,1769,220,3558,304,6200
0.051,776,248,1766,217,3555,298,6200
0.053,786,259,1762,214,3550,296,6200
0.055,795,274,1758,213,3544,297,6200
0.057,804,293,1754,213,3540,298,6200
0.059,813,317,1750,213,3540,295,6200
0.061,821,346,1747,214,3542,286,6200
0.063,829,382,1745,215,3548,270,6200
0.065,839,423,1747,216,3558,249,6200
0.067,852,468,1750,217,3569,227,6200
0.069,866,511,1756,219,3582,208,6200
0.071,881,551,1765,221,3594,194,6200
0.073,896,590,1776,224,3606,185,6200
0.075,910,626,1789,228,3616,183,6200
0.077,922,658,1803,230,3625,185,6200
0.079,930,688,1819,230,3632,192,6200
0.081,935,715,1834,228,3638,202,6200
0.083,935,745,1849,224,3641,214,6200
0.085,930,781,1864,217,3641,227,6200
0.087,916,828,1879,209,3636,241,6200
0.089,891,887,1892,199,3628,257,6200
0.091,855,951,1904,189,3617,274,6200
0.093,800,1019,1915,178,3604,291,6200
0.095,725,1065,1924,168,3593,305,6200
0.097,637,1056,1932,159,3586,315,6200
0.099,567,982,1940,153,3586,321,6200
0.101,529,904,1947,149,3592,322,6200
0.103,506,842,1955,147,3603,316,6200
0.105,492,799,1964,148,3616,302,6200
0.107,482,770,1973,151,3628,280,6200
0.109,474,749,1984,154,3635,254,6200
0.111,468,731,1995,157,3638,228,6200
0.113,462,711,2006,160,3636,202,6200
0.115,456,689,2016,161,3632,180,6200
0.117,450,662,2023,161,3627,161,6200
0.119,443,629,2028,158,3621,147,6200
0.121,433,583,2029,155,3617,138,6200
