"time","f1","b1","f2","b2","f3","b3","maxformant"
0.025,247,168,824,227,3238,2545,5800
0.027,248,169,830,219,3384,2250,5800
0.029,247,169,833,212,3346,1869,5800
0.031,244,169,832,207,3249,1724,5800
0.033,240,167,829,204,3179,1697,5800
0.035,236,165,823,202,3140,1708,5800
0.037,231,163,817,202,3131,1752,5800
0.039,228,166,813,207,3127,1861,5800
0.041,227,167,813,206,3378,1851,5800
0.043,229,173,818,209,3371,764,5800
0.045,233,183,830,218,3298,734,5800
0.047,240,193,847,216,3230,620,5800
0.049,248,204,867,216,3195,586,5800
0.051,255,205,880,224,3169,679,5800
0.053,268,224,907,209,3157,564,5800
0.055,279,235,923,207,3148,559,5800
0.057,284,237,933,217,3137,595,5800
0.059,302,260,953,212,3142,551,5800
0.061,319,275,969,219,3141,555,5800
0.063,330,285,983,236,3137,593,5800
0.065,357,289,1002,236,3136,607,5800
0.067,373,286,1019,244,3129,658,5800
0.069,386,282,1037,254,3118,723,5800
0.071,398,272,1055,260,3095,793,5800
0.073,405,266,1072,267,3068,845,5800
0.075,409,260,1089,275,3042,869,5800
0.077,412,255,1105,284,3021,867,5800
0.079,413,252,1121,294,3011,847,5800
0.081,412,249,1138,307,3007,822,5800
0.083,410,247,1154,324,3008,804,5800
0.085,407,245,1170,341,3006,797,5800
0.087,403,245,1188,364,3001,808,5800
0.089,398,246,1206,395,2990,841,5800
0.091,390,249,1227,444,2961,911,5800
0.093,380,253,1248,510,2914,1004,5800
0.095,368,253,1269,602,2841,1116,5800
0.097,357,248,1293,727,2735,1226,5800
0.099,348,240,1320,893,2601,1306,5800
