"","file","label","group","color","number","duration","cutoff","f11","f21","f31","f12","f22","f32","f13","f23","f33","f14","f24","f34","f15","f25","f35"
"1","KLH032a_0001.wav","a",1,"Red",1,0.05,6111,997,2022.5,3235,1009,1951,3212,1103,1895,3232,1245,1895,3245,1506,1932,3420
"2","KLH032a_0002.wav","a",1,"Red",2,0.068,6200,726,2084,3017,819,2118,3013,844,2169,3051,821,2284,3089,804,2321,3066
"3","KLH032a_0003.wav","i",3,"Black",3,0.09,6200,512.5,2701,3020.5,443,2707,3019,452,2655,2972,362,2712,3074,315,2712,3188
"4","KLH032a_0004.wav","ō",9,"Lime",4,0.128,6200,462,2059,2756,609,1720,2914,556,1109,2739,583,923,2718,589,906,2696
"5","KLH032a_0005.wav","au",14,"Maroon",5,0.214,6067,446.5,944.5,3036,469,1056,2930,462.5,949,2988,248,527,2863,264.5,565.5,2696.5
"6","KLH032a_0006.wav","i",3,"Black",6,0.04,6156,298,2590,3206,320,2591,3115.5,332.5,2568,3011,335,2510,2863,332.5,2472,2712.5
"7","KLH032a_0007.wav","a",1,"Red",7,0.072,6200,532.5,1160,2745,564,1132,2752,581,1254,2825,607,946,2846,385.5,954,2779
"8","KLH032a_0008.wav","ai",11,"Teal",8,0.166,6200,570,1718,2655,541,2230,2755,398.5,2643.5,3026,343,2795,3259,325,2718,3166
"9","KLH032a_0009.wav","i",3,"Black",9,0.06,6156,330,2502,3401,341.5,2556,3298.5,334.5,2573,3167,280.5,2547.5,3110,294,2537.5,3052
"10","KLH032a_0010.wav","o",4,"Green",10,0.056,5800,453,1678,2412.5,436,1196.5,2460.5,317,845,2446,304.5,840.5,2524.5,268,771,2478
"11","KLH032a_0011.wav","o",4,"Green",11,0.042,6022,320,679,2666,326.5,698,2674,326.5,694.5,2654.5,321.5,672.5,2622.5,314,643,2642
"12","KLH032a_0012.wav","o",4,"Green",12,0.038,5800,308.5,624,2652.5,299,615,2739.5,288.5,618,2798,276.5,610,2740.5,360,1530,3215.5
"13","KLH032a_0013.wav","ēi",24,"Yellow",13,0.254,6067,458,2457,2844,429,2577,2950,312.5,2676,3154.5,332,2674,3221,347.5,2430,2936.5
"14","KLH032a_0014.wav","a",1,"Red",14,0.38,6200,435,1988,2786,560,1542.5,2660,384.5,1688.5,2653,498.5,1567.5,2696.5,523,1615,2751.5
"15","KLH032a_0015.wav","e",2,"Blue",15,0.056,6200,408,2513.5,2893,438,2487.5,2870.5,481,2515,2859,496.5,2579,2841.5,486,2588.5,2864.5
"16","KLH032a_0016.wav","e",2,"Blue",16,0.082,6200,457,2627,2945,461,2576.5,2909.5,464.5,2500.5,2914.5,432,2515,2997,378,2435,3046
"17","KLH032a_0017.wav","a",1,"Red",17,0.052,6156,299,1887.5,2840.5,296,1877,2819,289,1876,2754,271,1904,2634,249,1924,2661
"18","KLH032a_0018.wav","u",5,"Olive",18,0.058,5844,297.5,2192,3563,279.5,563.5,2651.5,291.5,555.5,2794,316,569,2930,358.5,891,3042.5
"19","KLH032a_0019.wav","a",1,"Red",19,0.084,6200,428,1011,3049,500.5,1047.5,2875,512,1049,2821,428.5,981.5,2764.5,357,1006,2724
"20","KLH032a_0020.wav","a",1,"Red",20,0.074,5800,260,1026,2382.5,305,1093,2446,305.5,1142,2487.5,305,1233,2875,1018,1543.5,3131
"21","KLH032a_0021.wav","a",1,"Red",21,0.08,6156,259,1419,2355,292.5,1384.5,2432.5,293,1540,2583.5,281,1724.5,2619,238,1936.5,2367
"22","KLH032a_0022.wav","ō",9,"Lime",22,0.076,6200,482.5,1864.5,2652,532.5,1590.5,2655.5,528,1218,2674,540,1100.5,2737,515.5,990,2833
"23","KLH032a_0023.wav","au",14,"Maroon",23,0.116,6200,460.5,981.5,3160.5,459,1095,3173,437,1217,2970,404,1241.5,2791,296,1298.5,2824
"24","KLH032a_0024.wav","a",1,"Red",24,0.034,6200,423,1675,2518.5,442,1537,2469,447.5,1451.5,2474,441,1364,2524,420.5,1286,2682
"25","KLH032a_0025.wav","a",1,"Red",25,0.046,6200,567,1266,2500,632,1375,2506,667.5,1530,2529,640,1610,2531,539,1633,2508
"26","KLH032a_0026.wav","a",1,"Red",26,0.078,5844,696,1766,2649,815,1830,2656,850,1793.5,2665,880,1768.5,2679.5,924,1759,2721
"27","KLH032a_0027.wav","au",14,"Maroon",27,0.21,6200,660.5,1683,2686.5,518,1576,2798,390,1066,2954,370,958,2938,369,1127,2877
"28","KLH032a_0028.wav","i",3,"Black",28,0.08,6200,326,2572,2891,330,2592,2941.5,326.5,2560,2944,341,2493.5,2773,340,2403,2808
"29","KLH032a_0029.wav","o",4,"Green",29,0.044,6200,483,1755,2138,558,1737,2231.5,595,2271,2458,611.5,1974.5,2567,624,841,2614
"30","KLH032a_0030.wav","o",4,"Green",30,0.06,6156,391,743,2956,500.5,963,2963.5,496.5,990,2846,323,954.5,2704,285.5,1181,2655
"31","KLH032a_0031.wav","a",1,"Red",31,0.042,6200,658,1577,2803,641,1550.5,2764,665,1591,2754.5,707.5,1620.5,2752,676,1613,2721
"32","KLH032a_0032.wav","ē",7,"Magenta",32,0.07,6200,481.5,2055.5,2503,520,2129,2536,580,2340,2520,605,2269,2912,578,2177,2797
"33","KLH032a_0033.wav","ā",6,"Yellow",33,0.074,6111,313,768,2399.5,325,1199,2464,271,1115,2420,269,1125,2431,250.5,1133,2479.5
"34","KLH032a_0034.wav","o",4,"Green",34,0.058,5800,278.5,815.5,2851.5,490.5,1136.5,2810,484.5,1236,2800,455.5,1504,2814.5,439,1761,2892.5
"35","KLH032a_0035.wav","i",3,"Black",35,0.04,5933,376,2399,2730,366,2404,2746.5,342.5,2408.5,2799.5,320,2368.5,2920,312,2355.5,2957
"36","KLH032a_0036.wav","e",2,"Blue",36,0.07,6200,312.5,2208,2699,324,2309,2685,335,2390,3017,334,2404,2914,309,2384,2918
"37","KLH032a_0037.wav","a",1,"Red",37,0.098,6156,88.5,1382.5,2606.5,237.5,1710.5,2835.5,975,1763.5,2898,485,1552.5,2899,523,1671.5,2911.5
"38","KLH032a_0038.wav","o",4,"Green",38,0.092,6200,1051.5,1757,2736,997,1859,2703,1012,1987,2775,980,1969,2850,735.5,1983,2893
"39","KLH032a_0039.wav","e",2,"Blue",39,0.07,6156,437.5,2381,3053.5,444,2422,2936,442,2392,2837,432,2092,2663,424,1779,2730
"40","KLH032a_0040.wav","au",14,"Maroon",40,0.182,6200,479,1107,2894,456,1330.5,3084.5,473.5,1195.5,3217.5,404.5,936.5,2966,381,1055,3109
"41","KLH032a_0041.wav","e",2,"Blue",41,0.048,6200,294,2422,2707,318,2302,2632,343,2200,2572,345,2059,2563,328,1957,2541
"42","KLH032a_0042.wav","a",1,"Red",42,0.038,5800,322,1089,2511,364.5,1172.5,2424.5,465.5,1287,2386.5,498,1385,2419.5,416,1403,2421.5
"43","KLH032a_0043.wav","i",3,"Black",43,0.056,6200,389.5,2165,2839,370,2388.5,2825,354,2498,2831,337.5,2541.5,2923,306,2625,2928
"44","KLH032a_0044.wav","i",3,"Black",44,0.046,6111,228,2613,3045,239,2606,2923,245.5,2629,2873,247,2663,2764,245,2649,2677
"45","KLH032a_0045.wav","i",3,"Black",45,0.078,6200,279.5,2410.5,3001.5,271.5,2488.5,2778,265,2497.5,2791,261,2622,2807.5,261,2166.5,2749.5
"46","KLH032a_0046.wav","o",4,"Green",46,0.04,6156,289,1168,2243,292,1471,2410,285,1091,2495,273.5,1009,2512,268,1044,2574.5
"47","KLH032a_0047.wav","a",1,"Red",47,0.058,5889,405.5,769,3053,439,777.5,2902,396,650.5,2823.5,325.5,638,2842.5,277.5,631.5,2490
"48","KLH032a_0048.wav","a",1,"Red",48,0.04,5889,425,945,3387,403.5,909.5,3049,406,866,2842,372.5,810,2578.5,400.5,627.5,2304
"49","KLH032a_0049.wav","a",1,"Red",49,0.04,6156,389,1758,3029,584.5,1808.5,3073.5,668.5,1812,3165.5,650,1851,3170,632,1965.5,3135
"50","KLH032a_0050.wav","au",14,"Maroon",50,0.2,5800,721,1715,2973,191.5,1389.5,2901,262.5,957.5,3045,282,531.5,2609.5,310,566,2634
"51","KLH032a_0051.wav","a",1,"Red",51,0.076,6200,1226.5,2220.5,3188,1420,1812.5,2987,1541,2129,2972,1577,2237,2948,1351,1982.5,2883
"52","KLH032a_0052.wav","a",1,"Red",52,0.122,5844,221,1260,2005,205.5,1831.5,2644,140,1792,2639,106,1826,2656.5,122,1820,2811
"53","KLH032a_0053.wav","i",3,"Black",53,0.208,5978,280,2663,3306,237,2732,3380,290,2639,3455,272,2728,3293,284,2620,3114
