time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.026005,396.1,55.5,1835.5,290.0,3045.8,740.4,394.1,1800.6,3015,148.1,70.5
0.028005,393.2,54.4,1878.4,328.2,2987.0,652.1,392.8,1842.9,2993.7,147.8,70.5
0.030005,389.2,52.3,1918.0,365.6,2949.0,581.1,390.7,1908.4,2960,147.5,70.4
0.032005,385.9,49.3,1952.4,415.2,2912.2,526.7,387.9,1990.9,2916.5,147.1,70.2
0.034005,383.5,46.1,1997.8,501.5,2862.8,487.5,384.7,2082.5,2866.1,146.7,70
0.036005,381.4,43.5,2096.2,630.9,2797.6,480.2,381.2,2176,2812.4,146.2,69.8
0.038005,379.1,41.6,2282.0,696.0,2724.0,533.6,377.4,2264.7,2758.4,145.7,69.5
0.040005,375.5,40.7,2445.9,495.4,2687.5,689.1,373.3,2343.8,2707.3,145.1,69.3
0.042005,369.8,41.6,2467.6,347.9,2711.8,710.9,369,2410.5,2661.7,144.6,69
0.044005,362.9,43.5,2476.8,316.9,2683.7,672.2,364.2,2463.8,2623.5,144,68.7
0.046005,357.0,45.4,2493.6,331.2,2619.6,656.1,359.1,2504,2594.5,143.4,68.5
0.048005,352.4,46.7,2520.7,331.9,2541.4,699.9,353.4,2532.3,2575.7,142.8,68.3
0.050005,347.4,47.9,2506.8,779.1,2529.7,314.8,347.1,2550.3,2567.6,142.1,68.2
0.052005,341.5,50.0,2527.6,779.1,2535.0,331.8,340.4,2559.5,2570.1,141.5,68.2
0.054005,334.3,51.9,2549.7,410.2,2566.3,623.9,333.3,2560.9,2582.4,140.9,68.2
0.056005,326.2,51.4,2524.1,482.1,2635.7,483.6,325.9,2555.8,2603.1,140.3,68.4
0.058005,318.5,49.5,2553.7,446.8,2659.6,525.0,318.6,2544.8,2630.1,139.6,68.6
0.060005,311.2,47.7,2617.0,591.3,2640.8,431.8,311.6,2529.2,2660.9,139,68.8
0.062005,304.6,45.5,2552.8,788.4,2706.6,306.5,305.1,2510.1,2692.5,138.4,69.1
0.064005,299.2,42.1,2489.2,933.7,2738.7,233.7,299.3,2489.2,2722.3,137.9,69.3
0.066005,294.4,38.7,2446.3,997.5,2753.7,215.9,294.3,2468,2748.1,137.3,69.4
0.068005,289.7,36.9,2416.1,973.0,2764.7,247.7,290.1,2448.1,2768.3,136.7,69.4
0.070005,286.2,36.5,2385.1,880.5,2775.9,315.0,286.7,2430.8,2782.5,136.2,69.4
0.072005,284.7,36.7,2385.9,790.4,2772.8,392.1,284.2,2416.9,2791.1,135.7,69.2
0.074005,283.9,37.5,2426.4,721.0,2757.5,463.6,282.3,2406.5,2795.2,135.1,69
0.076005,282.1,40.3,2450.2,650.6,2767.8,516.6,281.1,2399.5,2796.6,134.6,68.6
0.078005,279.8,48.9,2422.2,637.5,2808.4,523.2,280.4,2395.5,2796.6,134.1,68.3
0.080005,278.7,67.6,2361.6,680.7,2853.0,520.7,280.2,2394.2,2796.5,133.7,67.9
