time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025680,352.0,111.2,1905.2,879.6,2554.8,777.9,376.3,2022.8,2643.6,133.3,60.8
0.027680,383.4,137.9,2129.7,698.1,2663.0,1045.6,392.6,2028.4,2658.7,133.4,60.9
0.029680,428.4,161.3,2079.8,444.3,2766.3,674.2,417.8,2036.6,2680.5,133.4,61.2
0.031680,474.0,156.2,2050.4,295.4,2752.8,487.7,449.1,2046.2,2704.7,133.4,61.5
0.033680,505.2,138.7,2044.9,220.1,2732.8,427.5,483.2,2055.2,2726.3,133.3,61.9
0.035680,525.8,127.9,2048.8,187.9,2719.2,386.2,516.7,2062,2740.9,133.2,62.1
0.037680,540.1,128.7,2054.6,186.8,2714.9,336.3,546.8,2064.9,2745,133.1,62.3
0.039680,551.3,140.2,2058.4,211.2,2713.9,301.4,571.5,2062.8,2737.3,132.9,62.5
0.041680,565.6,156.7,2054.8,247.4,2707.4,298.9,589.9,2055.3,2718,132.7,62.6
0.043680,588.7,169.2,2041.6,266.7,2692.3,333.2,602.4,2042.8,2689.5,132.5,62.7
0.045680,614.5,171.0,2026.6,253.3,2667.0,399.5,610.3,2026.2,2655.5,132.2,62.8
0.047680,631.7,167.2,2012.0,223.9,2633.7,444.1,615.6,2007,2620.5,131.9,62.9
0.049680,638.7,166.5,1992.7,192.8,2604.2,416.9,619.9,1986.7,2588.7,131.7,63
0.051680,638.7,175.5,1970.5,167.4,2577.9,371.3,624.4,1966.2,2563.7,131.4,63.2
0.053680,634.4,194.4,1948.3,154.9,2548.3,355.8,629.1,1945.8,2547.6,131.1,63.3
0.055680,628.7,219.2,1926.5,155.9,2524.8,364.5,632.9,1924.8,2541.4,130.8,63.5
0.057680,621.4,251.6,1902.3,167.1,2525.5,370.8,633.6,1902,2544.2,130.5,63.7
0.059680,609.8,290.9,1869.8,187.6,2543.8,358.8,628.9,1875.9,2554.3,130.2,63.9
0.061680,595.7,325.1,1829.6,214.7,2564.0,341.3,616.8,1845.3,2569.2,129.8,64.1
0.063680,584.7,344.9,1792.2,248.4,2585.3,342.8,596.5,1810.1,2586.3,129.5,64.2
0.065680,577.2,352.2,1765.8,296.2,2611.4,365.8,568.9,1771.3,2603.4,129.2,64.3
0.067680,566.7,352.8,1749.4,375.5,2640.9,389.0,536.8,1731.3,2618.5,128.8,64.3
0.069680,548.2,356.6,1736.0,518.0,2658.9,396.1,504.3,1694,2630.7,128.5,64.4
0.071680,518.1,376.6,1710.4,735.9,2653.0,399.5,476.4,1663.3,2639.5,128.1,64.4
0.073680,459.2,403.7,1648.3,938.8,2632.5,406.9,457.4,1643.1,2644.8,127.7,64.5
0.075680,366.7,336.9,1557.6,993.4,2610.8,427.5,450.7,1636,2646.5,127.2,64.5
