time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025902,408.1,114.8,1046.6,267.9,2618.2,723.5,429.5,1010.5,2657.4,146.6,59.6
0.027902,424.3,109.9,1030.9,281.6,2611.0,857.0,430.3,1016.3,2661.2,146.5,60
0.029902,436.0,107.1,1017.8,289.0,2639.5,936.3,431.8,1025.5,2667.5,146.4,60.5
0.031902,442.8,107.7,1017.7,279.8,2717.1,800.6,433.8,1037.4,2676.1,146.2,61
0.033902,445.2,110.3,1029.4,263.0,2740.8,591.7,436.2,1051.4,2686.5,146.1,61.5
0.035902,446.6,113.9,1050.5,247.8,2737.3,432.6,439.1,1066.5,2698.5,146,62
0.037902,448.9,118.9,1077.6,234.3,2731.0,322.7,442.4,1081.7,2711.8,145.9,62.5
0.039902,450.7,124.7,1103.8,215.4,2731.2,252.8,446,1096.4,2725.7,145.7,62.8
0.041902,450.1,126.6,1116.6,197.9,2742.0,224.6,449.9,1109.9,2740,145.6,63.1
0.043902,450.0,125.2,1121.7,186.1,2758.6,209.9,454.1,1121.6,2754.2,145.4,63.4
0.045902,453.6,126.2,1127.9,179.4,2771.3,201.0,458.4,1131.4,2768,145.3,63.6
0.047902,459.6,131.6,1136.4,175.7,2778.0,195.0,462.9,1139.3,2780.8,145.1,63.7
0.049902,466.5,138.1,1145.7,171.2,2779.1,184.2,467.4,1145.6,2792.6,145,63.8
0.051902,472.5,141.6,1153.2,168.6,2777.1,180.5,472,1150.7,2803.2,144.8,63.9
0.053902,477.5,143.1,1159.7,171.1,2777.3,198.1,476.6,1155.1,2812.3,144.6,63.9
0.055902,480.5,142.1,1164.2,176.6,2784.4,239.4,481.1,1159.7,2820.1,144.5,63.9
0.057902,482.2,139.2,1166.9,181.5,2802.5,296.4,485.5,1164.8,2826.6,144.3,63.9
0.059902,484.7,139.1,1170.5,183.5,2833.3,356.1,489.5,1171.1,2832.1,144.1,63.9
0.061902,489.6,144.2,1178.6,180.1,2869.5,398.5,493.2,1178.9,2836.7,143.9,63.9
0.063902,496.8,148.0,1191.6,171.3,2898.4,411.4,496.3,1188.3,2840.7,143.8,63.9
0.065902,501.6,144.2,1204.9,165.2,2890.9,384.8,498.8,1199.3,2844.4,143.6,63.9
0.067902,503.1,135.0,1217.7,161.7,2855.1,328.7,500.5,1211.4,2848,143.4,63.8
0.069902,503.4,123.6,1228.8,153.8,2827.1,263.9,501.2,1224.3,2851.8,143.2,63.8
0.071902,503.4,114.9,1235.9,145.0,2827.7,221.3,501,1237.1,2855.7,143,63.7
0.073902,503.5,110.6,1242.3,141.4,2851.0,202.8,499.6,1249.1,2859.8,142.8,63.7
0.075902,502.6,111.0,1249.0,145.3,2880.4,208.0,497,1259.6,2864,142.6,63.7
0.077902,497.9,113.8,1256.2,157.7,2898.9,242.7,493.3,1267.7,2867.8,142.4,63.6
0.079902,488.6,116.7,1262.5,176.9,2888.4,308.4,488.4,1272.9,2871,142.1,63.6
0.081902,477.0,118.7,1267.2,192.9,2853.2,381.5,482.5,1274.9,2873.1,141.9,63.6
0.083902,466.7,120.6,1269.0,194.3,2822.7,424.4,475.6,1273.3,2873.4,141.7,63.6
0.085902,461.5,122.6,1267.7,184.6,2819.0,425.6,468,1268.4,2871.3,141.5,63.7
0.087902,459.0,125.8,1263.1,172.9,2829.8,401.1,459.9,1260.5,2866.3,141.2,63.6
0.089902,454.3,129.1,1256.3,168.0,2843.9,386.9,451.4,1250,2857.8,141,63.6
0.091902,445.2,128.4,1249.3,172.8,2864.8,402.4,442.8,1237.7,2845.6,140.8,63.5
0.093902,434.2,121.9,1242.5,190.0,2891.4,434.6,434.3,1224.4,2829.2,140.5,63.4
0.095902,424.0,115.3,1233.7,222.3,2890.4,456.0,426.1,1210.9,2808.9,140.3,63.2
0.097902,414.4,112.1,1217.8,276.7,2837.3,458.7,418.5,1198,2784.8,140.1,63
0.099902,409.1,114.0,1197.4,342.5,2767.5,434.7,411.4,1186.3,2757.3,139.8,62.8
0.101902,408.0,121.1,1178.3,413.9,2705.4,410.0,405.2,1176.2,2727.3,139.6,62.5
0.103902,407.2,130.2,1165.8,469.4,2658.7,401.6,399.8,1168.1,2695.7,139.4,62.1
0.105902,402.8,134.6,1150.8,494.2,2622.7,403.9,395.2,1162.1,2663.6,139.2,61.7
0.107902,395.8,130.2,1124.1,489.0,2594.8,411.6,391.4,1158,2632.2,139,61.2
0.109902,389.7,124.2,1096.6,474.2,2566.7,414.8,388.3,1155.5,2602.8,138.8,60.6
0.111902,384.0,123.8,1083.1,472.8,2538.7,402.9,386,1154.4,2576.7,138.6,59.9
0.113902,379.3,128.2,1094.4,501.0,2533.0,403.6,384.3,1154,2555,138.4,59.1
0.115902,378.4,134.1,1136.5,572.5,2551.8,441.5,383.2,1154.2,2538.8,138.2,58.3
0.117902,381.3,139.7,1208.0,678.6,2578.9,510.1,382.5,1154.4,2528.8,138.1,57.4
0.119902,382.4,146.1,1293.0,792.8,2580.8,586.7,382.3,1154.5,2525.4,137.9,56.4
