time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025773,355.8,128.5,2261.2,101.9,3136.9,435.2,350.7,2245,3104.9,157.9,66.1
0.027773,345.0,58.0,2282.5,119.1,3081.0,426.5,348,2292.4,3086.5,157.9,67.4
0.029773,340.8,32.2,2334.1,168.4,3032.6,350.6,344.3,2358.4,3061.5,157.8,68.6
0.031773,339.3,25.5,2434.6,185.9,3013.4,275.9,340.1,2427.7,3037,157.5,69.8
0.033773,337.3,22.7,2502.4,159.8,3024.3,294.4,336.3,2486.5,3020.2,157.2,70.7
0.035773,334.3,21.0,2530.6,140.7,3036.5,357.6,333.3,2525.9,3016.8,156.8,71.4
0.037773,331.9,21.0,2540.1,127.1,3041.4,390.9,331.4,2544.9,3029.5,156.3,71.9
0.039773,330.6,22.1,2545.0,116.5,3059.3,384.2,330.4,2548.9,3057.7,155.7,72.3
0.041773,330.4,23.8,2547.8,112.8,3093.9,362.2,330.3,2547.8,3097.4,155.1,72.5
0.043773,330.8,26.6,2550.1,118.8,3139.5,331.9,330.8,2551.3,3142.6,154.4,72.5
0.045773,331.9,30.2,2558.9,133.7,3178.8,312.1,332,2565.5,3186.5,153.6,72.5
0.047773,333.7,35.0,2587.8,147.8,3216.3,319.6,333.7,2590.8,3223.4,152.8,72.4
0.049773,335.8,41.3,2629.8,139.5,3254.5,327.6,336.3,2622,3249.7,152,72.2
0.051773,338.5,47.6,2659.3,118.0,3273.2,307.8,339.4,2650.7,3264.5,151.1,71.9
0.053773,342.4,53.9,2671.9,105.9,3270.1,302.8,342.9,2668.8,3269.8,150.3,71.5
0.055773,346.6,61.0,2670.6,110.8,3263.2,315.1,346,2671.7,3269.6,149.3,71
0.057773,349.3,69.3,2656.4,132.6,3267.6,313.3,347.8,2659.9,3268.5,148.4,70.3
0.059773,348.5,73.6,2631.0,168.6,3278.8,286.7,347.3,2638.6,3270.9,147.4,69.6
0.061773,343.7,68.0,2604.2,223.4,3286.8,263.8,343.8,2615.9,3279.5,146.5,68.9
0.063773,336.4,55.9,2594.6,290.4,3290.3,274.7,337.4,2599.4,3294.9,145.5,68.2
0.065773,327.3,45.7,2604.4,351.9,3299.9,316.8,328.7,2593.3,3315.7,144.5,67.6
0.067773,318.5,40.7,2619.9,386.4,3324.4,373.1,319.1,2597.5,3338.4,143.4,67
0.069773,310.3,39.9,2625.6,421.3,3372.6,451.4,310.4,2607.6,3358.8,142.4,66.3
0.071773,304.6,45.1,2615.1,487.9,3454.0,529.1,304.3,2617.3,3373,141.4,65.3
0.073773,303.4,64.8,2591.3,614.0,3306.3,3534.6,302.1,2621.2,3378.1,140.3,64
