time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025798,557.2,228.2,1146.1,186.6,2798.9,301.8,558.7,1138.2,2811.4,206.8,70.5
0.027798,565.6,224.4,1155.5,165.9,2825.4,258.6,566.1,1150.6,2821.9,206.8,71.5
0.029798,576.5,215.2,1163.9,151.9,2847.1,218.0,577,1167.3,2837.1,206.6,72.2
0.031798,590.9,194.6,1173.7,146.9,2860.3,184.2,589.5,1184.4,2853.5,206.3,72.6
0.033798,604.4,164.3,1187.0,147.6,2866.2,160.7,601.6,1198.6,2866.6,205.9,72.9
0.035798,613.6,131.4,1205.7,147.0,2867.0,146.5,611.3,1208.7,2872.3,205.4,73
0.037798,616.9,106.7,1224.0,138.7,2862.5,145.5,617.4,1216.1,2867.5,204.8,73
0.039798,616.2,93.0,1235.5,125.5,2851.3,162.5,619.2,1223.7,2851.9,204.2,73
0.041798,613.4,87.0,1243.3,111.3,2830.7,201.0,617,1234.6,2828.4,203.5,72.9
0.043798,609.6,88.0,1252.7,99.9,2804.4,250.2,611.6,1250.6,2803.1,202.7,72.8
0.045798,605.5,93.1,1265.4,94.0,2783.3,294.9,604.4,1271.3,2783.2,202,72.6
0.047798,600.6,98.6,1283.1,92.8,2773.2,343.0,596.8,1294.1,2774.7,201.2,72.4
0.049798,594.1,99.2,1306.1,92.0,2775.9,404.3,590,1315.6,2779.3,200.4,72.3
0.051798,585.9,91.9,1330.8,83.9,2791.7,486.2,584.4,1332.7,2792.2,199.5,72.2
0.053798,578.2,80.3,1348.7,71.2,2819.2,618.8,580.1,1344.9,2802.2,198.7,72.2
0.055798,572.6,69.7,1361.9,61.0,2804.8,867.6,576.6,1354,2793.5,197.9,72.3
0.057798,569.5,64.0,1374.8,57.5,2721.1,934.8,573,1363.9,2750.8,197.1,72.3
0.059798,567.0,61.8,1388.9,60.4,2653.9,956.3,568.5,1379.2,2663.8,196.2,72.3
0.061798,563.8,60.9,1404.7,70.8,2536.1,1049.9,562.9,1402.8,2532.3,195.4,72.2
0.063798,559.5,60.9,1422.3,91.6,2363.7,1091.7,556.3,1434.5,2368,194.5,71.9
0.065798,554.7,62.0,1444.9,122.8,2211.5,1062.1,549.4,1470.6,2193.9,193.6,71.4
0.067798,549.1,65.2,1482.4,159.5,2078.7,1058.6,543.2,1504.3,2039,192.7,70.7
0.069798,540.9,73.5,1533.1,172.0,1949.3,1125.7,539,1528.5,1932,191.7,69.9
0.071798,525.7,92.0,1572.1,146.5,1836.2,1240.0,537.5,1537.2,1893.8,190.7,68.9
