,filename,vowel,word,start,stress,mahal_mean,mahal_median,edit
1,KLH032a_0080,ou,ʻoukou,115.2868381,secondary,81.36737246,89.947667,
2,KLH032a_2796,a,ʻeha,1150.728778,unstressed,70.9976968,74.63689912,0
3,KLH032a_1730,o,noho,801.8554344,primary,68.59756489,71.6765132,0
4,KLH032a_2261,ao,ʻīao,991.2915658,primary,66.08517176,65.12008502,1
5,KLH032a_2907,o,moho,1201.777937,unstressed,65.71158127,69.59870303,1
6,KLH032a_1793,ou,lākou,841.6002246,primary,64.30756685,65.43946951,0
7,KLH032a_3266,a,līkana,1422.577652,unstressed,58.79173416,65.7146716,0
8,KLH032a_2163,ou,kākou,947.2006314,primary,57.82183619,62.07837836,1
9,KLH032a_0594,o,noho,351.5409187,unstressed,57.18385322,67.74429357,1
10,KLH032a_0750,o,owāwa,422.2187621,unstressed,53.54754326,54.89924532,0
11,KLH032a_1844,a,hana,856.1573971,primary,53.31522959,76.64788859,1
12,KLH032a_0158,a,kahoma,170.7414251,unstressed,52.85088621,53.09480967,0
13,KLH032a_0442,ā,kāne,286.1616895,primary,49.62090046,56.79055801,0
14,KLH032b_0068,a,ʻaʻole,32.51072065,unstressed,49.34799061,52.98771519,0
15,KLH032a_1537,o,hoʻokumu,730.9843415,unstressed,48.1391158,45.21549507,0
16,KLH032b_0044,o,mahalo,19.983206,unstressed,45.95724542,44.76720008,0
17,KLH032a_0813,ao,ʻīao,446.0122736,primary,44.98450139,38.96298468,0
18,KLH032a_2296,o,hoʻomana,1001.027722,secondary,43.417957,44.36336237,1
19,KLH032a_1430,o,hoʻomana,691.5943951,unstressed,41.06499207,35.08351278,0
20,KLH032a_0327,o,homa,230.4911419,primary,40.73530919,41.85542446,0
21,KLH032a_2122,o,hoʻokahi,935.3274213,unstressed,40.61144675,36.64843431,0
22,KLH032a_2005,ou,lākou,898.4943088,primary,39.71922965,40.57527199,0
23,KLH032a_0541,au,hānau,312.2910697,primary,39.05627887,18.48921612,0
24,KLH032e_0986,ao,pepeiao,372.600411,primary,38.07401266,20.3824973,
25,KLH032a_2297,o,hoʻomana,1001.080582,unstressed,37.93064333,45.40962517,0
26,KLH032a_1254,ā,nānā,624.5334407,primary,37.91568674,38.74151882,0
27,KLH032d_0357,au,hoahānau,150.3180937,primary,37.62319791,27.50510912,0
28,KLH032a_2941,o,haʻiʻōlelo,1212.681052,unstressed,36.8751285,44.9233704,0
29,KLH032e_0067,e,kāhea,46.6931359,primary,34.94962916,29.99033464,
30,KLH032a_2237,ao,ʻīao,982.5284153,primary,34.86462342,24.86868075,0
31,KLH032a_2193,o,lokomaikaʻi,964.7220355,0,34.42262877,34.02922699,1
32,KLH032a_2777,a,ʻaʻohe,1145.812553,unstressed,34.12413377,30.25450613,
33,KLH032e_1040,ou,kākou,422.3411819,primary,33.61342566,38.27265733,0
34,KLH032a_0564,a,kaikamahine,327.9262563,unstressed,33.50923367,24.93318044,0
35,KLH032a_0111,a,kamaʻāina,157.3471,unstressed,32.11339184,11.2150925,0
36,KLH032e_0515,a,ʻaʻohe,192.8138,unstressed,31.60224272,34.0137989,
37,KLH032a_3080,a,ʻaʻohe,1253.478295,unstressed,31.55653033,31.3511725,
38,KLH032a_2276,au,wau,997.2698104,primary,31.53876533,4.337758696,1
39,KLH032a_0488,o,alo,297.3181,unstressed,31.33893056,18.00688184,0
40,KLH032a_1580,o,hoʻokō,744.1201006,unstressed,30.66891171,22.8618728,0
41,KLH032a_2527,a,makahiki,1081.993941,secondary,30.07293482,31.70529755,0
42,KLH032a_0230,e,kāne,192.7926817,unstressed,30.06285801,28.01863584,0
43,KLH032a_1775,ou,mākou,836.4185314,primary,30.01123931,30.42817989,0
44,KLH032a_0331,o,ʻōlelo,232.466055,unstressed,29.5136421,30.67167681,0
45,KLH032a_0003,i,ʻakahi,90.90230124,unstressed,28.66800563,22.09051124,
46,KLH032a_2026,a,kūpuna,903.0096775,unstressed,28.18569195,3.757323387,0
47,KLH032a_1488,ou,lākou,714.0710446,primary,27.80029822,1.875547191,0
48,KLH032b_0005,u,koʻu,3.896099441,unstressed,27.67114944,29.66954025,0
49,KLH032a_1157,ou,hou,600.8201,primary,27.62827704,38.37696907,0
50,KLH032e_0259,u,aku,101.2503038,unstressed,26.86133497,26.77113023,
51,KLH032e_0250,o,kono,98.88017293,unstressed,26.56191255,26.27051591,
52,KLH032a_2156,ā,ʻeā,945.780757,primary,26.46059506,25.50807325,0
53,KLH032e_0133,ō,pōʻalua,67.4948,secondary,26.39084636,20.24493505,
54,KLH032d_0355,a,hoahānau,149.9749941,unstressed,26.17724423,26.1255387,1
55,KLH032a_0917,ao,ʻīao,533.390783,primary,26.14715603,9.973938139,
56,KLH032a_3059,ō,pāmalō,1245.745795,primary,26.03471107,15.94237699,0
57,KLH032a_3233,ū,kū,1288.365805,primary,25.71730143,23.69855224,0
58,KLH032e_0567,a,lokomaikaʻi,216.0299646,primary,25.15243809,25.19632852,
59,KLH032e_0166,a,ia,75.75715747,unstressed,24.85076752,24.89888941,
60,KLH032a_0593,o,noho,351.4294427,primary,24.84543575,25.71281386,
61,KLH032e_0658,ā,peletānia,254.9801026,secondary,24.84053723,22.77784005,
62,KLH032a_2172,u,pōhaku,951.8890688,unstressed,24.60191257,27.85592069,0
63,KLH032a_1011,ao,ʻīao,557.3380195,primary,24.56821665,15.85756946,0
64,KLH032a_1972,ou,lākou,889.9756172,primary,24.46870561,5.503791849,0
65,KLH032a_2492,au,naʻauao,1065.69512,secondary,24.38084586,18.37490007,0
66,KLH032e_0757,i,ia,283.1638,primary,24.08699842,24.55275852,
67,KLH032a_1828,ū,kūʻula,852.2420318,secondary,24.021117,27.8318819,0
68,KLH032a_2447,e,wahine,1056.503279,unstressed,23.9514989,12.55957619,0
69,KLH032a_2850,u,mua,1184.373295,primary,23.77557036,24.78796373,1
70,KLH032e_0434,a,ia,169.7943636,unstressed,23.72807107,24.77806089,
71,KLH032e_0582,a,lokomaikaʻi,220.3009614,primary,23.69874344,23.03983469,
72,KLH032a_2605,u,naʻu,1106.5501,unstressed,23.4682827,27.9480321,0
73,KLH032b_0064,ū,kaʻū,25.4015,primary,23.2836502,20.3250921,0
74,KLH032a_2146,ou,kou,941.4950008,primary,23.25584977,6.724981835,0
75,KLH032a_2135,a,ia,938.8366237,unstressed,23.11124686,20.22142503,
76,KLH032a_1333,a,hoʻomaikaʻi,647.0389625,primary,22.73027119,22.75995812,
77,KLH032a_2295,u,koʻu,1000.816493,unstressed,22.59076959,24.920351,0
78,KLH032a_2037,ou,mākou,909.0292214,primary,22.50139977,13.20467205,0
79,KLH032a_3302,a,makaʻāinana,1444.733853,unstressed,22.42158562,12.13914743,0
80,KLH032d_0227,a,ia,100.8695457,unstressed,22.15918141,23.75961004,
81,KLH032e_0769,a,ia,286.664845,unstressed,22.08324113,21.04886165,
82,KLH032a_1365,ā,lākou,678.4814109,secondary,22.07914061,21.95493662,
83,KLH032a_0529,āu,lāua,307.9408236,primary,22.01273063,8.289830705,0
84,KLH032a_0001,a,ʻakahi,90.6030069,unstressed,21.90620956,21.8099936,
85,KLH032a_2544,a,ʻaʻole,1090.5801,unstressed,21.89369369,21.23712641,
86,KLH032e_0740,o,noho,279.2901615,primary,21.74995189,22.07965829,
87,KLH032e_0600,a,lokomaikaʻi,224.5868,primary,21.69519089,22.15634868,
88,KLH032a_1482,a,ʻaumakua,712.9085454,unstressed,21.65788049,22.43376307,0
89,KLH032d_0322,u,kupapaʻu,138.9847536,secondary,21.58016835,21.22677511,1
90,KLH032a_0071,au,nīnau,113.8916603,primary,21.55598549,19.2961963,
91,KLH032a_1530,a,kiaʻi,728.9891,primary,21.54393546,21.11683987,
92,KLH032e_0671,o,ʻōlelo,258.4304688,unstressed,21.53860902,21.46443392,
93,KLH032e_0783,o,molemona,289.7906767,primary,21.26212789,22.25735924,
94,KLH032b_0016,a,kakaʻako,10.99250351,primary,20.80344621,25.22878508,0
95,KLH032a_1233,a,kanaka,620.0590928,unstressed,20.687928,2.413222375,1
96,KLH032a_1932,au,hoʻounauna,878.3673253,primary,20.52653951,3.35700658,0
97,KLH032a_2412,ā,kaikunāne,1046.724142,primary,20.52256775,19.27531375,
98,KLH032e_0008,au,pau,16.74612219,primary,20.48598417,11.69930209,0
99,KLH032a_0250,o,oʻahu,199.1363283,unstressed,20.03479115,14.71810338,0
100,KLH032a_1550,a,ʻaʻole,734.8684766,unstressed,19.97472398,20.2193517,
101,KLH032a_0449,i,ia,287.7131,primary,19.81064844,14.6763518,
102,KLH032d_0242,i,hawaiʻi,105.1770628,unstressed,19.73516631,7.56695679,
103,KLH032a_1256,ā,ʻānunu,625.3869713,secondary,19.69446323,24.7394681,
104,KLH032a_3322,a,makahiki,1456.180046,unstressed,19.66673172,19.68973995,
105,KLH032a_2195,a,lokomaikaʻi,965.1296762,primary,19.53992099,18.9652857,
106,KLH032a_1931,ou,hoʻounauna,878.1613596,secondary,19.51836032,17.84012544,
107,KLH032a_1582,au,kauoha,744.5904021,secondary,19.51140487,5.288428819,0
108,KLH032a_1199,a,ʻaʻole,611.8986281,unstressed,19.50423007,20.48475495,
109,KLH032a_1521,ā,lākou,726.2485696,secondary,19.33920907,18.82238918,
110,KLH032e_0105,i,kakahiaka,58.67240635,unstressed,19.26357735,10.29660533,
111,KLH032a_0767,u,kahua,426.3602745,primary,19.19595321,18.01700484,0
112,KLH032a_1454,ou,lākou,699.4714655,primary,19.19566743,5.381068747,1
113,KLH032a_2250,au,mokuhau,987.7827236,primary,19.16476555,8.335805244,0
114,KLH032a_0202,ao,ʻīao,182.5363673,primary,19.0949346,11.38476943,
115,KLH032a_1655,a,kiaʻi,768.0656761,primary,18.87513729,18.99582403,
116,KLH032d_0060,e,ʻaʻohe,35.357023,unstressed,18.77768354,16.49123952,
117,KLH032a_1600,ou,lākou,750.3901429,primary,18.64223489,17.92270684,0
118,KLH032a_1548,u,kūpuna,733.6091,primary,18.53923858,5.43297503,0
119,KLH032e_0690,i,makuahine,262.3948,primary,18.53456181,17.72414052,20
120,KLH032a_3057,ā,pāmalō,1245.3351,secondary,18.4572085,17.17072597,0
121,KLH032a_1419,a,ia,690.2196957,unstressed,18.4186919,18.30424377,
122,KLH032a_3334,o,holo,1458.997545,unstressed,18.26174076,16.89884039,
123,KLH032e_0155,o,hoʻomana,72.99946964,secondary,18.16839698,8.197636266,0
124,KLH032b_0065,a,mahalo,29.6525,unstressed,18.15785896,17.12477222,
125,KLH032a_1617,a,kiaʻi,755.7266417,primary,18.12361146,16.95403741,
126,KLH032a_1783,ou,mākou,837.9085774,primary,17.99086466,4.212996987,0
127,KLH032a_2658,a,ʻahaʻōlelo,1120.106517,0,17.96763671,13.00912173,
128,KLH032a_2024,ū,kūpuna,902.6461,secondary,17.96287317,20.20709572,0
129,KLH032a_2157,a,ʻaʻohe,946.1621,unstressed,17.95906784,13.6947112,0
130,KLH032a_0037,a,ʻaʻole,104.5549612,unstressed,17.95547108,18.08568088,
131,KLH032e_0384,i,iaʻu,155.5908,unstressed,17.89095348,17.99052747,
132,KLH032a_1894,ou,lākou,868.947522,primary,17.83278546,2.121390624,0
133,KLH032a_1456,u,akua,699.8585492,primary,17.81843931,20.68694568,0
134,KLH032a_2896,a,hoʻomaikaʻi,1197.250731,primary,17.80574139,17.47430604,
135,KLH032d_0356,ā,hoahānau,150.1425676,secondary,17.73682811,20.0118482,0
136,KLH032a_3158,i,paʻipaʻi,1270.428323,unstressed,17.67510661,19.31406319,
137,KLH032a_1565,ā,nānā,741.0791928,secondary,17.6127253,14.47884573,0
138,KLH032a_0087,o,hoʻonohonoho,116.5269528,unstressed,17.58248629,17.68488286,0
