file,winner,F1,F2,F3,edit
KLH032a_0001,1,1,1,1,0
KLH032a_0002,2,2,2,2,0
KLH032a_0003,9,9,9,9,0
KLH032a_0004,7,7,7,7,0
KLH032a_0005,1,1,1,1,0
KLH032a_0006,7,7,7,7,0
KLH032a_0007,7,7,7,7,0
KLH032a_0008,6,6,6,6,0
KLH032a_0009,3,3,3,3,0
KLH032a_0010,5,5,5,5,0
KLH032a_0011,9,9,9,9,0
KLH032a_0012,1,1,1,1,0
KLH032a_0013,17,17,17,17,0
KLH032a_0014,1,1,1,1,0
KLH032a_0015,13,13,13,13,0
KLH032a_0016,11,11,11,11,0
KLH032a_0017,1,1,1,1,0
KLH032a_0018,5,5,5,5,0
KLH032a_0019,9,9,9,9,0
KLH032a_0020,11,11,11,11,0
KLH032a_0021,10,10,10,10,0
KLH032a_0022,20,20,20,20,0
KLH032a_0023,19,19,19,19,0
KLH032a_0024,2,2,2,2,0
KLH032a_0025,13,13,13,13,0
KLH032a_0026,3,3,3,3,0
KLH032a_0027,20,20,20,20,0
KLH032a_0028,11,11,11,11,0
KLH032a_0029,10,10,10,10,0
KLH032a_0030,1,1,1,1,0
KLH032a_0031,1,1,1,1,0
KLH032a_0032,7,7,7,7,0
KLH032a_0033,1,1,1,1,0
KLH032a_0034,1,1,1,1,0
KLH032a_0035,4,4,4,4,0
KLH032a_0036,4,4,4,4,0
KLH032a_0037,3,3,3,3,0
KLH032a_0038,2,2,2,2,0
KLH032a_0039,1,1,1,1,0
KLH032a_0040,19,19,19,19,0
KLH032a_0041,1,1,1,1,0
KLH032a_0042,9,9,9,9,0
KLH032a_0043,3,3,3,3,0
KLH032a_0044,17,17,17,17,0
KLH032a_0045,15,15,15,15,0
KLH032a_0046,9,9,9,9,0
KLH032a_0047,1,1,1,1,0
KLH032a_0048,12,12,12,12,0
KLH032a_0049,4,4,4,4,0
KLH032a_0050,1,1,1,1,0
KLH032a_0051,2,2,2,2,0
KLH032a_0052,1,1,1,1,0
KLH032a_0053,9,9,9,9,0
KLH032a_0054,10,10,10,10,0
KLH032a_0055,11,11,11,11,0
KLH032a_0056,7,7,7,7,0
KLH032a_0057,2,2,2,2,0
KLH032a_0058,6,6,6,6,0
KLH032a_0059,20,20,20,20,0
KLH032a_0060,7,7,7,7,0
KLH032a_0061,19,19,19,19,0
KLH032a_0062,15,15,15,15,0
KLH032a_0063,1,1,1,1,0
KLH032a_0064,2,2,2,2,0
KLH032a_0065,14,14,14,14,0
KLH032a_0066,12,12,12,12,0
KLH032a_0067,1,1,1,1,0
KLH032a_0068,1,1,1,1,0
KLH032a_0069,20,20,20,20,0
KLH032a_0070,17,17,17,17,0
KLH032a_0071,16,16,16,16,0
KLH032a_0072,1,1,1,1,0
KLH032a_0073,18,18,18,18,0
KLH032a_0074,6,6,6,6,0
KLH032a_0075,8,8,8,8,0
KLH032a_0076,4,4,4,4,0
KLH032a_0077,20,20,20,20,0
KLH032a_0078,2,2,2,2,0
KLH032a_0079,1,1,1,1,0
KLH032a_0080,1,1,1,1,0
KLH032a_0081,3,3,3,3,0
KLH032a_0082,1,1,1,1,0
KLH032a_0083,20,20,20,20,0
KLH032a_0084,11,11,11,11,0
KLH032a_0085,1,1,1,1,0
KLH032a_0086,2,2,2,2,0
KLH032a_0087,1,1,1,1,0
KLH032a_0088,16,16,16,16,0
KLH032a_0089,18,18,18,18,0
KLH032a_0090,17,17,17,17,0
KLH032a_0091,3,3,3,3,0
KLH032a_0092,10,10,10,10,0
KLH032a_0093,20,20,20,20,0
KLH032a_0094,1,1,1,1,0
KLH032a_0095,2,2,2,2,0
KLH032a_0096,20,20,20,20,0
KLH032a_0097,5,5,5,5,0
KLH032a_0098,9,9,9,9,0
KLH032a_0099,9,9,9,9,0
KLH032a_0100,1,1,1,1,0
KLH032a_0101,3,3,3,3,0
KLH032a_0102,3,3,3,3,0
KLH032a_0103,1,1,1,1,0
KLH032a_0104,4,4,4,4,0
KLH032a_0105,20,20,20,20,0
KLH032a_0106,1,1,1,1,0
KLH032a_0107,1,1,1,1,0
KLH032a_0108,10,10,10,10,0
KLH032a_0109,5,5,5,5,0
KLH032a_0110,17,17,17,17,0
KLH032a_0111,12,12,12,12,0
KLH032a_0112,14,14,14,14,0
KLH032a_0113,7,7,7,7,0
KLH032a_0114,1,1,1,1,0
KLH032a_0115,9,9,9,9,0
KLH032a_0116,3,3,3,3,0
KLH032a_0117,18,18,18,18,0
KLH032a_0118,9,9,9,9,0
KLH032a_0119,3,3,3,3,0
KLH032a_0120,11,11,11,11,0
KLH032a_0121,3,3,3,3,0
KLH032a_0122,3,3,3,3,0
KLH032a_0123,2,2,2,2,0
KLH032a_0124,3,3,3,3,0
KLH032a_0125,14,14,14,14,0
KLH032a_0126,1,1,1,1,0
KLH032a_0127,9,9,9,9,0
KLH032a_0128,19,19,19,19,0
KLH032a_0129,1,1,1,1,0
KLH032a_0130,1,1,1,1,0
KLH032a_0131,13,13,13,13,0
KLH032a_0132,2,2,2,2,0
KLH032a_0133,13,13,13,13,0
KLH032a_0134,3,3,3,3,0
KLH032a_0135,20,20,20,20,0
KLH032a_0136,4,4,4,4,0
KLH032a_0137,17,17,17,17,0
KLH032a_0138,3,3,3,3,0
KLH032a_0139,7,7,7,7,0
KLH032a_0140,4,4,4,4,0
KLH032a_0141,7,7,7,7,0
KLH032a_0142,17,17,17,17,0
KLH032a_0143,18,18,18,18,0
KLH032a_0144,1,1,1,1,0
KLH032a_0145,7,7,7,7,0
KLH032a_0146,13,13,13,13,0
KLH032a_0147,20,20,20,20,0
KLH032a_0148,12,12,12,12,0
KLH032a_0149,1,1,1,1,0
KLH032a_0150,1,1,1,1,0
KLH032a_0151,13,13,13,13,0
KLH032a_0152,12,12,12,12,0
KLH032a_0153,3,3,3,3,0
KLH032a_0154,1,1,1,1,0
KLH032a_0155,1,1,1,1,0
KLH032a_0156,14,14,14,14,0
KLH032a_0157,1,1,1,1,0
KLH032a_0158,20,20,20,20,0
KLH032a_0159,2,2,2,2,0
KLH032a_0160,11,11,11,11,0
KLH032a_0161,1,1,1,1,0
KLH032a_0162,2,2,2,2,0
KLH032a_0163,1,1,1,1,0
KLH032a_0164,1,1,1,1,0
KLH032a_0165,5,5,5,5,0
KLH032a_0166,15,15,15,15,0
KLH032a_0167,3,3,3,3,0
KLH032a_0168,8,8,8,8,0
KLH032a_0169,5,5,5,5,0
KLH032a_0170,6,6,6,6,0
KLH032a_0171,6,6,6,6,0
KLH032a_0172,6,6,6,6,0
KLH032a_0173,1,1,1,1,0
KLH032a_0174,10,10,10,10,0
KLH032a_0175,6,6,6,6,0
KLH032a_0176,7,7,7,7,0
KLH032a_0177,9,9,9,9,0
KLH032a_0178,1,1,1,1,0
KLH032a_0179,1,1,1,1,0
KLH032a_0180,3,3,3,3,0
KLH032a_0181,13,13,13,13,0
KLH032a_0182,4,4,4,4,0
KLH032a_0183,10,10,10,10,0
KLH032a_0184,1,1,1,1,0
KLH032a_0185,1,1,1,1,0
KLH032a_0186,5,5,5,5,0
KLH032a_0187,3,3,3,3,0
KLH032a_0188,20,20,20,20,0
KLH032a_0189,6,6,6,6,0
KLH032a_0190,5,5,5,5,0
KLH032a_0191,19,19,19,19,0
KLH032a_0192,20,20,20,20,0
KLH032a_0193,17,17,17,17,0
KLH032a_0194,3,3,3,3,0
KLH032a_0195,8,8,8,8,0
KLH032a_0196,18,18,18,18,0
KLH032a_0197,5,5,5,5,0
KLH032a_0198,9,9,9,9,0
KLH032a_0199,4,4,4,4,0
KLH032a_0200,2,2,2,2,0
KLH032a_0201,9,9,9,9,0
KLH032a_0202,1,1,1,1,0
KLH032a_0203,11,11,11,11,0
KLH032a_0204,20,20,20,20,0
KLH032a_0205,18,18,18,18,0
KLH032a_0206,20,20,20,20,0
KLH032a_0207,16,16,16,16,0
KLH032a_0208,12,12,12,12,0
KLH032a_0209,4,4,4,4,0
KLH032a_0210,19,19,19,19,0
KLH032a_0211,1,1,1,1,0
KLH032a_0212,14,14,14,14,0
KLH032a_0213,1,1,1,1,0
KLH032a_0214,1,1,1,1,0
KLH032a_0215,16,16,16,16,0
KLH032a_0216,14,14,14,14,0
KLH032a_0217,2,2,2,2,0
KLH032a_0218,20,20,20,20,0
KLH032a_0219,13,13,13,13,0
KLH032a_0220,7,7,7,7,0
KLH032a_0221,5,5,5,5,0
KLH032a_0222,6,6,6,6,0
KLH032a_0223,2,2,2,2,0
KLH032a_0224,1,1,1,1,0
KLH032a_0225,1,1,1,1,0
KLH032a_0226,9,9,9,9,0
KLH032a_0227,11,11,11,11,0
KLH032a_0228,1,1,1,1,0
KLH032a_0229,1,1,1,1,0
KLH032a_0230,11,11,11,11,0
KLH032a_0231,13,13,13,13,0
KLH032a_0232,3,3,3,3,0
KLH032a_0233,6,6,6,6,0
KLH032a_0234,1,1,1,1,0
KLH032a_0235,13,13,13,13,0
KLH032a_0236,9,9,9,9,0
KLH032a_0237,15,15,15,15,0
KLH032a_0238,1,1,1,1,0
KLH032a_0239,2,2,2,2,0
KLH032a_0240,20,20,20,20,0
KLH032a_0241,13,13,13,13,0
KLH032a_0242,1,1,1,1,0
KLH032a_0243,8,8,8,8,0
KLH032a_0244,9,9,9,9,0
KLH032a_0245,6,6,6,6,0
KLH032a_0246,15,15,15,15,0
KLH032a_0247,4,4,4,4,0
KLH032a_0248,17,17,17,17,0
KLH032a_0249,9,9,9,9,0
KLH032a_0250,12,12,12,12,0
KLH032a_0251,18,18,18,18,0
KLH032a_0252,5,5,5,5,0
KLH032a_0253,16,16,16,16,0
KLH032a_0254,1,1,1,1,0
KLH032a_0255,7,7,7,7,0
KLH032a_0256,16,16,16,16,0
KLH032a_0257,7,7,7,7,0
KLH032a_0258,11,11,11,11,0
KLH032a_0259,3,3,3,3,0
KLH032a_0260,10,10,10,10,0
KLH032a_0261,2,2,2,2,0
KLH032a_0262,8,8,8,8,0
KLH032a_0263,16,16,16,16,0
KLH032a_0264,10,10,10,10,0
KLH032a_0265,9,9,9,9,0
KLH032a_0266,3,3,3,3,0
KLH032a_0267,13,13,13,13,0
KLH032a_0268,6,6,6,6,0
KLH032a_0269,8,8,8,8,0
KLH032a_0270,20,20,20,20,0
KLH032a_0271,19,19,19,19,0
KLH032a_0272,3,3,3,3,0
KLH032a_0273,5,5,5,5,0
KLH032a_0274,10,10,10,10,0
KLH032a_0275,3,3,3,3,0
KLH032a_0276,17,17,17,17,0
KLH032a_0277,2,2,2,2,0
KLH032a_0278,18,18,18,18,0
KLH032a_0279,20,20,20,20,0
KLH032a_0280,2,2,2,2,0
KLH032a_0281,1,1,1,1,0
KLH032a_0282,1,1,1,1,0
KLH032a_0283,1,1,1,1,0
KLH032a_0284,6,6,6,6,0
KLH032a_0285,9,9,9,9,0
KLH032a_0286,10,10,10,10,0
KLH032a_0287,2,2,2,2,0
KLH032a_0288,11,11,11,11,0
KLH032a_0289,1,1,1,1,0
KLH032a_0290,11,11,11,11,0
KLH032a_0291,14,14,14,14,0
KLH032a_0292,4,4,4,4,0
KLH032a_0293,17,17,17,17,0
KLH032a_0294,12,12,12,12,0
KLH032a_0295,3,3,3,3,0
KLH032a_0296,1,1,1,1,0
KLH032a_0297,3,3,3,3,0
KLH032a_0298,9,9,9,9,0
KLH032a_0299,8,8,8,8,0
KLH032a_0300,10,10,10,10,0
KLH032a_0301,1,1,1,1,0
KLH032a_0302,1,1,1,1,0
KLH032a_0303,17,17,17,17,0
KLH032a_0304,1,1,1,1,0
KLH032a_0305,1,1,1,1,0
KLH032a_0306,1,1,1,1,0
KLH032a_0307,2,2,2,2,0
KLH032a_0308,16,16,16,16,0
KLH032a_0309,11,11,11,11,0
KLH032a_0310,16,16,16,16,0
KLH032a_0311,11,11,11,11,0
KLH032a_0312,19,19,19,19,0
KLH032a_0313,14,14,14,14,0
KLH032a_0314,10,10,10,10,0
KLH032a_0315,10,10,10,10,0
KLH032a_0316,8,8,8,8,0
KLH032a_0317,18,18,18,18,0
KLH032a_0318,10,10,10,10,0
KLH032a_0319,20,20,20,20,0
KLH032a_0320,1,1,1,1,0
KLH032a_0321,5,5,5,5,0
KLH032a_0322,14,14,14,14,0
KLH032a_0323,7,7,7,7,0
KLH032a_0324,10,10,10,10,0
KLH032a_0325,1,1,1,1,0
KLH032a_0326,3,3,3,3,0
KLH032a_0327,20,20,20,20,0
KLH032a_0328,14,14,14,14,0
KLH032a_0329,6,6,6,6,0
KLH032a_0330,1,1,1,1,0
KLH032a_0331,7,7,7,7,0
KLH032a_0332,1,1,1,1,0
KLH032a_0333,1,1,1,1,0
KLH032a_0334,1,1,1,1,0
KLH032a_0335,1,1,1,1,0
KLH032a_0336,1,1,1,1,0
KLH032a_0337,1,1,1,1,0
KLH032a_0338,8,8,8,8,0
KLH032a_0339,16,16,16,16,0
KLH032a_0340,11,11,11,11,0
KLH032a_0341,1,1,1,1,0
KLH032a_0342,2,2,2,2,0
KLH032a_0343,3,3,3,3,0
KLH032a_0344,20,20,20,20,0
KLH032a_0345,8,8,8,8,0
KLH032a_0346,9,9,9,9,0
KLH032a_0347,9,9,9,9,0
KLH032a_0348,20,20,20,20,0
KLH032a_0349,20,20,20,20,0
KLH032a_0350,18,18,18,18,0
