time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025308,579.1,181.7,1606.5,83.1,2566.0,172.0,560.7,1636.3,2559.7,0,63.4
0.027308,569.8,142.6,1625.5,83.7,2559.4,163.9,562.2,1646.7,2559.5,0,63.8
0.029308,564.5,130.1,1652.8,98.0,2546.8,160.1,564.6,1663.6,2559.3,0,64.2
0.031308,563.8,138.6,1691.7,118.0,2543.0,155.6,567.6,1686.1,2559.2,0,64.7
0.033308,565.0,151.8,1731.4,126.9,2549.6,148.2,570.9,1713.3,2559.4,0,65
0.035308,566.5,163.2,1765.0,124.4,2559.5,139.1,574,1743.9,2560.3,0,65.2
0.037308,567.7,172.7,1795.2,118.5,2569.0,131.1,576.7,1776.6,2562,0,65.2
0.039308,568.4,178.7,1820.5,114.1,2576.3,126.3,578.7,1810.2,2564.7,0,65
0.041308,570.0,182.4,1846.3,116.1,2581.5,127.5,579.5,1843.4,2568.6,0,64.7
0.043308,575.9,190.6,1882.5,126.7,2587.1,136.3,579.1,1875.1,2573.7,0,64.5
0.045308,582.0,200.5,1921.4,131.9,2595.1,142.9,577.3,1904.4,2580.1,0,64.4
0.047308,581.0,203.4,1944.2,126.3,2600.4,141.4,574.1,1930.5,2587.5,0,64.5
0.049308,574.6,205.2,1952.6,120.5,2600.6,138.3,569.7,1953,2595.7,0,64.6
0.051308,568.5,220.0,1958.0,120.7,2598.4,141.7,564.3,1971.7,2604.7,0,64.8
0.053308,564.7,250.8,1965.2,125.6,2598.1,151.2,558.2,1986.6,2613.9,0,65.1
0.055308,559.2,269.2,1975.6,127.9,2605.2,156.7,551.8,1998.1,2623.1,0,65.4
0.057308,547.8,227.5,1987.3,124.1,2619.0,147.1,545.4,2006.5,2631.9,0,65.9
0.059308,536.2,163.4,1999.4,120.0,2631.8,132.5,539.6,2012.4,2640,0,66.5
0.061308,529.8,123.0,2009.6,116.5,2639.8,124.3,534.5,2016.4,2647.2,0,67.1
0.063308,526.7,102.4,2018.3,111.2,2646.1,123.4,530.6,2019.1,2653.3,0,67.6
0.065308,526.1,99.6,2026.6,105.4,2653.6,127.8,528.1,2021.2,2658.2,0,68
0.067308,527.2,110.9,2033.9,100.0,2661.5,133.6,527,2023.1,2662,0,68.4
0.069308,529.4,130.1,2039.1,94.5,2669.2,139.9,527.5,2025.2,2664.6,0,68.6
0.071308,532.0,147.4,2041.8,90.4,2676.6,148.5,529.4,2027.7,2666.4,0,68.8
0.073308,534.6,156.1,2043.4,87.8,2683.3,158.4,532.5,2030.8,2667.5,0,69
0.075308,536.6,154.7,2044.6,86.2,2686.3,164.6,536.7,2034.3,2668.3,0,69.2
0.077308,538.5,147.7,2046.2,86.5,2685.3,166.2,541.6,2038.2,2668.9,0,69.4
0.079308,540.8,141.9,2048.2,90.4,2682.1,164.5,547.1,2042.2,2669.7,0,69.5
0.081308,544.9,140.4,2049.3,95.3,2677.8,159.1,552.7,2046.1,2670.7,0,69.7
0.083308,551.5,143.4,2047.3,95.9,2671.8,150.9,558.3,2049.5,2672.3,156.8,70
0.085308,561.1,150.3,2043.4,91.9,2664.4,141.9,563.5,2052.1,2674.4,156.9,70.3
0.087308,571.6,154.8,2040.8,86.2,2659.7,134.5,568.4,2053.7,2677,157,70.6
0.089308,579.8,153.0,2039.5,82.0,2659.5,129.4,572.8,2054.1,2680,157.2,70.9
0.091308,585.6,149.4,2037.8,81.2,2662.8,128.2,576.7,2053.2,2683.2,157.3,71.2
0.093308,588.9,147.8,2036.3,83.7,2668.6,131.7,580.1,2051,2686.5,157.5,71.4
0.095308,590.1,146.8,2036.5,87.2,2677.5,138.6,583.2,2047.6,2689.5,157.6,71.6
0.097308,590.2,145.9,2038.1,90.8,2689.2,146.9,586,2043.1,2691.9,157.8,71.7
0.099308,590.4,144.6,2039.8,94.7,2701.9,154.7,588.7,2037.7,2693.7,157.9,71.7
0.101308,590.6,140.3,2040.3,97.6,2710.4,160.3,591.4,2031.8,2694.6,158.1,71.8
0.103308,590.1,134.5,2038.7,100.2,2714.3,167.9,594.2,2025.4,2694.5,158.2,71.8
0.105308,590.2,132.1,2035.0,104.9,2715.3,181.4,597.1,2018.9,2693.5,158.4,71.9
0.107308,591.8,134.2,2028.6,111.7,2711.8,201.5,600.2,2012.6,2691.5,158.5,72
0.109308,595.1,139.8,2020.7,118.7,2699.6,222.9,603.3,2006.6,2688.8,158.6,72.1
0.111308,599.1,145.6,2012.8,123.3,2683.0,236.9,606.5,2001.2,2685.6,158.8,72.2
0.113308,603.6,146.8,2004.9,123.7,2669.9,240.8,609.5,1996.4,2682.2,158.9,72.3
0.115308,608.3,141.1,1996.3,121.5,2665.0,240.1,612.3,1992.4,2678.8,159,72.4
0.117308,613.8,132.0,1985.7,120.5,2666.3,242.1,614.6,1989.3,2675.8,159.2,72.4
0.119308,619.9,121.5,1975.9,120.6,2670.1,247.2,616.4,1987,2673.5,159.3,72.4
0.121308,626.2,108.3,1969.6,118.4,2672.2,251.7,617.6,1985.6,2672,159.4,72.4
0.123308,632.1,95.8,1967.1,113.7,2669.3,250.7,617.9,1985.2,2671.5,159.5,72.5
