time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025188,418.1,103.0,1936.3,665.0,2728.5,139.2,421.2,1938.4,2721.8,156.4,64.2
0.027188,422.7,91.2,1945.1,587.6,2730.7,139.1,420.3,1947.1,2733,157.4,65.4
0.029188,421.4,80.8,1967.8,497.0,2733.1,155.1,418.6,1962.7,2740.8,158.1,66.4
0.031188,415.6,70.4,1988.5,410.0,2731.1,191.1,415.7,1983.3,2735.5,158.7,67.2
0.033188,409.5,59.7,1999.9,351.1,2717.4,257.5,411.7,2002.6,2712.7,159.1,67.8
0.035188,405.2,51.0,2002.3,335.7,2683.8,370.1,406.7,2011.3,2675.1,159.4,68.3
0.037188,401.5,46.8,1999.0,355.4,2630.8,529.6,401,2001,2630.7,159.5,68.7
0.039188,396.5,46.9,1979.4,370.2,2582.3,644.9,395,1968.8,2588.3,159.5,69
0.041188,389.3,49.6,1924.0,354.5,2551.3,564.3,388.3,1919.8,2554,159.4,69.2
0.043188,380.5,53.1,1858.8,302.4,2529.3,397.3,380.9,1864.6,2529.5,159.1,69.3
0.045188,371.1,54.9,1808.9,237.5,2515.3,273.0,372.5,1815,2514.7,158.8,69.2
0.047188,363.0,53.9,1779.3,192.6,2512.4,210.8,363.6,1778.5,2509.3,158.3,68.9
0.049188,355.6,51.7,1760.7,171.2,2518.5,187.9,354.8,1756,2514.6,157.7,68.5
0.051188,347.7,50.9,1746.6,171.8,2531.5,193.0,346.9,1743.1,2531.2,157,67.8
0.053188,340.2,53.6,1733.4,199.5,2551.7,228.4,340.6,1734.4,2557.2,156.1,66.9
0.055188,336.0,61.3,1720.7,268.9,2579.8,298.9,336.3,1726.9,2586.3,155.1,65.8
0.057188,335.3,72.4,1713.8,390.7,2607.9,392.5,333.8,1721,2609.4,154,64.7
0.059188,331.7,80.0,1728.7,500.4,2626.7,490.0,333,1718.6,2618.2,152.7,63.6
