time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025494,726.3,60.5,1904.4,160.0,2831.3,133.7,705.3,1884.5,2834.3,174.3,75.5
0.027494,725.8,59.7,1905.9,172.6,2831.7,138.2,711.3,1885.2,2835.5,174.1,75.4
0.029494,728.4,63.8,1902.5,180.7,2829.6,140.0,721.4,1886.3,2837.1,174,75.3
0.031494,733.9,75.5,1889.5,179.9,2829.6,138.4,735.4,1887.5,2838.9,173.8,75.1
0.033494,742.0,97.8,1873.0,172.5,2833.4,136.3,753.3,1888.3,2840.4,173.7,74.8
0.035494,754.0,130.4,1863.9,164.4,2838.4,138.0,774.8,1888.4,2841.3,173.5,74.6
0.037494,773.6,176.0,1863.8,156.5,2843.1,147.3,799.7,1887.3,2841.1,173.4,74.3
0.039494,802.9,235.8,1867.7,147.6,2848.2,163.6,827.4,1884.8,2839.5,173.3,74
0.041494,843.2,316.5,1868.3,138.6,2853.3,179.9,857.3,1880.4,2836.3,173.2,73.7
0.043494,892.9,410.6,1864.6,133.6,2854.4,188.9,888.7,1874.1,2831.3,173.2,73.4
0.045494,949.6,497.1,1859.2,134.9,2847.7,192.1,920.7,1865.7,2824.6,173.2,73.2
0.047494,990.4,541.1,1855.0,143.0,2832.7,194.1,952.1,1855.3,2816.5,173.3,73.1
0.049494,1007.9,554.0,1852.3,157.8,2811.2,198.0,981.9,1843.1,2807.4,173.4,73
0.051494,1013.5,553.2,1849.5,177.6,2788.4,199.2,1009,1829.4,2797.7,173.5,72.9
0.053494,1017.6,543.6,1843.1,200.1,2767.9,191.4,1032.3,1814.6,2788,173.7,72.9
0.055494,1025.7,529.9,1829.8,218.8,2754.0,174.6,1050.9,1799.1,2778.8,174,72.8
0.057494,1038.6,530.3,1807.1,226.1,2746.2,157.6,1064.1,1783.5,2770.6,174.3,72.8
0.059494,1055.3,564.0,1771.9,211.5,2742.5,147.5,1071.4,1768.3,2763.9,174.6,72.9
0.061494,1070.8,616.4,1736.0,171.0,2742.7,149.2,1072.5,1753.9,2758.9,175,73
0.063494,1082.7,641.0,1713.6,123.7,2747.1,161.5,1067.7,1740.7,2755.7,175.5,73.2
0.065494,1086.5,621.4,1704.9,88.1,2755.7,177.2,1057.3,1729,2754.4,176,73.4
0.067494,1073.0,585.5,1702.2,63.9,2769.0,191.9,1041.8,1718.9,2754.7,176.6,73.6
0.069494,1038.3,553.6,1701.5,50.7,2783.7,201.7,1022.2,1710.6,2756.3,177.2,73.7
0.071494,989.0,507.1,1701.6,45.5,2791.5,201.3,999.5,1704.1,2758.8,177.9,73.7
0.073494,944.1,444.8,1702.0,47.4,2789.2,192.3,974.8,1699.3,2761.8,178.5,73.6
0.075494,913.4,394.0,1702.3,58.2,2781.8,183.8,949,1696,2764.9,179.2,73.3
0.077494,899.7,379.2,1702.0,80.4,2774.3,182.3,923.1,1693.9,2767.7,180,73
0.079494,894.7,393.1,1700.6,110.1,2767.1,184.0,898,1692.9,2769.9,180.7,72.7
0.081494,888.2,413.9,1698.6,132.9,2759.8,180.2,874.2,1692.8,2771.5,181.5,72.4
0.083494,872.3,427.7,1697.5,137.7,2752.5,166.9,852.1,1693.2,2772.4,182.2,72.3
0.085494,849.6,434.2,1698.6,124.6,2748.0,149.3,831.8,1694.2,2773.1,183,72.3
0.087494,826.4,444.1,1700.6,106.5,2749.5,135.4,813,1695.6,2773.7,183.7,72.4
0.089494,804.7,458.1,1701.5,91.4,2757.5,128.6,795.7,1697.3,2774.7,184.4,72.6
0.091494,781.2,465.6,1700.9,77.2,2769.2,126.1,779.2,1699.2,2776.6,185.2,72.8
0.093494,758.3,457.4,1699.8,62.8,2779.5,125.6,763.2,1701.5,2779.9,185.8,73
0.095494,739.0,439.7,1699.6,50.3,2787.2,127.3,747.2,1704,2784.9,186.5,73.2
0.097494,722.0,414.6,1700.8,40.3,2795.7,133.5,730.8,1706.9,2791.9,187.2,73.4
0.099494,706.3,375.5,1703.8,33.2,2808.9,147.8,713.7,1710.1,2801.1,187.8,73.5
0.101494,690.6,323.6,1708.3,28.3,2829.9,173.0,696,1713.6,2812.2,188.4,73.6
0.103494,676.5,278.3,1713.5,25.2,2852.8,201.9,677.7,1717.3,2825.1,189,73.5
0.105494,660.7,242.6,1719.0,23.2,2867.9,230.7,659.3,1721.2,2839.1,189.5,73.4
0.107494,641.5,214.2,1724.1,22.4,2869.0,258.9,641.2,1725,2853.6,190,73.1
0.109494,621.6,189.6,1728.6,22.4,2864.3,282.5,624.2,1728.7,2867.8,190.5,72.8
0.111494,606.5,171.4,1732.6,23.2,2865.7,292.0,608.9,1732,2880.9,190.9,72.4
0.113494,596.9,164.6,1736.6,26.0,2875.5,287.9,596.1,1734.9,2892.1,191.4,71.9
0.115494,591.5,174.9,1740.2,31.9,2887.3,282.9,586.4,1737,2900.7,191.7,71.3
0.117494,586.5,200.7,1742.3,41.7,2898.1,289.4,580.3,1738.4,2906.1,192.1,70.6
0.119494,578.2,236.4,1741.5,53.8,2907.4,308.0,578.3,1738.8,2908,192.4,69.8
