file,label,group,color,number
KLH014a_0001.wav,ā,6,Yellow,1
KLH014a_0002.wav,au,14,Maroon,2
KLH014a_0003.wav,au,14,Maroon,3
KLH014a_0004.wav,ai,11,Teal,4
KLH014a_0005.wav,ai,11,Teal,5
KLH014a_0006.wav,i,3,Black,6
KLH014a_0007.wav,a,1,Red,7
KLH014a_0008.wav,au,14,Maroon,8
KLH014a_0009.wav,a,1,Red,9
KLH014a_0010.wav,au,14,Maroon,10
KLH014a_0011.wav,a,1,Red,11
KLH014a_0012.wav,a,1,Red,12
KLH014a_0013.wav,a,1,Red,13
KLH014a_0014.wav,ei,22,Green,14
KLH014a_0015.wav,a,1,Red,15
KLH014a_0016.wav,a,1,Red,16
KLH014a_0017.wav,a,1,Red,17
KLH014a_0018.wav,o,4,Green,18
KLH014a_0019.wav,a,1,Red,19
KLH014a_0020.wav,a,1,Red,20
KLH014a_0021.wav,ei,22,Green,21
KLH014a_0022.wav,ai,11,Teal,22
KLH014a_0023.wav,a,1,Red,23
KLH014a_0024.wav,ae,12,Navy,24
KLH014a_0025.wav,a,1,Red,25
KLH014a_0026.wav,o,4,Green,26
KLH014a_0027.wav,a,1,Red,27
KLH014a_0028.wav,a,1,Red,28
KLH014a_0029.wav,ei,22,Green,29
KLH014a_0030.wav,o,4,Green,30
KLH014a_0031.wav,u,5,Olive,31
KLH014a_0032.wav,a,1,Red,32
KLH014a_0033.wav,a,1,Red,33
KLH014a_0034.wav,i,3,Black,34
KLH014a_0035.wav,e,2,Blue,35
KLH014a_0036.wav,ā,6,Yellow,36
KLH014a_0037.wav,e,2,Blue,37
KLH014a_0038.wav,o,4,Green,38
KLH014a_0039.wav,o,4,Green,39
KLH014a_0040.wav,u,5,Olive,40
KLH014a_0041.wav,a,1,Red,41
KLH014a_0042.wav,u,5,Olive,42
KLH014a_0043.wav,ā,6,Yellow,43
KLH014a_0044.wav,e,2,Blue,44
KLH014a_0045.wav,a,1,Red,45
KLH014a_0046.wav,ī,8,Black,46
KLH014a_0047.wav,a,1,Red,47
KLH014a_0048.wav,a,1,Red,48
KLH014a_0049.wav,ī,8,Black,49
KLH014a_0050.wav,ā,6,Yellow,50
KLH014a_0051.wav,ā,6,Yellow,51
KLH014a_0052.wav,o,4,Green,52
KLH014a_0053.wav,e,2,Blue,53
KLH014a_0054.wav,a,1,Red,54
KLH014a_0055.wav,e,2,Blue,55
KLH014a_0056.wav,o,4,Green,56
KLH014a_0057.wav,u,5,Olive,57
KLH014a_0058.wav,a,1,Red,58
KLH014a_0059.wav,u,5,Olive,59
KLH014a_0060.wav,i,3,Black,60
KLH014a_0061.wav,e,2,Blue,61
KLH014a_0062.wav,o,4,Green,62
KLH014a_0063.wav,i,3,Black,63
KLH014a_0064.wav,e,2,Blue,64
KLH014a_0065.wav,ā,6,Yellow,65
KLH014a_0066.wav,ā,6,Yellow,66
KLH014a_0067.wav,ā,6,Yellow,67
KLH014a_0068.wav,a,1,Red,68
KLH014a_0069.wav,e,2,Blue,69
KLH014a_0070.wav,a,1,Red,70
KLH014a_0071.wav,a,1,Red,71
KLH014a_0072.wav,a,1,Red,72
KLH014a_0073.wav,o,4,Green,73
KLH014a_0074.wav,a,1,Red,74
KLH014a_0075.wav,u,5,Olive,75
KLH014a_0076.wav,i,3,Black,76
KLH014a_0077.wav,i,3,Black,77
KLH014a_0078.wav,o,4,Green,78
KLH014a_0079.wav,au,14,Maroon,79
KLH014a_0080.wav,a,1,Red,80
KLH014a_0081.wav,i,3,Black,81
KLH014a_0082.wav,ā,6,Yellow,82
KLH014a_0083.wav,ai,11,Teal,83
KLH014a_0084.wav,i,3,Black,84
KLH014a_0085.wav,a,1,Red,85
KLH014a_0086.wav,e,2,Blue,86
KLH014a_0087.wav,a,1,Red,87
KLH014a_0088.wav,i,3,Black,88
KLH014a_0089.wav,a,1,Red,89
KLH014a_0090.wav,e,2,Blue,90
KLH014a_0091.wav,ō,9,Lime,91
KLH014a_0092.wav,o,4,Green,92
KLH014a_0093.wav,i,3,Black,93
KLH014a_0094.wav,e,2,Blue,94
KLH014a_0095.wav,a,1,Red,95
KLH014a_0096.wav,i,3,Black,96
KLH014a_0097.wav,a,1,Red,97
KLH014a_0098.wav,a,1,Red,98
KLH014a_0099.wav,e,2,Blue,99
KLH014a_0100.wav,ā,6,Yellow,100
KLH014a_0101.wav,ai,11,Teal,101
KLH014a_0102.wav,a,1,Red,102
KLH014a_0103.wav,i,3,Black,103
KLH014a_0104.wav,o,4,Green,104
KLH014a_0105.wav,a,1,Red,105
KLH014a_0106.wav,o,4,Green,106
KLH014a_0107.wav,o,4,Green,107
KLH014a_0108.wav,ae,12,Navy,108
KLH014a_0109.wav,a,1,Red,109
KLH014a_0110.wav,o,4,Green,110
KLH014a_0111.wav,e,2,Blue,111
KLH014a_0112.wav,o,4,Green,112
KLH014a_0113.wav,u,5,Olive,113
KLH014a_0114.wav,o,4,Green,114
KLH014a_0115.wav,e,2,Blue,115
KLH014a_0116.wav,ū,10,Purple,116
KLH014a_0117.wav,u,5,Olive,117
KLH014a_0118.wav,a,1,Red,118
KLH014a_0119.wav,o,4,Green,119
KLH014a_0120.wav,a,1,Red,120
KLH014a_0121.wav,ai,11,Teal,121
KLH014a_0122.wav,o,4,Green,122
KLH014a_0123.wav,i,3,Black,123
KLH014a_0124.wav,o,4,Green,124
KLH014a_0125.wav,e,2,Blue,125
KLH014a_0126.wav,a,1,Red,126
KLH014a_0127.wav,i,3,Black,127
KLH014a_0128.wav,a,1,Red,128
KLH014a_0129.wav,a,1,Red,129
KLH014a_0130.wav,ī,8,Black,130
KLH014a_0131.wav,ā,6,Yellow,131
KLH014a_0132.wav,ā,6,Yellow,132
KLH014a_0133.wav,o,4,Green,133
KLH014a_0134.wav,e,2,Blue,134
KLH014a_0135.wav,a,1,Red,135
KLH014a_0136.wav,u,5,Olive,136
KLH014a_0137.wav,a,1,Red,137
KLH014a_0138.wav,e,2,Blue,138
KLH014a_0139.wav,o,4,Green,139
KLH014a_0140.wav,i,3,Black,140
KLH014a_0141.wav,a,1,Red,141
KLH014a_0142.wav,e,2,Blue,142
KLH014a_0143.wav,e,2,Blue,143
KLH014a_0144.wav,ai,11,Teal,144
KLH014a_0145.wav,au,14,Maroon,145
KLH014a_0146.wav,i,3,Black,146
KLH014a_0147.wav,e,2,Blue,147
KLH014a_0148.wav,i,3,Black,148
KLH014a_0149.wav,ei,22,Green,149
KLH014a_0150.wav,i,3,Black,150
KLH014a_0151.wav,a,1,Red,151
KLH014a_0152.wav,a,1,Red,152
KLH014a_0153.wav,a,1,Red,153
KLH014a_0154.wav,i,3,Black,154
KLH014a_0155.wav,i,3,Black,155
KLH014a_0156.wav,u,5,Olive,156
KLH014a_0157.wav,i,3,Black,157
KLH014a_0158.wav,ū,10,Purple,158
KLH014a_0159.wav,ā,6,Yellow,159
KLH014a_0160.wav,i,3,Black,160
KLH014a_0161.wav,a,1,Red,161
KLH014a_0162.wav,a,1,Red,162
KLH014a_0163.wav,a,1,Red,163
KLH014a_0164.wav,i,3,Black,164
KLH014a_0165.wav,a,1,Red,165
KLH014a_0166.wav,u,5,Olive,166
KLH014a_0167.wav,ā,6,Yellow,167
KLH014a_0168.wav,ā,6,Yellow,168
KLH014a_0169.wav,i,3,Black,169
KLH014a_0170.wav,a,1,Red,170
KLH014a_0171.wav,ai,11,Teal,171
KLH014a_0172.wav,o,4,Green,172
KLH014a_0173.wav,u,5,Olive,173
KLH014a_0174.wav,ā,6,Yellow,174
KLH014a_0175.wav,i,3,Black,175
KLH014a_0176.wav,i,3,Black,176
KLH014a_0177.wav,i,3,Black,177
KLH014a_0178.wav,i,3,Black,178
KLH014a_0179.wav,a,1,Red,179
KLH014a_0180.wav,a,1,Red,180
KLH014a_0181.wav,e,2,Blue,181
KLH014a_0182.wav,ā,6,Yellow,182
KLH014a_0183.wav,ā,6,Yellow,183
KLH014a_0184.wav,a,1,Red,184
KLH014a_0185.wav,a,1,Red,185
KLH014a_0186.wav,i,3,Black,186
KLH014a_0187.wav,i,3,Black,187
KLH014a_0188.wav,a,1,Red,188
KLH014a_0189.wav,u,5,Olive,189
KLH014a_0190.wav,i,3,Black,190
KLH014a_0191.wav,o,4,Green,191
KLH014a_0192.wav,o,4,Green,192
KLH014a_0193.wav,ai,11,Teal,193
KLH014a_0194.wav,i,3,Black,194
KLH014a_0195.wav,au,14,Maroon,195
KLH014a_0196.wav,a,1,Red,196
KLH014a_0197.wav,i,3,Black,197
KLH014a_0198.wav,i,3,Black,198
KLH014a_0199.wav,i,3,Black,199
KLH014a_0200.wav,ē,7,Magenta,200
KLH014a_0201.wav,ā,6,Yellow,201
KLH014a_0202.wav,a,1,Red,202
KLH014a_0203.wav,a,1,Red,203
KLH014a_0204.wav,i,3,Black,204
KLH014a_0205.wav,i,3,Black,205
KLH014a_0206.wav,a,1,Red,206
KLH014a_0207.wav,e,2,Blue,207
KLH014a_0208.wav,e,2,Blue,208
KLH014a_0209.wav,ai,11,Teal,209
KLH014a_0210.wav,au,14,Maroon,210
KLH014a_0211.wav,i,3,Black,211
KLH014a_0212.wav,a,1,Red,212
KLH014a_0213.wav,a,1,Red,213
KLH014a_0214.wav,i,3,Black,214
KLH014a_0215.wav,i,3,Black,215
KLH014a_0216.wav,u,5,Olive,216
KLH014a_0217.wav,i,3,Black,217
KLH014a_0218.wav,ā,6,Yellow,218
KLH014a_0219.wav,i,3,Black,219
KLH014a_0220.wav,a,1,Red,220
KLH014a_0221.wav,u,5,Olive,221
KLH014a_0222.wav,i,3,Black,222
KLH014a_0223.wav,ā,6,Yellow,223
KLH014a_0224.wav,ā,6,Yellow,224
KLH014a_0225.wav,o,4,Green,225
KLH014a_0226.wav,a,1,Red,226
KLH014a_0227.wav,e,2,Blue,227
KLH014a_0228.wav,i,3,Black,228
KLH014a_0229.wav,a,1,Red,229
KLH014a_0230.wav,i,3,Black,230
KLH014a_0231.wav,a,1,Red,231
KLH014a_0232.wav,ā,6,Yellow,232
KLH014a_0233.wav,u,5,Olive,233
KLH014a_0234.wav,a,1,Red,234
KLH014a_0235.wav,ā,6,Yellow,235
KLH014a_0236.wav,ā,6,Yellow,236
KLH014a_0237.wav,a,1,Red,237
KLH014a_0238.wav,ā,6,Yellow,238
KLH014a_0239.wav,ā,6,Yellow,239
KLH014a_0240.wav,i,3,Black,240
KLH014a_0241.wav,ā,6,Yellow,241
KLH014a_0242.wav,e,2,Blue,242
KLH014a_0243.wav,i,3,Black,243
KLH014a_0244.wav,ē,7,Magenta,244
KLH014a_0245.wav,ā,6,Yellow,245
KLH014a_0246.wav,a,1,Red,246
KLH014a_0247.wav,a,1,Red,247
KLH014a_0248.wav,a,1,Red,248
KLH014a_0249.wav,e,2,Blue,249
KLH014a_0250.wav,u,5,Olive,250
KLH014a_0251.wav,a,1,Red,251
KLH014a_0252.wav,o,4,Green,252
KLH014a_0253.wav,ā,6,Yellow,253
KLH014a_0254.wav,e,2,Blue,254
KLH014a_0255.wav,a,1,Red,255
KLH014a_0256.wav,e,2,Blue,256
KLH014a_0257.wav,e,2,Blue,257
KLH014a_0258.wav,au,14,Maroon,258
KLH014a_0259.wav,i,3,Black,259
KLH014a_0260.wav,a,1,Red,260
KLH014a_0261.wav,a,1,Red,261
KLH014a_0262.wav,i,3,Black,262
KLH014a_0263.wav,ā,6,Yellow,263
KLH014a_0264.wav,e,2,Blue,264
KLH014a_0265.wav,a,1,Red,265
KLH014a_0266.wav,ō,9,Lime,266
KLH014a_0267.wav,a,1,Red,267
KLH014a_0268.wav,i,3,Black,268
KLH014a_0269.wav,i,3,Black,269
KLH014a_0270.wav,ō,9,Lime,270
KLH014a_0271.wav,e,2,Blue,271
KLH014a_0272.wav,a,1,Red,272
KLH014a_0273.wav,a,1,Red,273
KLH014a_0274.wav,a,1,Red,274
KLH014a_0275.wav,ai,11,Teal,275
KLH014a_0276.wav,o,4,Green,276
KLH014a_0277.wav,a,1,Red,277
KLH014a_0278.wav,ai,11,Teal,278
KLH014a_0279.wav,o,4,Green,279
KLH014a_0280.wav,ē,7,Magenta,280
KLH014a_0281.wav,e,2,Blue,281
KLH014a_0282.wav,a,1,Red,282
KLH014a_0283.wav,a,1,Red,283
KLH014a_0284.wav,e,2,Blue,284
KLH014a_0285.wav,i,3,Black,285
KLH014a_0286.wav,a,1,Red,286
