,filename,vowel,word,start,stress,mahal_mean,mahal_median,edit
1,KLH014b_0293,u,limu,216.4891522,unstressed,36.06676806,39.00064626,0
2,KLH014b_0757,i,piha,428.1953554,primary,31.43612363,24.51287544,0
3,KLH014a_1443,o,loa,823.5481871,primary,30.25013457,37.7181716,0
4,KLH014a_1386,i,ia,786.4548368,primary,26.26243006,25.86678655,
5,KLH014b_0183,u,mauʻu,86.20854359,unstressed,24.94274686,16.20922223,
6,KLH014b_1341,u,huʻa,884.1915313,primary,24.0228542,27.37503662,0
7,KLH014a_0511,o,ʻino,433.2359439,unstressed,23.79702728,24.15348511,
8,KLH014a_1509,i,ia,858.7871,primary,23.74767385,23.15879692,
9,KLH014a_0423,ou,lākou,369.4273118,primary,23.63790762,4.188842834,1
10,KLH014b_0894,u,minuke,541.299976,primary,23.26932018,6.361070513,
11,KLH014a_0362,ou,lākou,340.0474809,primary,22.04084797,10.97283748,0
12,KLH014a_1144,i,ʻike,724.554224,primary,21.85519621,3.453019609,
13,KLH014b_0693,i,manini,402.5357446,primary,21.62968553,20.63625393,20
14,KLH014b_1640,o,noho,1017.6145,unstressed,20.96162311,12.99021131,1
15,KLH014b_0059,u,limu,36.95709684,unstressed,19.6759454,15.35512152,1
16,KLH014b_0375,u,kaʻu,264.7648364,unstressed,19.56877153,11.06123433,
17,KLH014a_1334,e,naʻe,775.6358869,unstressed,18.7523901,18.2988408,
18,KLH014a_1353,u,kaʻu,778.788279,unstressed,18.01829489,15.23748054,1
19,KLH014a_1124,i,ia,719.4971,primary,17.77439996,13.24191679,
20,KLH014b_0609,i,iā,371.0174901,unstressed,17.40849523,9.381256916,
21,KLH014a_1096,ō,pō,703.876918,primary,16.476308,5.665685101,0
22,KLH014a_0141,a,ia,220.041727,unstressed,16.46760269,10.92074855,20
23,KLH014a_0170,a,lima,242.972159,unstressed,16.28409979,18.24515334,0
24,KLH014a_0544,u,kuʻi,445.5047203,primary,16.22198871,12.34117413,20
25,KLH014b_1097,u,aku,635.8255,unstressed,16.03492655,9.385271822,0
26,KLH014b_0526,e,ʻoe,346.0037548,unstressed,15.79896114,15.25513912,
27,KLH014a_0528,u,kanu,436.9479778,unstressed,15.73167606,14.93039328,1
28,KLH014a_0955,ō,ʻōkaikai,657.9061,secondary,15.63413602,9.211171568,
29,KLH014a_1581,o,ʻino,891.3203556,unstressed,15.62582996,15.84783323,
30,KLH014b_0240,u,aku,110.576249,unstressed,15.57650566,19.46160083,
31,KLH014b_0685,i,piha,400.5921559,primary,15.53745105,17.11404019,
32,KLH014b_1419,o,manaʻo,918.5917443,unstressed,15.46403736,16.69647485,
33,KLH014a_0205,i,makahiki,255.2547654,unstressed,15.45477638,6.67768039,
34,KLH014b_0034,ī,hīmeni,24.61349298,secondary,15.39705563,13.58501602,
35,KLH014a_0644,i,kuʻi,491.4007748,unstressed,14.94330155,7.260005052,
36,KLH014a_0897,e,ʻahe,608.514363,unstressed,14.92043301,13.28052128,
37,KLH014b_0288,u,ulu,215.6786839,primary,14.87099188,8.142012508,
38,KLH014b_1277,u,huʻa,865.5358104,primary,14.78600439,10.46387358,0
39,KLH014a_0219,i,iwa,262.7799656,primary,14.65980892,10.13423786,
40,KLH014b_0018,u,iaʻu,19.98308608,unstressed,14.51013879,11.05837516,
41,KLH014a_0813,i,piʻialiʻi,582.5179451,0,14.3981357,14.13330106,
42,KLH014a_0790,u,aku,570.3791,unstressed,14.3057299,14.17484035,0
43,KLH014b_0233,i,kiʻikiʻi,108.1107085,unstressed,14.21983976,15.03540701,
44,KLH014b_1624,i,iā,1013.182664,unstressed,14.1553334,4.051396824,
45,KLH014a_0901,o,maopopo,609.2040187,unstressed,14.03573352,7.060085038,
46,KLH014b_1493,u,aku,972.3634313,unstressed,14.01615376,16.88248411,1
47,KLH014b_0429,u,aku,290.0645197,unstressed,14.00896773,14.25120091,0
48,KLH014b_0242,e,ʻoe,110.7617532,unstressed,13.98348706,13.8253173,
49,KLH014b_0866,u,kaʻu,533.2315718,unstressed,13.80265486,13.8679215,
50,KLH014a_0871,e,ʻoe,599.6907912,unstressed,13.77299117,13.62792231,
51,KLH014b_0887,i,ʻumi,540.2260343,unstressed,13.35354782,15.11543367,
52,KLH014a_0834,u,mua,587.5531,primary,12.70910207,11.94084406,0
53,KLH014b_1136,i,hīmeni,667.1408258,unstressed,12.67188039,11.86351647,0
54,KLH014b_1550,u,kaʻu,995.7151715,unstressed,12.66313948,13.18923484,
55,KLH014b_0195,iu,uliuli,91.5718189,primary,12.60823785,3.980750122,
56,KLH014a_0464,o,koʻu,398.1511,primary,12.59203283,9.216019338,1
57,KLH014b_1120,e,ʻale,652.9639414,unstressed,12.55141204,14.19854154,
58,KLH014a_0626,a,hana,483.8251,unstressed,12.40633456,10.81319239,
59,KLH014a_1175,o,ʻōʻio,733.444471,unstressed,12.34308248,10.90483193,
60,KLH014b_1535,a,wainiha,989.6260807,unstressed,12.31026517,12.96171629,0
61,KLH014b_0194,u,uliuli,91.26901383,unstressed,12.23230487,7.069739747,
62,KLH014b_0733,e,poʻe,415.8408717,unstressed,12.14636325,11.02197553,
63,KLH014b_0202,u,limu,94.52256609,unstressed,12.13884783,9.022896917,
64,KLH014b_0561,i,pani,357.1502969,unstressed,12.11428338,11.30519222,
65,KLH014a_0655,e,ʻeke,492.9904237,unstressed,11.84283207,12.12883486,
66,KLH014b_0204,u,luna,94.96938798,primary,11.79613473,0.208143002,
67,KLH014b_0856,e,ʻoe,530.4275777,unstressed,11.69230177,11.04640543,
68,KLH014b_0531,i,ia,347.8735,primary,11.41412865,10.19950754,
69,KLH014a_0772,o,maopopo,540.0842469,primary,11.32797449,9.13170328,0
70,KLH014b_0782,u,kaʻu,434.2661805,unstressed,11.30289786,6.397088119,
71,KLH014b_1283,o,ʻoe,866.2946284,primary,11.29219221,10.2168651,
72,KLH014a_0333,i,ia,310.6814769,primary,11.27723884,11.21710033,
73,KLH014a_0767,ei,nei,539.2554915,primary,11.0899659,4.314040676,
74,KLH014b_1123,i,hoʻokahi,653.2975,unstressed,11.06005279,5.921860282,
75,KLH014a_0477,o,ʻano,404.3676185,unstressed,10.898828,7.31319767,
76,KLH014b_0709,u,puka,408.1755,primary,10.85863219,9.154093037,1
77,KLH014b_1134,ī,hīmeni,666.8128319,secondary,10.67063744,9.636518213,
78,KLH014a_0804,au,auē,573.0328848,secondary,10.63985015,8.310969419,0
79,KLH014b_0362,e,kauhale,261.7375,unstressed,10.56197295,8.246676396,
80,KLH014b_1657,i,nui,1024.455659,unstressed,10.5397896,10.55780672,0
81,KLH014b_0701,i,iʻa,406.9055,primary,10.52811481,5.528654201,
82,KLH014a_0492,e,ʻahe,419.3731,unstressed,10.43760263,11.46086372,
83,KLH014b_0046,o,hanohano,26.91520729,unstressed,10.40761751,4.010353652,
84,KLH014a_1504,e,poʻe,856.1168633,unstressed,10.40021947,7.185508615,
85,KLH014b_1462,o,manaʻo,935.3895,unstressed,10.28798155,10.25506537,1
86,KLH014b_1346,i,ia,885.9605,primary,10.15558505,9.173346605,
87,KLH014b_0255,o,manaʻo,176.0319071,unstressed,9.981535754,5.65691116,1
88,KLH014a_0350,u,kaʻu,336.9995581,unstressed,9.960496887,7.162289784,
89,KLH014b_0165,e,ʻoe,65.69833376,unstressed,9.928482413,2.344023308,
90,KLH014b_0755,i,nunui,421.3359221,unstressed,9.886175871,8.927394656,
91,KLH014a_0486,e,poʻe,418.4117059,unstressed,9.731261771,9.700653038,
92,KLH014b_0044,o,hanohano,26.67287664,unstressed,9.715374718,9.548742853,
93,KLH014b_1254,i,poʻi,857.5404199,unstressed,9.708578235,10.27123843,
94,KLH014a_1014,e,ʻoe,676.128504,unstressed,9.67378279,9.749945929,
95,KLH014b_0890,i,lima,540.6595,primary,9.554231361,9.684301101,
96,KLH014b_0620,e,ʻoe,372.4027275,unstressed,9.532820062,9.513961632,
