file,c11,c21,c31,c12,c22,c32,c13,c23,c33,c14,c24,c34,c15,c25,c35,c16,c26,c36
KLH014a_0001,948.9,1554.9,2745.5,112.3,-126.2,-47.6,-71.2,47.6,39.9,13.5,-3.4,5.5,-51.3,18,0.8,-6.5,-6.7,-23.6
KLH014a_0002,631.7,1188.7,2900.5,166.8,403.9,-208.7,-27.6,27.1,90.6,0.5,8.3,62.9,-34.1,-1.2,-23.6,-18.6,-4,36.7
KLH014a_0003,498.6,1039.9,2920.4,67.1,78.3,-213.4,-43.4,-75.7,61.8,-31,-66.5,96.6,-19.1,-45.6,8.8,-4.7,8.3,47.2
KLH014a_0004,596.1,2011.9,2799.4,245.2,-580.8,-94.8,15.1,-167.4,-82.9,-39.6,5.4,44.9,-23.8,-1.5,30.7,-38.9,-3.8,-8.7
KLH014a_0005,569.2,2106.1,2831.3,46.1,-760.9,-339.8,48.4,-258.4,7.2,-120.7,4.5,49.4,22.1,-34,-24.2,-33.1,-12.4,60.1
KLH014a_0006,376.9,2581.6,3184.8,40.8,-115.8,-107.9,-44.5,-64.2,-44.4,-7.4,-11.3,20.2,12.8,3.1,50.8,-20.1,9.9,39.8
KLH014a_0007,934.9,1690.2,2591.5,21.4,232.1,134.5,-16.9,108.2,95.1,-25.3,23.4,10.1,-17.9,-22.7,-21.3,-3.6,1.8,7.4
KLH014a_0008,525,1077,2806.1,126.1,340.2,-77.6,61.9,32.8,-90.8,-30.1,0,-112.6,-33.2,15.3,220.6,-9.4,-45.3,-60.6
KLH014a_0009,594,1211,2742.9,-117.5,-256.8,177,-22.6,-11.7,43.6,-27.8,-24.5,-14.2,-6,-1,8.7,8.4,-9.2,23.9
KLH014a_0010,451.8,1032.8,2668.4,78.9,267.4,-175.1,33.5,114.8,-51,-15.5,-8.9,75.9,-18.8,53.5,51.3,-12.3,26.7,-47
KLH014a_0011,586.7,1253.8,2610.5,-110.7,-314.4,91.2,-46,6.2,53.6,2.5,-43.1,2.8,-22.5,-2.9,-3.2,16.2,1.3,22
KLH014a_0012,787.6,1603.7,2724.8,220.6,-23.7,-70.4,49.9,-30.7,96.5,59.6,2.6,64.6,2.3,11.7,61.8,35.7,-5.7,6.9
KLH014a_0013,532.8,1679,2753,-73.6,23.6,-4.4,-70.1,-25,36,-9.8,-2.7,26.6,-27.9,1.9,-8.7,-17.3,-22.4,-4
KLH014a_0014,402.6,2196.8,2800.7,27.5,-163.1,48.1,26.9,-12.7,-43.8,-18.6,-39.2,2.1,6.3,-34.9,-14.8,-11.5,-11.4,1.6
KLH014a_0015,658.3,1361.2,2554.4,68.7,30,-152.6,-32.3,26.7,-91.6,-2.1,2.9,43.8,-2.8,12.4,-33.6,-9.5,3.6,15
KLH014a_0016,720.1,1425.8,2661.4,51.2,-26.8,-21.7,-104.9,8.8,10.4,20.8,17.6,5.7,12.4,26.5,34.3,-24,-21.6,-39.8
KLH014a_0017,640.2,1250.7,2667.1,-117.1,168.4,-16,-101.9,-1,-99.7,-56.7,-8.4,-23.7,-31.7,-7.5,46.4,-14.3,-9,-54.7
KLH014a_0018,625.3,1038.6,2815.7,105,22.3,48.4,-35.3,47.3,-38.5,-8.4,-18.1,-37.7,-4.7,18.6,-14.4,-13,-15.7,-0.3
KLH014a_0019,781.2,1490.8,2745.2,37.6,-38.1,-64.3,-156.6,-9.9,2.6,38.5,39.9,-42.6,-64.3,-18.2,41.1,-44.6,-14.8,12.9
KLH014a_0020,533.8,1817.8,2739.3,-5,-94.3,142.6,-77.9,-10.4,-29.7,15.7,14.5,79.8,-32.5,-32.9,-27.5,4.4,5.3,45.4
KLH014a_0021,286.1,2150,2808.6,84.6,-144.7,-51,24.6,-5,-90.3,27.4,25.4,-41.6,3.6,3,-47.1,4.5,-26.5,-61.8
KLH014a_0022,556.6,2018.8,2837.5,232.8,-288.7,-97.3,32.7,-109.1,-165.5,0.9,40.2,-3.4,7.3,-51.1,-37.8,2.8,16.8,3.5
KLH014a_0023,684.5,1227.3,2524.6,56.6,55.6,39.8,-60.8,-95.8,22.3,-1,12.3,-18.8,-39.5,-44.8,-6.9,4.2,-1.7,-0.6
KLH014a_0024,734.1,1845.2,2686.7,195.2,-540.6,-252.5,-122.5,-131.1,-75.4,-120.1,36.9,-39.9,-84.5,-87.9,8,7.6,-21.9,6.2
KLH014a_0025,865.9,1487.3,2735.5,-206.3,98.6,40.6,-35.3,-5.7,-1.9,-23.6,7.6,-11,19.3,25.4,32.6,49,2.7,20.4
KLH014a_0026,520.9,909.5,2713,10.6,-29.2,-15.8,-5,-5.9,-28,-0.9,3,-6.9,-1.7,5.1,8.6,9.8,8.1,4
KLH014a_0027,741.3,1509,2726.4,215.6,-142.3,-68.2,13.9,24,-47.2,58.4,48.6,-66.5,-2.6,10.1,6,10.6,1.3,37.7
KLH014a_0028,484.5,1703.1,2720,37.3,-54.7,4.6,-85.7,-20.3,-18.6,-17.8,-47.6,4.3,-26.1,7.9,-7.6,-10.6,-2.5,3.6
KLH014a_0029,339.4,2363.8,2861.8,91.7,-71.3,41.3,-17.8,-124.2,-15.9,13.3,-24.8,-19.8,-7,-51.9,-56.5,-6.2,-4.9,7.9
KLH014a_0030,495.9,978.6,2719.5,24.5,-83.7,13.1,-10.6,64.1,-0.8,16.9,1.8,-12.3,3.2,30.5,24.2,8,-9.4,-15.4
KLH014a_0031,452.9,1161.5,2743.3,-50.7,149.3,-97,-35.6,78.4,63,-26.7,-13.5,8,-13.6,35.8,-35.2,-10.9,3.9,-53.3
KLH014a_0032,818.3,1278,2763.3,-44.6,-103.2,126.1,62.4,-6.3,44.5,38.5,-25.8,39,4.4,24.4,46.6,-38,-10.1,-10.5
KLH014a_0033,996,1600.9,2602.3,83.6,-80.3,46.5,10.2,66.8,1.7,78.3,4.6,-4.2,11.4,28.9,35.6,24.4,2.2,-11.9
KLH014a_0034,424.7,2350.7,3005.2,77.2,-234.6,-86.8,-0.5,-48.1,6.4,26.1,-60.2,6.6,9.8,-44.3,-30.4,-10,-35.1,-17.2
KLH014a_0035,537.8,2190.6,2807.7,-6.8,-176.7,-93.4,-62.4,-102.1,-40.4,-8.4,-63,-13.3,-15.5,-57.5,-60.3,-17.7,-42.1,-19.5
KLH014a_0036,879.4,1616.2,2574.9,57.3,-123,-33.9,-28.8,62.9,18.5,10.1,-44.7,-26,-7.1,40.5,-15.8,6.5,3.4,-2
KLH014a_0037,442.7,2418.8,2975.3,10,144.2,-28,14.4,-73,-5.1,31.6,23.1,-9.1,-16.7,-32.6,-55.5,10.1,19.6,-5
KLH014a_0038,526.9,983.4,2733.2,82.1,115.1,-45.2,9,-13.4,19.3,5.1,-14.8,-1,2.7,-20.5,-2.3,2.9,17.2,2.9
